"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"63",2020-10-16,"033100","제룡전기","-",5270,"348","15.14","3,490","1.51",50,0.95,63,NA
"64",2020-10-16,"033130","디지틀조선","-",2750,"92","29.89","2,070","1.33",30,1.09,64,NA
"65",2020-10-16,"033160","엠케이전자","-",9670,"336","28.78","13,992","0.69",40,0.41,65,NA
"66",2020-10-16,"033170","시그네틱스","-",859,"-","-","1,627","0.53",0,0,66,NA
"67",2020-10-16,"033500","동성화인텍","-",10000,"634","15.77","3,517","2.84",220,2.2,67,NA
"68",2020-10-16,"034950","한국기업평가","-",92800,"4,563","20.34","23,591","3.93",8618,9.29,68,NA
"69",2020-10-16,"036000","예림당","-",2495,"-","-","9,308","0.27",0,0,69,NA
"70",2020-10-16,"036030","KTH","-",5240,"40","131","5,741","0.91",0,0,70,NA
"71",2020-10-16,"036190","금화피에스시","-",28400,"4,614","6.16","39,902","0.71",1300,4.58,71,NA
"72",2020-10-16,"036200","유니셈","-",6870,"749","9.17","4,198","1.64",50,0.73,72,NA
"73",2020-10-16,"036480","대성미생물","-",15950,"750","21.27","9,235","1.73",85,0.53,73,NA
"74",2020-10-16,"036560","영풍정밀","-",8010,"799","10.03","18,057","0.44",300,3.75,74,NA
"75",2020-10-16,"036800","나이스정보통신","-",24850,"3,212","7.74","23,005","1.08",460,1.85,75,NA
"76",2020-10-16,"037370","EG","-",8330,"-","-","4,426","1.88",0,0,76,NA
"77",2020-10-16,"037440","희림","-",3765,"288","13.07","3,827","0.98",150,3.98,77,NA
"78",2020-10-16,"037460","삼지전자","-",11650,"892","13.06","12,357","0.94",140,1.2,78,NA
"79",2020-10-16,"037760","쎄니트","-",1595,"62","25.73","2,143","0.74",30,1.88,79,NA
"80",2020-10-16,"038110","에코플라스틱","-",1625,"-","-","4,274","0.38",30,1.85,80,NA
"81",2020-10-16,"038620","위즈코프","-",1235,"2","617.5","1,029","1.2",0,0,81,NA
"82",2020-10-16,"039010","현대통신","-",7150,"1,238","5.78","9,454","0.76",300,4.2,82,NA
"83",2020-10-16,"039240","경남스틸","-",1810,"186","9.73","3,487","0.52",90,4.97,83,NA
"84",2020-10-16,"039290","인포뱅크","-",8470,"99","85.56","6,029","1.4",10,0.12,84,NA
"85",2020-10-16,"039420","케이엘넷","-",2360,"166","14.22","1,501","1.57",60,2.54,85,NA
"86",2020-10-16,"039440","에스티아이","-",14950,"1,529","9.78","10,548","1.42",250,1.67,86,NA
"87",2020-10-16,"039740","한국정보공학","-",3080,"223","13.81","5,025","0.61",0,0,87,NA
"88",2020-10-16,"039830","오로라","-",9000,"368","24.46","9,867","0.91",200,2.22,88,NA
"89",2020-10-16,"040160","누리텔레콤","-",7700,"761","10.12","5,666","1.36",50,0.65,89,NA
"90",2020-10-16,"040300","YTN","-",3585,"-","-","4,410","0.81",10,0.28,90,NA
"91",2020-10-16,"040420","정상제이엘에스","-",6180,"514","12.02","4,080","1.51",430,6.96,91,NA
"92",2020-10-16,"041440","에버다임","-",4480,"65","68.92","10,599","0.42",40,0.89,92,NA
"93",2020-10-16,"041930","동아화성","-",10600,"684","15.5","6,826","1.55",50,0.47,93,NA
"94",2020-10-16,"042110","에스씨디","-",1070,"-","-","2,083","0.51",15,1.4,94,NA
"95",2020-10-16,"043260","성호전자","-",1030,"-","-","1,156","0.89",0,0,95,NA
"96",2020-10-16,"043340","에쎈테크","-",1110,"-","-","385","2.88",0,0,96,NA
"97",2020-10-16,"043360","디지아이","-",2265,"-","-","5,064","0.45",0,0,97,NA
"98",2020-10-16,"043370","평화정공","-",7770,"1,506","5.16","27,452","0.28",180,2.32,98,NA
"99",2020-10-16,"044060","조광ILI","-",8000,"359","22.28","5,739","1.39",0,0,99,NA
"100",2020-10-16,"044780","에이치케이","-",1315,"45","29.22","2,642","0.5",0,0,100,NA
"101",2020-10-16,"045340","토탈소프트","-",4515,"301","15","1,313","3.44",0,0,101,NA
"102",2020-10-16,"045510","정원엔시스","-",2020,"25","80.8","1,200","1.68",0,0,102,NA
"103",2020-10-16,"045520","크린앤사이언스","-",32300,"1,314","24.58","6,496","4.97",300,0.93,103,NA
"104",2020-10-16,"046110","한일네트웍스","-",4425,"589","7.51","5,635","0.79",230,5.2,104,NA
"105",2020-10-16,"046140","SBS콘텐츠허브","-",5870,"26","225.77","7,234","0.81",0,0,105,NA
"106",2020-10-16,"048830","엔피케이","-",1770,"-","-","2,153","0.82",30,1.69,106,NA
"107",2020-10-16,"049430","코메론","-",8950,"1,660","5.39","15,526","0.58",200,2.23,107,NA
"108",2020-10-16,"049480","오픈베이스","-",3310,"51","64.9","2,062","1.61",15,0.45,108,NA
"109",2020-10-16,"049520","유아이엘","-",3765,"395","9.53","7,761","0.49",400,10.62,109,NA
"110",2020-10-16,"049550","잉크테크","-",3075,"-","-","2,246","1.37",0,0,110,NA
"111",2020-10-16,"049720","고려신용정보","-",5440,"476","11.43","1,577","3.45",250,4.6,111,NA
"112",2020-10-16,"049960","쎌바이오텍","-",16550,"976","16.96","11,022","1.5",600,3.63,112,NA
"113",2020-10-16,"050760","에스폴리텍","-",7770,"684","11.36","3,429","2.27",50,0.64,113,NA
"114",2020-10-16,"050890","쏠리드","-",10350,"121","85.54","2,350","4.4",0,0,114,NA
