"","PER","PBR","PCR","PSR"
"005930",16.5171081150518,1.35119264017021,7.82678193163064,1.54166959297902
"000660",30.8441870235434,1.29525358621243,9.57838748372717,2.30074068973758
"035420",82.6810262948036,7.41267646066206,35.5330973116893,7.31205545431795
"207940",224.028363725973,10.4387082328626,4456.40735294118,64.7881342645382
"051910",144.157943586471,2.59891965623166,14.4753771170421,1.57830915353712
"005380",12.3325262295302,0.481248519153862,87.5438974845164,0.347538338553369
"068270",116.350449586694,11.9112121764706,73.0504088544304,30.6831136880815
"035720",NA,5.49617520470027,41.9139036701209,10.2760806789681
"006400",81.0129105189341,2.28123366744864,31.2870789730257,2.86025141125438
"051900",31.5334629057962,5.79079735833471,21.5305260503686,3.1925713023395
"012330",9.50256468590387,0.671638185167358,8.23248928784842,0.572094913006455
"000270",10.4630655340505,0.659562973799179,5.2934006732905,0.328705015152375
"028260",18.1530161527474,0.714161952862458,24.7307761572392,0.619686369715391
"017670",21.2775246988426,0.829621628124521,4.75022433694589,1.06713195272125
"005490",9.59715583346957,0.368487314911486,2.93299260079604,0.273615290336012
"036570",47.0093100893356,6.70278436191386,42.9340511830699,9.89815123089584
"105560",4.9468059810375,0.418791544020471,1.74272469582052,NA
"066570",470.029983341853,0.895698563698242,3.98783976976038,0.236123186434095
"015760",NA,0.202682533716991,1.69999253351231,0.235964752019083
"034730",19.4219138519448,0.266972876131124,1.74604436832606,0.140345488784521
"018260",18.2281714867617,1.99623034259204,15.0201927724323,1.25238332587037
"055550",4.24178787667107,0.344306876114943,2.01099387634072,NA
"091990",204.992227870769,7.99837613998439,NA,12.1032744223817
"096770",NA,0.705820742685177,7.03949687589002,0.257690764107345
"003550",11.5048739994444,0.653178772514589,15.1754164309271,1.88951278755342
"326030",NA,NA,NA,97.022468724778
"032830",12.07284632699,0.316214854594763,1.3650297877263,NA
"251270",75.11248325,2.52082425553428,30.7305202911094,5.37822893789875
"033780",10.9012759315967,1.29787529182508,10.8385347751559,2.27659020452531
"009150",19.8970179895003,1.88450237601517,10.0196184784099,1.27263908466819
"090430",41.126575879397,2.18303243531608,13.6725968536823,1.76000901775954
"086790",3.65322127621676,0.301435373168005,1.33800578939953,NA
"000810",13.2988461562986,0.597089535834486,9.39790974667546,NA
"011170",10.4504074713287,0.531700574392839,5.84712523828156,0.494068260786194
"096530",278.945253857678,48.7423971073298,274.827980738007,61.0478547377049
"009830",NA,1.22394448510972,5.8916979451538,0.747737827033767
