"","apt_juso","coord_x","coord_y"
"1","서울특별시 종로구 청운동 56-45 청운현대",126.967381797143,37.586205890259
"2","서울특별시 종로구 사직동 9-1 광화문스페이스본",126.968880867164,37.5744172415207
"3","서울특별시 종로구 내수동 71 경희궁의아침2단지",126.971284886893,37.5739639296009
"4","서울특별시 종로구 내수동 72 경희궁의아침3단지",126.972093823848,37.573660668544
"5","서울특별시 종로구 견지동 110 대성스카이렉스",126.982441794649,37.5724878538449
"6","서울특별시 종로구 익선동 55 현대뜨레비앙",126.990058389295,37.5751135191087
"7","서울특별시 종로구 인의동 48-2 효성쥬얼리시티",126.998666645245,37.5714829206881
"8","서울특별시 종로구 충신동 62-2 CS타워",127.004044861769,37.5751372942865
"9","서울특별시 종로구 명륜1가 2-12 송림아마레스아파트",126.997715424817,37.5906900199854
"10","서울특별시 종로구 명륜2가 4 아남1",126.999413978947,37.5855421290535
"11","서울특별시 종로구 명륜2가 237 아남3",127.000267649769,37.5856196156057
"12","서울특별시 종로구 창신동 703 창신쌍용2",127.011785265273,37.5803232585025
"13","서울특별시 종로구 창신동 602 일우",127.009697153683,37.577335301689
"14","서울특별시 종로구 창신동 232 두산",127.014287420294,37.5742176646077
"15","서울특별시 종로구 창신동 702 창신쌍용1",127.014014651795,37.5805125839757
"16","서울특별시 종로구 창신동 23-816 창신이수",127.014696141319,37.5779927812929
"17","서울특별시 종로구 창신동 639-20 창림",127.009360310456,37.5759998749854
"18","서울특별시 종로구 숭인동 76 롯데캐슬천지인",127.016177810477,37.5738517068991
"19","서울특별시 종로구 숭인동 766 종로청계힐스테이트",127.02115124233,37.5760304266335
"20","서울특별시 종로구 숭인동 1421-1 종로동광모닝스카이",127.022367733858,37.5737460908599
"21","서울특별시 종로구 숭인동 2-1 종로센트레빌",127.015927681909,37.5809772541379
"22","서울특별시 종로구 숭인동 56-135 할리우드파크아파트",127.018110798433,37.5788455482374
"23","서울특별시 종로구 숭인동 318-2 삼전솔하임4차",127.016717108303,37.571352181503
"24","서울특별시 종로구 평동 233 경희궁자이",126.965891423182,37.5684690367064
"25","서울특별시 종로구 홍파동 199 경희궁자이",126.963608594078,37.5706961564115
"26","서울특별시 종로구 교북동 126 경희궁자이",126.961393223766,37.5715794191082
"27","서울특별시 종로구 행촌동 41-1 대성아파트",126.962614055939,37.5727229945432
"28","서울특별시 종로구 평창동 596 삼성",126.978673182753,37.6109285108121
"29","서울특별시 종로구 평창동 66-1 엘리시아",126.97630293469,37.6098503854632
"30","서울특별시 종로구 평창동 145-5 일성빌라트",126.972703592087,37.6091263836794
"31","서울특별시 종로구 무악동 82 현대",126.961060237387,37.5756306329225
"32","서울특별시 종로구 무악동 88 인왕산2차아이파크",126.959608792807,37.5757370932777
"33","서울특별시 종로구 무악동 89 경희궁롯데캐슬",126.959446568538,37.5738635995353
"34","서울특별시 종로구 무악동 60 인왕산아이파크",126.95744531003,37.5770012392237
"35","서울특별시 종로구 사직동 9 광화문스페이스본",126.968880867164,37.5744172415207
"36","서울특별시 종로구 내수동 73 경희궁의아침4단지",126.972245219787,37.5726207759088
"37","서울특별시 종로구 수송동 85 로얄팰리스스위트",126.981224701828,37.5750964069721
"38","서울특별시 종로구 숭인동 296-19 삼전솔하임2차",127.016729343206,37.5724071549574
"39","서울특별시 종로구 숭인동 482 동문",127.021636842455,37.5782147993394
"40","서울특별시 종로구 평창동 179-5 밀레니엄",126.967600127567,37.6070004694426
"41","서울특별시 종로구 평창동 33-1 형우럭스빌",126.973393198121,37.6075408896988
