Date,Open,High,Low,Close,Volume,Adj Close
8/1/2016,160.649994,164.949997,157.850006,159.720001,3237100,159.720001
7/1/2016,151.779999,163.600006,149.919998,160.619995,3648600,159.244659
6/1/2016,153,155.479996,142.5,151.779999,3679100,150.480362
5/2/2016,146.559998,153.809998,142.899994,153.740005,3861200,152.423584
4/1/2016,150.509995,153.520004,142.610001,145.940002,4700300,143.307373
3/1/2016,132.240005,153.100006,132.029999,151.449997,5114800,148.717972
2/1/2016,124.400002,134.919998,116.900002,131.029999,5557100,128.666336
1/4/2016,135.600006,136.889999,118,124.790001,7077900,121.299881
12/1/2015,139.580002,141.399994,133.910004,137.619995,4596000,133.771042
11/2/2015,140.5,142.800003,131.649994,139.419998,4499100,135.520706
10/1/2015,145.309998,153.149994,137.330002,140.080002,5655900,134.896896
9/1/2015,144.910004,149.679993,141.149994,144.970001,4083700,139.605957
8/3/2015,161.699997,161.850006,140.619995,147.889999,4658100,142.417908
7/1/2015,163.970001,173.779999,158.5,161.990005,4428800,154.711868
6/1/2015,170.210007,171.559998,162.119995,162.660004,3838400,155.351776
5/1/2015,173.199997,176.300003,168.839996,169.649994,3101000,162.02771
4/1/2015,160.229996,175.130005,158.389999,171.289993,4709400,162.36528
3/2/2015,161.940002,165.350006,153.399994,160.5,4962100,152.137466
2/2/2015,154,164.990005,151.509995,161.940002,4317600,153.502441
1/2/2015,161.309998,163.309998,149.520004,153.309998,6198300,144.309769
12/1/2014,161.639999,164.520004,150.5,160.440002,4799700,151.02121
11/3/2014,164.25,164.970001,159.800003,162.169998,4337700,152.649643
10/1/2014,189.910004,190.889999,161.100006,164.399994,6611800,153.696793
9/2/2014,192.679993,195,188.119995,189.830002,3195800,177.471176
8/1/2014,190.5,194.130005,183.580002,192.300003,2684000,179.78038
7/1/2014,181.699997,196.399994,181.699997,191.669998,4627500,178.137878
6/2/2014,184.759995,187.649994,179.270004,181.270004,3939300,168.472137
5/1/2014,196.309998,196.740005,182.330002,184.360001,3554200,171.343979
4/1/2014,193.119995,199.210007,187.009995,196.470001,5840600,181.542023
3/3/2014,183.330002,195.630005,182.210007,192.490005,6072400,177.864426
2/3/2014,176.020004,186.119995,172.190002,185.169998,4827500,171.100601
1/2/2014,187.210007,190.809998,175.339996,176.679993,6127700,162.365555
12/2/2013,179.460007,187.789993,172.729996,187.570007,4838700,172.373276
11/1/2013,179.809998,186.240005,177.309998,179.679993,5192700,165.122498
10/1/2013,185.339996,186.990005,172.570007,179.210007,5881900,163.810883
9/3/2013,183.630005,194.889999,182.309998,185.179993,3773300,169.267883
8/1/2013,196.649994,197.169998,181.100006,182.270004,3445800,166.607941
7/1/2013,192.149994,200.940002,190.259995,195.039993,4176700,177.39386
6/3/2013,208.25,210.050003,188.410004,191.110001,4513500,173.819427
5/1/2013,201.869995,211.979996,199.199997,208.020004,4346900,189.199509
4/1/2013,212.800003,214.889999,187.679993,202.539993,5282100,183.355881
3/1/2013,200.649994,215.899994,199.360001,213.300003,3988600,193.096725
2/1/2013,204.649994,205.350006,197.509995,200.830002,3622800,181.807846
1/2/2013,194.089996,208.580002,190.389999,203.070007,4320300,183.06514
12/3/2012,190.759995,196.449997,186.940002,191.550003,4200200,172.679993
11/1/2012,194.679993,198,184.779999,190.070007,4134700,171.345795
10/1/2012,208.009995,211.789993,190.559998,194.529999,4867000,174.60228
9/4/2012,196.610001,208.320007,193.25,207.449997,4329000,186.198746
8/1/2012,196.960007,202,193.020004,194.850006,2775900,174.889496
7/2/2012,196.360001,197.839996,181.850006,195.979996,4524900,175.155884
6/1/2012,190.119995,199.990005,187,195.580002,4277000,174.798401
5/1/2012,207.179993,208.929993,192,192.899994,4331400,172.403152
4/2/2012,208.960007,210.690002,196.789993,207.080002,4468800,184.304352
3/1/2012,197.229996,209.119995,196.809998,208.649994,4150500,185.70166
2/1/2012,193.210007,199.229996,190.830002,196.729996,4196300,175.092682
1/3/2012,186.729996,193.100006,177.350006,192.600006,5742000,170.751999
12/1/2011,187.009995,194.899994,179.039993,183.880005,5093600,163.021179
11/1/2011,181.550003,189.970001,177.059998,188,4992900,166.673813
10/3/2011,174.360001,190.529999,168.880005,184.630005,7108200,163.030731
9/1/2011,172.710007,180.910004,158.759995,174.869995,6938200,154.412506
8/1/2011,182.600006,183.690002,157.130005,171.910004,8744700,151.798798
7/1/2011,171.610001,185.630005,171.490005,181.850006,6012900,159.87973
6/1/2011,168.899994,172.449997,161.520004,171.550003,5024800,150.824127
5/2/2011,172.110001,173.539993,165.899994,168.929993,5710800,148.52066
4/1/2011,163.699997,173,162.190002,170.580002,5317800,149.303635
3/1/2011,163.149994,167.720001,151.710007,163.070007,5807600,142.730362
2/1/2011,162.110001,166.25,159.029999,161.880005,4938900,141.688782
1/3/2011,147.210007,164.350006,146.639999,162,6301400,141.234619
12/1/2010,143.610001,147.5,143.509995,146.759995,4380100,127.948105
11/1/2010,143.639999,147.529999,141.179993,141.460007,5322400,123.327477
10/1/2010,135.509995,144,134.389999,143.600006,6939200,124.63929
9/1/2010,125.309998,136.110001,124.519997,134.139999,5834200,116.428368
8/2/2010,129.25,132.490005,122.279999,123.129997,5591700,106.872108
7/1/2010,123.550003,131.600006,120.610001,128.399994,7147600,110.896759
6/1/2010,124.690002,131.940002,122.82,123.480003,7728900,106.647453
5/3/2010,129.389999,133.100006,116,125.260002,9793300,108.184807
4/1/2010,128.949997,132.279999,127.120003,129,7271100,110.846802
3/1/2010,127.5,130.729996,125.199997,128.25,6300000,110.202347
2/1/2010,123.230003,128.270004,121.610001,127.160004,6210200,109.265739
1/4/2010,131.179993,134.25,121.900002,122.389999,8825300,104.6987
12/1/2009,127.290001,132.850006,126,130.899994,5849900,111.978584
11/2/2009,120.769997,128.940002,119.5,126.349998,5852500,108.086281
10/1/2009,119.389999,128.610001,117.260002,120.610001,8692800,102.715012
9/1/2009,117.669998,122.879997,115.150002,119.610001,6631200,101.86338
8/3/2009,118.879997,120.879997,116.120003,118.050003,5615200,100.534843
7/1/2009,105,119.370003,99.5,117.93,8250000,99.966385
6/1/2009,106.940002,110.639999,103.510002,104.419998,7637000,88.51429
5/1/2009,103.779999,106.82,99.830002,106.279999,7997800,90.090965
4/1/2009,96.129997,106.050003,95.699997,103.209999,10679800,87.034004
3/2/2009,91.169998,99.860001,83.019997,96.889999,13666700,81.704536
2/2/2009,90.599998,97.099998,82.849998,92.029999,12859400,77.606239
