"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"210","086520","에코프로","코스닥","IT H/W",46100,1050,1018357805100,"2020-10-16","-",46100,"964","47.82","12,459","3.7",300,0.65,1266,NA
"211","214150","클래시스","코스닥","의료·정밀기기",14900,50,964166603200,"2020-10-16","-",14900,"534","27.9","1,366","10.91",46,0.31,1310,NA
"212","073240","금호타이어","코스피","화학",3330,-125,956576755710,"2020-10-16","-",3330,"-","-","4,383","0.76",0,0,2266,NA
"213","005690","파미셀","코스피","의약품",15900,-2050,953347305000,"2020-10-16","-",15900,"73","217.81","859","18.51",0,0,1956,NA
"214","088800","에이스테크","코스닥","IT H/W",23050,-300,944080240400,"2020-10-16","-",23050,"-","-","2,275","10.13",0,0,1268,NA
"215","085660","차바이오텍","코스닥","제약",17800,-500,934597010000,"2020-10-16","-",17800,"884","20.14","7,187","2.48",0,0,1264,NA
"216","069260","휴켐스","코스피","화학",22850,-700,934075735800,"2020-10-16","-",22850,"1,812","12.61","15,970","1.43",1000,4.38,2261,NA
"217","175330","JB금융지주","코스피","금융업",4735,35,932714003090,"2020-10-16","-",4735,"1,641","2.89","17,615","0.27",300,6.34,1989,NA
"218","020560","아시아나항공","코스피","운수창고업",4165,-115,929774999510,"2020-10-16","-",4165,"-","-","3,552","1.17",0,0,2217,NA
"219","284740","쿠쿠홈시스","코스피","서비스업",40850,-300,916564930500,"2020-10-16","-",40850,"2,892","14.13","19,326","2.11",560,1.37,2311,NA
"220","003690","코리안리","코스피","금융업",7540,90,907583134640,"2020-10-16","-",7540,"1,550","4.86","20,404","0.37",500,6.63,1952,NA
"221","000670","영풍","코스피","철강금속",487500,9000,897994500000,"2020-10-16","-",487500,"135,469","3.6","1,767,872","0.28",10000,2.05,2115,NA
"222","023590","다우기술","코스피","서비스업",19950,-500,895089009150,"2020-10-16","-",19950,"4,283","4.66","29,783","0.67",400,2.01,2085,NA
"223","082270","젬백스","코스닥","기계·장비",22600,150,890685639400,"2020-10-16","-",22600,"-","-","2,467","9.16",0,0,1110,NA
"224","218410","RFHIC","코스닥","일반전기전자",37100,700,884746702000,"2020-10-16","-",37100,"857","43.29","8,351","4.44",200,0.54,1315,NA
"225","001680","대상","코스피","음식료품",25400,-150,880059835000,"2020-10-16","-",25400,"2,976","8.53","27,896","0.91",600,2.36,2126,NA
"226","093370","후성","코스피","화학",9470,-210,876986575930,"2020-10-16","-",9470,"87","108.85","2,295","4.13",15,0.16,2279,NA
"227","057050","현대홈쇼핑","코스피","유통업",72500,1000,8.7e+11,"2020-10-16","-",72500,"7,354","9.86","144,315","0.5",2000,2.76,2255,NA
"228","028150","GS홈쇼핑","코스닥","통신방송서비스",132500,-2400,869531250000,"2020-10-16","-",132500,"18,339","7.23","174,659","0.76",6500,4.91,1185,NA
"229","215600","신라젠","코스닥","기타서비스",12100,0,866567212500,"2020-10-16","관리종목",12100,"-","-","858","14.1",0,0,719,NA
"230","183490","엔지켐생명과학","코스닥","제약",104300,-600,858931464300,"2020-10-16","-",104300,"-","-","9,036","11.54",0,0,1302,NA
"231","210980","SK디앤디","코스피","서비스업",45050,-100,855506888200,"2020-10-16","-",45050,"2,365","19.05","19,032","2.37",600,1.33,1672,NA
"232","178920","PI첨단소재","코스닥","화학",29100,-850,854559970200,"2020-10-16","-",29100,"603","48.26","8,557","3.4",315,1.08,1300,NA
"233","016380","KG동부제철","코스피","철강금속",8490,-390,849075535530,"2020-10-16","-",8490,"-","-","8,886","0.96",0,0,2208,NA
"234","041960","코미팜","코스닥","제약",13100,100,840834975600,"2020-10-16","-",13100,"-","-","1,146","11.43",0,0,1213,NA
"235","053030","바이넥스","코스닥","제약",26300,-100,835052562400,"2020-10-16","-",26300,"273","96.34","5,056","5.2",0,0,1032,NA
"236","036540","SFA반도체","코스닥","IT H/W",5030,0,827235324090,"2020-10-16","-",5030,"146","34.45","2,066","2.43",0,0,1201,NA
"237","192650","드림텍","코스피","전기전자",13300,-550,825863606400,"2020-10-16","-",13300,"422","31.52","3,621","3.67",160,1.2,1920,NA
"238","006040","동원산업","코스피","어업",224500,6500,825630404500,"2020-10-16","-",224500,"12,635","17.77","282,744","0.79",2000,0.89,1802,NA
"239","241590","화승엔터프라이즈","코스피","기타제조",13600,-500,823298712000,"2020-10-16","-",13600,"1,031","13.19","5,759","2.36",45,0.33,2306,NA
"240","084990","헬릭스미스","코스닥","기타서비스",30750,-500,823045705500,"2020-10-16","-",30750,"-","-","7,312","4.21",0,0,1263,NA
"241","230360","에코마케팅","코스닥","기타서비스",25050,-750,811566743700,"2020-10-16","-",25050,"975","25.69","3,293","7.61",670,2.67,1318,NA
"242","033270","유나이티드제약","코스피","의약품",49950,-3650,811428858900,"2020-10-16","-",49950,"2,087","23.93","15,716","3.18",330,0.66,1933,NA
"243","122870","와이지엔터테인먼트","코스닥","오락·문화",43850,-1050,806273414150,"2020-10-16","-",43850,"-","-","18,508","2.37",0,0,1288,NA
"244","101490","에스앤에스텍","코스닥","IT H/W",37400,650,802284117800,"2020-10-16","-",37400,"528","70.83","4,489","8.33",50,0.13,942,NA
"245","206640","바디텍메드","코스닥","제약",33450,-1000,785625432000,"2020-10-16","-",33450,"507","65.98","3,134","10.67",50,0.15,1388,NA
"246","363280","티와이홀딩스","코스피","금융업",20700,-1150,776268671400,"2020-10-16","-",20700,"-","-","-","-",NA,NA,2016,NA
"247","108320","실리콘웍스","코스닥","IT H/W",47500,-850,772554250000,"2020-10-16","-",47500,"2,370","20.04","29,033","1.64",830,1.75,1283,NA
"248","025900","동화기업","코스닥","종이·목재",37900,-350,765518677800,"2020-10-16","-",37900,"1,581","23.97","26,226","1.45",150,0.4,1183,NA
"249","079160","CJ CGV","코스피","서비스업",21700,-100,7.6167e+11,"2020-10-16","-",21700,"-","-","11,590","1.87",0,0,2268,NA
"250","001800","오리온홀딩스","코스피","금융업",12100,-100,758009606200,"2020-10-16","-",12100,"804","15.05","30,747","0.39",650,5.37,2129,NA
"251","003230","삼양식품","코스피","음식료품",100500,500,757068007500,"2020-10-16","-",100500,"7,906","12.71","37,661","2.67",800,0.8,1949,NA
"252","131370","알서포트","코스닥","IT S/W & SVC",14200,-500,756392578600,"2020-10-16","-",14200,"166","85.54","1,163","12.21",20,0.14,446,NA
"253","001440","대한전선","코스피","전기전자",878,53,751983301902,"2020-10-16","-",878,"-","-","345","2.54",0,0,1883,NA
"254","071840","롯데하이마트","코스피","유통업",31850,-250,751905627200,"2020-10-16","-",31850,"-","-","81,410","0.39",1000,3.14,2265,NA
"255","025980","아난티","코스닥","숙박·음식",8800,-110,749573325600,"2020-10-16","-",8800,"-","-","4,451","1.98",0,0,1184,NA
"256","000150","두산","코스피","서비스업",45250,-1100,747703533750,"2020-10-16","-",45250,"21,900","2.07","72,969","0.62",5200,11.49,2108,NA
"257","064960","S&T모티브","코스피","운수장비",51000,-1000,745779936000,"2020-10-16","-",51000,"181","281.77","50,329","1.01",1400,2.75,2258,NA
"258","114090","GKL","코스피","서비스업",12000,-100,742268040000,"2020-10-16","-",12000,"1,170","10.26","9,460","1.27",659,5.49,2287,NA
"259","081000","일진다이아","코스피","화학",52100,-1000,739974997500,"2020-10-16","-",52100,"914","57","12,656","4.12",300,0.58,1640,NA
"260","170900","동아에스티","코스피","의약품",87600,-300,739682836800,"2020-10-16","-",87600,"8,404","10.42","76,488","1.15",1000,1.14,2296,NA
"261","178320","서진시스템","코스닥","IT H/W",40800,-750,738507172800,"2020-10-16","-",40800,"2,688","15.18","14,558","2.8",300,0.74,1299,NA
"262","090460","비에이치","코스닥","IT H/W",22000,650,736399136000,"2020-10-16","-",22000,"1,926","11.42","8,551","2.57",0,0,1270,NA
"263","213420","덕산네오룩스","코스닥","IT H/W",30500,-300,732305366000,"2020-10-16","-",30500,"798","38.22","6,662","4.58",0,0,1309,NA
"264","003240","태광산업","코스피","화학",656000,7000,730390400000,"2020-10-16","-",656000,"161,659","4.06","2,855,185","0.23",1550,0.24,2135,NA
