"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"82","011070","LG이노텍","KOSPI","전기전자",209500,-4000,-1.87,4958258916500
"83","066570","LG전자","KOSPI","전기전자",156500,-2000,-1.26,25610882891000
"84","066575","LG전자우","KOSPI","전기전자",73000,-1000,-1.35,1254577416000
"85","108670","LG하우시스","KOSPI","화학",85700,1700,2.02,768529319000
"86","108675","LG하우시스우","KOSPI","화학",39050,1100,2.9,40312486500
"87","037560","LG헬로비전","KOSPI","서비스업",4900,15,0.31,379489638500
"88","051910","LG화학","KOSPI","화학",810000,-1000,-0.12,57179797830000
"89","051915","LG화학우","KOSPI","화학",385500,-5500,-1.41,2964032400000
"90","079550","LIG넥스원","KOSPI","기계",41450,-650,-1.54,9.119e+11
"91","006260","LS","KOSPI","기타금융",65700,500,0.77,2.11554e+12
"92","010120","LS ELECTRIC","KOSPI","전기전자",61600,-400,-0.65,1.848e+12
"93","000680","LS네트웍스","KOSPI","유통업",2915,10,0.34,229710791640
"94","229640","LS전선아시아","KOSPI","기타금융",7960,70,0.89,243774036840
"95","023150","MH에탄올","KOSPI","음식료품",8890,-10,-0.11,65595096140
"96","035420","NAVER","KOSPI","서비스업",381500,-3000,-0.78,62666485192500
"97","181710","NHN","KOSPI","서비스업",73200,500,0.69,1432159830000
"98","005940","NH투자증권","KOSPI","증권",12250,150,1.24,3447258865750
"99","005945","NH투자증권우","KOSPI","증권",9980,30,0.3,188332260640
"100","338100","NH프라임리츠","KOSPI","서비스업",4415,0,0,82383900000
"101","034310","NICE","KOSPI","서비스업",17600,50,0.28,666728480000
"102","008260","NI스틸","KOSPI","철강금속",4055,100,2.53,115973474435
"103","004250","NPC","KOSPI","화학",4505,195,4.52,165423600000
"104","004255","NPC우","KOSPI","화학",2435,30,1.25,12856800000
"105","010060","OCI","KOSPI","화학",124000,2500,2.06,2957322004000
"106","005490","POSCO","KOSPI","철강금속",331500,2500,0.76,28902435802500
"107","010950","S-Oil","KOSPI","화학",79700,-400,-0.5,8972848522400
"108","010955","S-Oil우","KOSPI","화학",45000,-250,-0.55,180986715000
"109","034120","SBS","KOSPI","서비스업",22000,-50,-0.23,401556804000
"110","101060","SBS미디어홀딩스","KOSPI","서비스업",2075,20,0.97,290284594250
"111","005090","SGC에너지","KOSPI","전기가스업",40600,200,0.5,595886362400
"112","004060","SG세계물산","KOSPI","유통업",749,-2,-0.27,151616295040
"113","001380","SG충방","KOSPI","운수장비",4350,-20,-0.46,195594022050
"114","002360","SH에너지화학","KOSPI","화학",993,12,1.22,110355793890
"115","009160","SIMPAC","KOSPI","기계",3460,15,0.44,226386125360
"116","123700","SJM","KOSPI","운수장비",4330,5,0.12,67569208340
"117","025530","SJM홀딩스","KOSPI","유통업",3825,-5,-0.13,57122580600
"118","034730","SK","KOSPI","기타금융",279000,1000,0.36,19630522863000
"119","011790","SKC","KOSPI","화학",133500,0,0,5055417783000
"120","018670","SK가스","KOSPI","유통업",103500,1000,0.98,955330254000
"121","001740","SK네트웍스","KOSPI","유통업",5540,-30,-0.54,1374959564380
"122","001745","SK네트웍스우","KOSPI","유통업",117000,0,0,13296816000
"123","006120","SK디스커버리","KOSPI","기타금융",58800,300,0.51,1119425874000
"124","006125","SK디스커버리우","KOSPI","기타금융",42050,750,1.82,57123032750
"125","210980","SK디앤디","KOSPI","서비스업",36900,-50,-0.14,700737051600
"126","068400","SK렌터카","KOSPI","서비스업",10650,-50,-0.47,503594196000
"127","302440","SK바이오사이언스","KOSPI","의약품",125500,11000,9.61,9.60075e+12
"128","326030","SK바이오팜","KOSPI","서비스업",105500,3000,2.93,8262047875000
"129","03473K","SK우","KOSPI","기타금융",259000,0,0,146628965000
"130","096770","SK이노베이션","KOSPI","화학",243500,11000,4.73,22515364834000
"131","096775","SK이노베이션우","KOSPI","화학",179000,8500,4.99,223468254000
"132","001510","SK증권","KOSPI","증권",1115,-25,-2.19,526938040665
"133","001515","SK증권우","KOSPI","증권",5650,-120,-2.08,22105704100
"134","285130","SK케미칼","KOSPI","화학",255000,5000,2,2994055980000
"135","28513K","SK케미칼우","KOSPI","화학",112000,2500,2.28,163371040000
"136","017670","SK텔레콤","KOSPI","통신업",280000,-1000,-0.36,22608799080000
"137","000660","SK하이닉스","KOSPI","전기전자",144000,500,0.35,104832340560000
"138","064960","SNT모티브","KOSPI","운수장비",60700,600,1,887624355200
"139","100840","SNT에너지","KOSPI","기계",18300,650,3.68,137372811300
"140","003570","SNT중공업","KOSPI","운수장비",7520,140,1.9,250060281440
"141","036530","SNT홀딩스","KOSPI","기타금융",18000,100,0.56,293469948000
"142","005610","SPC삼립","KOSPI","음식료품",73300,400,0.55,632506359700
"143","011810","STX","KOSPI","유통업",6060,0,0,119545026120
"144","077970","STX엔진","KOSPI","기계",8350,110,1.33,192124348400
"145","071970","STX중공업","KOSPI","기계",4145,65,1.59,117576970520
"146","084870","TBH글로벌","KOSPI","섬유의복",1935,-20,-1.02,40357944765
"147","002710","TCC스틸","KOSPI","철강금속",4795,-20,-0.42,1.10285e+11
"148","024070","WISCOM","KOSPI","화학",3735,30,0.81,57244245930
"149","037270","YG PLUS","KOSPI","서비스업",5760,-80,-1.37,365184576000
"150","000500","가온전선","KOSPI","전기전자",27900,-150,-0.53,116073681300
"151","000860","강남제비스코","KOSPI","화학",30600,1250,4.26,1.989e+11
"152","035250","강원랜드","KOSPI","서비스업",25150,-450,-1.76,5380603575000
"153","011420","갤럭시아에스엠","KOSPI","서비스업",1720,25,1.47,47385387680
"154","002100","경농","KOSPI","화학",13400,-100,-0.74,290669450000
"155","009450","경동나비엔","KOSPI","전기전자",49750,0,0,676835317500
"156","267290","경동도시가스","KOSPI","전기가스업",20150,100,0.5,118792430900
"157","012320","경동인베스트","KOSPI","기타금융",40400,-1500,-3.58,95546929200
"158","000050","경방","KOSPI","유통업",13000,-50,-0.38,356398510000
"159","214390","경보제약","KOSPI","의약품",12450,400,3.32,297640407000
"160","012610","경인양행","KOSPI","화학",6860,0,0,284253463900
"161","009140","경인전자","KOSPI","전기전자",30600,600,2,48066388200
"162","013580","계룡건설","KOSPI","건설업",35800,2600,7.83,319726470600
"163","012200","계양전기","KOSPI","기계",4430,-30,-0.67,1.44418e+11
"164","012205","계양전기우","KOSPI","기계",7180,170,2.43,1.0052e+10
"165","002140","고려산업","KOSPI","음식료품",4200,-120,-2.78,104745585000
"166","010130","고려아연","KOSPI","철강금속",411000,-2500,-0.6,7.75557e+12
"167","002240","고려제강","KOSPI","철강금속",26500,2500,10.42,6.095e+11
"168","009290","광동제약","KOSPI","의약품",8860,160,1.84,464448739860
"169","017040","광명전기","KOSPI","전기전자",2570,-30,-1.15,111377670550
"170","017900","광전자","KOSPI","전기전자",2345,5,0.21,135878124235
"171","037710","광주신세계","KOSPI","유통업",173000,0,0,2.768e+11
"172","030610","교보증권","KOSPI","증권",8410,-20,-0.24,543734219360
"173","339770","교촌에프앤비","KOSPI","유통업",18300,0,0,457180482000
"174","007690","국도화학","KOSPI","화학",72800,-200,-0.27,423012844800
"175","005320","국동","KOSPI","유통업",3955,-55,-1.37,167503797370
"176","001140","국보","KOSPI","운수창고업",2160,15,0.7,109803299760
"177","002720","국제약품","KOSPI","의약품",7420,20,0.27,143028587800
