"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"373","074600","원익QnC",24100,-200,-0.82,"KOSDAQ","비금속",633540800000,99,243.43,8103,2.97,0,0
"374","033660","우리금융캐피탈",11000,0,0,"KOSPI","기타금융",633004790000,1784,6.17,14145,0.78,650,5.91
"375","005610","SPC삼립",73300,400,0.55,"KOSPI","음식료품",632506359700,2492,29.41,37411,1.96,1104,1.51
"376","001060","JW중외제약",29300,0,0,"KOSPI","의약품",631119831800,NA,NA,10059,2.91,325,1.11
"377","036810","에프에스티",28950,-550,-1.86,"KOSDAQ","반도체",629859041550,1002,28.89,5592,5.18,80,0.28
"378","015350","부산가스",57100,200,0.35,"KOSPI","전기가스업",6.281e+11,4892,11.67,60885,0.94,1000,1.75
"379","034830","한국토지신탁",2485,40,1.64,"KOSPI","기타금융",627435736550,449,5.53,3476,0.71,110,4.43
"380","089970","에이피티씨",26500,0,0,"KOSDAQ","기계·장비",624461767500,656,40.4,2561,10.35,0,0
"381","009970","영원무역홀딩스",45750,150,0.33,"KOSPI","기타금융",623828334000,10421,4.39,100896,0.45,1000,2.19
"382","011000","진원생명과학",13800,1500,12.2,"KOSPI","의약품",623608310400,NA,NA,898,15.37,0,0
"383","097230","한진중공업",7460,170,2.33,"KOSPI","건설업",621226136260,5185,1.44,2943,2.53,0,0
"384","092190","서울바이오시스",16250,-50,-0.31,"KOSDAQ","IT부품",621134361250,147,110.54,4404,3.69,38,0.23
"385","038500","삼표시멘트",5770,-150,-2.53,"KOSDAQ","비금속",619450888210,173,33.35,5916,0.98,50,0.87
"386","007390","네이처셀",10100,150,1.51,"KOSDAQ","제약",619195195500,16,631.25,1338,7.55,0,0
"387","081000","일진다이아",43350,1650,3.96,"KOSPI","화학",615698966250,914,47.43,12656,3.43,300,0.69
"388","002320","한진",41150,200,0.49,"KOSPI","운수창고업",615094892200,NA,NA,72343,0.57,500,1.22
"389","182400","엔케이맥스",17700,500,2.91,"KOSDAQ","제약",613317885600,NA,NA,3408,5.19,0,0
"390","263050","유틸렉스",40300,250,0.62,"KOSDAQ","제약",610830928500,NA,NA,4300,9.37,0,0
"391","052400","코나아이",39200,300,0.77,"KOSDAQ","소프트웨어",609917425600,NA,NA,5557,7.05,0,0
"392","005070","코스모신소재",20850,250,1.21,"KOSPI","화학",609820070250,NA,NA,5026,4.15,0,0
"393","002240","고려제강",26500,2500,10.42,"KOSPI","철강금속",6.095e+11,434,61.06,59916,0.44,350,1.32
"394","123890","한국자산신탁",4890,175,3.71,"KOSPI","기타금융",606251207280,733,6.67,5339,0.92,200,4.09
"395","090460","비에이치",17950,100,0.56,"KOSDAQ","IT부품",604783749600,1926,9.32,8551,2.1,0,0
"396","078160","메디포스트",36900,550,1.51,"KOSDAQ","제약",600148758600,NA,NA,7145,5.16,0,0
"397","005180","빙그레",60700,300,0.5,"KOSPI","음식료품",597970328700,4644,13.07,57976,1.05,1450,2.39
"398","039840","디오",38450,450,1.18,"KOSDAQ","의료·정밀기기",596882496900,1483,25.93,9174,4.19,0,0
"399","014830","유니드",67100,-100,-0.15,"KOSPI","화학",596508465300,7600,8.83,79982,0.84,1200,1.79
"400","005090","SGC에너지",40600,200,0.5,"KOSPI","전기가스업",595886362400,NA,NA,56341,0.72,1000,2.46
"401","334970","프레스티지바이오로직스",13300,400,3.1,"KOSDAQ","제약",595493082800,NA,NA,814,16.34,0,0
"402","008490","서흥",51200,200,0.39,"KOSPI","화학",592338585600,2853,17.95,25552,2,400,0.78
"403","102710","이엔에프테크놀로지",41450,50,0.12,"KOSDAQ","화학",592230802200,3285,12.62,18688,2.22,150,0.36
"404","271980","제일약품",40200,1650,4.28,"KOSPI","의약품",591135854400,NA,NA,11564,3.48,70,0.17
"405","286940","롯데정보통신",38300,-200,-0.52,"KOSPI","서비스업",589679477300,3720,10.3,25357,1.51,700,1.83
"406","145990","삼양사",57000,-200,-0.35,"KOSPI","음식료품",587866593000,3375,16.89,104070,0.55,1000,1.75
"407","091700","파트론",10850,-150,-1.36,"KOSDAQ","IT부품",587597048500,1186,9.15,6531,1.66,350,3.23
"408","104700","한국철강",12650,850,7.2,"KOSPI","철강금속",582532500000,415,30.48,15742,0.8,200,1.58
"409","243070","휴온스",58600,1000,1.74,"KOSDAQ","제약",579011598400,3525,16.62,17921,3.27,700,1.19
