"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.100"," "," ","경기도 포천시 영중면 양문공단로2길 11"," ","2018","㈜경향섬유"," ","150707"," "," ","9868"
"measureResultList.101"," ","1100","경기도 포천시 영중면 양문공단로3길 20","35682","2018","㈜천일에너지","848","150610","3714"," ","85062"
"measureResultList.102"," "," ","경기도 하남시 조정대로 77"," ","2018","나래에너지서비스㈜하남사업소"," ","150629"," "," ","77914"
"measureResultList.103"," "," ","경기도 평택시 진위면 진위서로 63"," ","2018","매일유업㈜평택공장"," ","150680"," "," ","16460"
"measureResultList.104"," ","478","경기도 양주시 남면 검준2길 21","1189","2018","에스앤이에너지㈜","364","150627","3278"," ","33442"
"measureResultList.105"," ","146","경기도 안산시 단원구 신원로 50 (신길동)","752","2018","대양제지공업㈜","1187","150004","8503"," ","25611"
"measureResultList.106"," ","1791","경기도 안산시 단원구 지원로 7 (성곡동)","932","2018","대일개발㈜","2130","150005","32021"," ","87639"
"measureResultList.107"," ","1276","경기도 안산시 단원구 첨단로 215 (성곡동)","6195","2018","성림유화㈜","3631","150006","4855"," ","53692"
"measureResultList.108"," ","947","경기도 안산시 단원구 신원로91번길 16 (성곡동)","1249","2018","부경산업㈜","1604","150008","12623"," ","38433"
"measureResultList.109"," ","1861","경기도 안산시 단원구 별망로 129","1866","2018","신대양제지㈜","6555","150009","8465"," ","86795"
"measureResultList.110"," ","271","경기도 안산시 단원구 목내로 29 (목내동)","638","2018","신대양제지반월㈜","3018","150010","5007"," ","52445"
"measureResultList.111"," ","1204","경기도 시흥시 군자천로 99","180","2018","㈜고려제지","603","150016","26179"," ","50015"
"measureResultList.112"," "," ","경기도 평택시 포승읍 포승공단로117번길 35"," ","2018","동우화인켐㈜평택공장"," ","150195"," "," ","6501"
"measureResultList.113"," ","286","경기도 평택시 고덕면 고덕로 85","657","2018","삼정펄프㈜","98","150192","3909"," ","24511"
"measureResultList.114"," ","686","경기도 부천시 벌말로 122 (대장동)"," ","2018","부천시자원순환센터","1525","150069","5225"," ","27641"
"measureResultList.115"," "," ","경기도 화성시 큰재봉길 16 (석우동)"," ","2018","한국지역난방공사 화성지사"," ","150189"," "," ","215138"
"measureResultList.116"," "," ","경기도 광명시 기아로 113"," ","2018","기아자동차㈜"," ","150227"," "," ","11365"
"measureResultList.117"," ","545","경기도 여주시 능서면 능서로 577"," ","2018","이화산업㈜ 여주공장"," ","150177"," "," ","22149"
"measureResultList.118"," ","0","경기도 화성시 남양읍 매바위로 570-10","0","2018","㈜신승에너지","0","150754","0"," "," "
"measureResultList.119"," "," ","경기도 오산시 황새로149번길 55"," ","2018","디에스파워㈜"," ","150630"," "," ","216829"
"measureResultList.120"," ","298","경기도 수원시 영통구 삼성로 129 (매탄동)","132","2018","삼성전자㈜수원사업장","55","150057","1732"," ","23361"
"measureResultList.121"," ","474","경기도 수원시 영통구 매영로 293 (영통동)","115519","2018","한국지역난방공사 수원지사"," ","150059"," "," ","46075"
"measureResultList.122"," ","1886","경기도 성남시 중원구 둔촌대로 567 (상대원동)","1186","2018","성남시청(성남시환경에너지시설)","900","150061","8838"," ","44756"
"measureResultList.123"," "," ","경기도 안양시 동안구 부림로 100 (평촌동)"," ","2018","GS파워㈜안양열병합발전처"," ","150063"," "," ","635286"
"measureResultList.124"," "," ","경기도 부천시 삼작로 21 (삼정동)"," ","2018","GS파워㈜부천열병합발전처"," ","150067"," "," ","603710"
"measureResultList.125"," ","508","경기도 광명시 가학로85번길 142 (가학동)"," ","2018","광명시자원회수시설","3028","150070","4920"," ","58009"
"measureResultList.126"," ","905","경기도 고양시 일산동구 경의로 115 (백석동)"," ","2018","고양시환경에너지시설","1692","150072","12889"," ","26307"
"measureResultList.127"," "," ","경기도 고양시 일산동구 경의로 201 (백석동)"," ","2018","한국동서발전㈜일산화력본부"," ","150073"," "," ","568336"
"measureResultList.128"," "," ","경기도 안산시 단원구 첨단로 670 (초지동)"," ","2018","안산도시개발㈜"," ","150074"," "," ","2449"
"measureResultList.129"," ","1155","경기도 안양시 만안구 박달로 313 (박달동)","79549","2018","㈜수석"," ","150103"," "," ","51254"
"measureResultList.130"," ","1197","경기도 평택시 진위면 진위서로 23","34363","2018","홍원제지㈜"," ","150107"," "," ","36618"
"measureResultList.131"," ","543","경기도 평택시 진위면 서탄로 9","288","2018","영풍제지㈜","53","150108","2340"," ","46016"
"measureResultList.132"," ","187","경기도 여주시 가남읍 헌바디길 23-13","659","2018","㈜에이스침대 여주공장","59","150193","2880"," ","1557"
"measureResultList.133"," ","85","경기도 포천시 신북면 중앙로461번길 17","754","2018","포천시슬러지소각시설","88","150159","116"," ","1297"
"measureResultList.134"," ","258","경기도 부천시 벌말로 220 (대장동)","224","2018","부천시 하수슬러지 처리시설","263","150188","2171"," ","2584"
"measureResultList.135"," ","85","경기도 평택시 산단로 205 (칠괴동)"," ","2018","평택시청(칠괴폐기물처리시설)","72","150142","1322"," ","1748"
"measureResultList.136"," ","160","경기도 포천시 창수면 방골길 235"," ","2018","㈜엔비텍코리아","178","150175","403"," ","9732"
"measureResultList.137"," ","292","경기도 연천군 청산면 초대로 219-11"," ","2018","㈜보광에너지(구 포스코아이씨티)","219","150340","2273"," ","5693"
"measureResultList.138"," ","152","경기도 연천군 청산면 초대로106번길 125","32","2018","연천군청","242","150597","128"," ","7835"
"measureResultList.139"," ","0","경기도 연천군 청산면 초대로 221","0","2018","지에스플라텍㈜","0","150601","0"," ","0"
"measureResultList.140"," ","187","경기도 하남시 미사대로 710 (신장동)"," ","2018","하남시청","473","150615","1035"," ","8184"
"measureResultList.141"," ","122","경기도 시흥시 공단1대로80번길 15 (정왕동)"," ","2018","㈜우진고분자"," ","150119"," "," "," "
"measureResultList.142"," ","1411","경기도 연천군 전곡읍 양연로402번길 244"," ","2018","도시환경㈜","607","150144","6070"," ","33783"
"measureResultList.143"," ","161","경기도 양평군 옥천면 경강로 1496","314","2018","양평군 환경사업소","170","150148","566"," ","1425"
