"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","1806","광주광역시 서구 매월1로 50-4 (매월동)","10584","2015","㈜명성환경","2040","111003","2090"," ","26686"
"measureResultList.2"," ","805","광주광역시 서구 내방로 2 (치평동)"," ","2015","상무소각장","4776","111002","4903"," ","40421"
"measureResultList.3"," ","552","광주광역시 광산구 금동학동길 306-23 (덕림동)","1888","2015","초당환경(유)","16","111004","2649"," ","19238"
"measureResultList.4"," ","62","광주광역시 남구 산남로 690-14 (양과동)"," ","2015","주식회사 이에스지광주","153","111005","506"," ","2981"
"year","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"brtcCode","5","5","5","5","5","5","5","5","5","5","5"
