"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," "," ","전라남도 광양시 제철로 2408 (금호동)","13229","2017","㈜피엠씨텍"," ","110054","19269"," ","25376"
"measureResultList.2"," ","1048","전라남도 여수시 낙포단지길 45 (낙포동)"," ","2017","한국유에스지보랄㈜"," ","110006"," "," ","5737"
"measureResultList.3"," ","10304","전라남도 여수시 여수산단3로 2 (평여동)"," ","2017","여천NCC㈜여수1공장"," ","110010"," "," ","471567"
"measureResultList.4"," ","12448","전라남도 여수시 여수산단2로 55 (화치동)","46889","2017","㈜엘지화학(여수공장-화치)"," ","110014","1837"," ","371484"
"measureResultList.5"," ","1632","전라남도 여수시 여수산단2로 218 (화치동)","15843","2017","금호피앤비화학㈜1공장"," ","110015"," "," ","29917"
"measureResultList.6"," ","8640","전라남도 여수시 여수산단2로 46-20 (월하동)"," ","2017","여천NCC㈜여수2공장"," ","110020"," "," ","307106"
"measureResultList.7"," ","227389","전라남도 광양시 폭포사랑길 20-26 (금호동)","9260432","2017","㈜포스코 광양제철소","3564","110022","227"," ","10505504"
"measureResultList.8"," ","7925","전라남도 여수시 상암로 830-7 (낙포동)"," ","2017","㈜케이씨씨 여천공장"," ","110009"," "," ","117611"
"measureResultList.9"," "," ","전라남도 여수시 여수산단로 1121 (월내동)"," ","2017","㈜LG화학 VCM공장","74","110013","96"," ","2073"
"measureResultList.10"," ","20240","전라남도 여수시 여수산단4로 53 (중흥동)"," ","2017","롯데케미칼 주식회사 여수1공장"," ","110019"," "," ","389615"
"measureResultList.11"," "," ","전라남도 광양시 산업로 109 (태인동)"," ","2017","OCI㈜광양공장"," ","110026"," "," ","340126"
"measureResultList.12"," ","51221","전라남도 여수시 여수산단로 1203 (월내동)","2594457","2017","한국동서발전㈜ 호남화력본부"," ","110004"," "," ","3142629"
"measureResultList.13"," ","2180","전라남도 여수시 여수산단로 1232 (월내동)","2107","2017","㈜와이엔텍","1024","110028","1630"," ","47518"
"measureResultList.14"," ","1907","전라남도 여수시 진달래길 310-73 (월내동)","2281","2017","케이씨환경서비스㈜-월내","979","110029","4866"," ","28972"
"measureResultList.15"," ","129","전라남도 여수시 산단중앙로 409 (중흥동)","742","2017","미래환경에너지㈜ 슬러지자원화시설","103","110052","1308"," ","4247"
"measureResultList.16"," ","2652","전라남도 여수시 여수산단4로 129 (중흥동)"," ","2017","롯데엠시시 주식회사"," ","110051","2106"," ","20622"
"measureResultList.17","251"," ","전라남도 여수시 여수산단로 1384","195684","2017","남해화학㈜"," ","110001"," ","29"," "
"measureResultList.18"," ","9931","전라남도 여수시 여수산단2로 46-51 (월하동)","14658","2017","금호석유화학㈜ 여수제1에너지"," ","110027"," "," ","706810"
"measureResultList.19"," ","3368","전라남도 담양군 대전면 대치7길 80","1013","2017","한솔페이퍼텍주식회사","4053","112201","3454"," ","53090"
"measureResultList.20"," ","187","전라남도 무안군 삼향읍 삼향중앙로 140-51","1540","2017","(유)남해환경","371","112003","2347"," ","14342"
"measureResultList.21"," ","592","전라남도 나주시 나주로 54 (송월동)"," ","2017","㈜엘지화학 나주공장"," ","112101","2381"," ","7193"
"measureResultList.22"," ","299","전라남도 장흥군 장평면 고정길 12"," ","2017","㈜이메디원","612","112202","1318"," ","8299"
"measureResultList.23"," ","84","전라남도 해남군 해남읍 호교길 73-265"," ","2017","해남군생활폐기물처리시설","400","112203","4626"," ","3916"
"measureResultList.24"," "," ","전라남도 광양시 제철로 2148-567 (금호동)"," ","2017","에스케이이엔에스 주식회사"," ","110035"," "," ","998782"
"measureResultList.25"," ","86","전라남도 영암군 삼호읍 대아로 37","106","2017","영암군대불하수종말처리장소각시설","35","112004","1632"," ","1712"
"measureResultList.26"," "," ","전라남도 순천시 해룡면 인덕로 300"," ","2017","현대제철㈜","507","110102"," "," "," "
"measureResultList.27"," ","1920","전라남도 광양시 명당2길 20 (태인동)","1358","2017","피제이메탈"," ","110040"," "," "," "
"measureResultList.28"," ","36471","전라남도 장성군 장성읍 영천로 35"," ","2017","주식회사 고려시멘트"," ","112102"," "," ","619758"
"measureResultList.29"," "," ","전라남도 여수시 진달래길 310-88 (월내동)"," ","2017","오리온엔지니어드카본즈㈜"," ","110003"," "," ","524496"
