"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," "," ","울산광역시 울주군 온산읍 이진로 71"," ","2016","제이엠씨","58","130149"," "," "," "
"measureResultList.2"," ","88263","울산광역시 남구 용잠로 623 (남화동)","2633661","2016","동서발전 울산화력"," ","130158"," "," ","5041397"
"measureResultList.3"," "," ","울산광역시 남구 상개로 141 (상개동)"," ","2016","한화솔루션㈜울산1","0","130159"," "," "," "
"measureResultList.4"," ","1799","울산광역시 남구 처용로 260-158 (부곡동)"," ","2016","대한유화㈜울산공장"," ","130123"," "," ","17797"
"measureResultList.5"," ","2039","울산광역시 남구 처용로 524 (성암동)"," ","2016","울산시소각장","5431","130166","3462"," ","59770"
"measureResultList.6"," ","5877","울산광역시 남구 용잠로 328 (용잠동)","11243","2016","코엔텍","1096","130167","11084"," ","148358"
"measureResultList.7"," ","963","울산광역시 남구 용잠로 339 (용잠동)","7799","2016","NC울산㈜","1371","130169","6802"," ","32202"
"measureResultList.8"," ","871","울산광역시 울주군 온산읍 온산로 219-3"," ","2016","범우","321","130171","2028"," ","25848"
"measureResultList.9"," ","3958","울산광역시 울주군 온산읍 온산로 134"," ","2016","대한유화(주) 온산공장"," ","130127"," "," ","80982"
"measureResultList.10"," ","11761","울산광역시 남구 용잠로 255"," ","2016","SK picglobal"," ","130145","10230"," ","221121"
"measureResultList.11"," "," ","울산광역시 남구 납도로 156 (매암동)","137900","2016","켐그린에너지"," ","130199"," "," ","58710"
"measureResultList.12"," "," ","울산광역시 남구 용연로 299 (황성동)"," ","2016","에스케이어드밴스드㈜"," ","130102"," "," ","19504"
"measureResultList.13"," ","1131","울산광역시 남구 여천로 228 (여천동)"," ","2016","㈜티에스케이이앤피","3963","130103","7831"," ","30737"
"measureResultList.14"," ","13730","울산광역시 남구 사평로 60 (부곡동)","555472","2016","한주"," ","130143"," "," ","597348"
"measureResultList.15"," "," ","울산광역시 울주군 온산읍 공단로 160"," ","2016","바스프 온산공장"," ","130182"," "," ","19129"
"measureResultList.16"," "," ","울산광역시 울주군 언양읍 언양로 514"," ","2016","효성언양공장","31","130183"," "," "," "
"measureResultList.17"," ","4529","울산광역시 남구 사평로 119"," ","2016","롯데케미칼㈜ 울산1공장"," ","130185"," "," "," "
"measureResultList.18"," "," ","울산광역시 울주군 온산읍 원봉로 55"," ","2016","코스모화학"," ","130188"," "," ","25105"
"measureResultList.19"," ","149649","울산광역시 남구 신여천로 2 (고사동)","2151887","2016","SK에너지"," ","130109","10559"," ","6253755"
"measureResultList.20"," ","2511","울산광역시 남구 납도로 158 (여천동)"," ","2016","한국유에스지보랄"," ","130193"," "," ","10170"
"measureResultList.21"," ","16003","울산광역시 남구 신여천로 2"," ","2016","SK종합화학"," ","130110"," "," ","642787"
"measureResultList.22"," "," ","울산광역시 울주군 온산읍 온산로 68","1195630","2016","S-Oil㈜ 온산공장"," ","130140","12113"," ","3034203"
"measureResultList.23"," ","149","울산광역시 남구 처용로 524 (성암동)","1014","2016","울산하수슬러지처리시설","82","130196","1408"," ","8340"
"measureResultList.24"," "," ","울산광역시 울주군 웅촌면 고연로 63-10"," ","2016","케이디금속","130","130197"," "," "," "
"measureResultList.25"," "," ","울산광역시 남구 여천로217번길 19","19206","2016","롯데정밀화학","342","130138"," "," ","36225"
"measureResultList.26"," ","110","울산광역시 남구 매암로 14 (매암동)","533","2016","송원산업매암","226","130184","1125"," ","12845"
"measureResultList.27"," ","851","울산광역시 남구 장생포로 285 (매암동)"," ","2016","㈜동부에너지","26","130198","22553"," ","48106"
"measureResultList.28"," ","1118","울산광역시 남구 용연로 184 (용연동)"," ","2016","롯데케미칼㈜ 울산2공장"," ","130186"," "," "," "
"measureResultList.29"," ","234","울산광역시 남구 사평로 32 (부곡동)"," ","2016","용산화학㈜"," ","130189","64"," ","1633"
"measureResultList.30"," ","1459","울산광역시 남구 납도로 141 (여천동)"," ","2016","태원물산㈜울산공장"," ","130190"," "," ","37372"
"measureResultList.31"," "," ","울산광역시 남구 용연로50번길 9 (용연동)"," ","2016","덕산갈바텍","5","130191"," "," "," "
"measureResultList.32"," "," ","울산광역시 북구 공단길 48 (연암동)"," ","2016","덕산산업","7","130192"," "," "," "
"measureResultList.33"," ","1618","울산광역시 남구 사평로 108-70"," ","2016","동서석유화학(주)"," ","130129","5425"," ","88622"
"measureResultList.34"," ","1048","울산광역시 남구 용연로179번길 18 (용연동)","192","2016","㈜토탈","931","130170","8133"," ","19942"
"measureResultList.35"," ","693","울산광역시 동구 방어진순환도로 140","202","2016","현대중공업소각설비","118","130175","3068"," ","21295"
"measureResultList.36"," "," ","울산광역시 울주군 온산읍 산남길 32"," ","2016","한화온산공장"," ","130177"," "," ","1702"
"measureResultList.37"," ","11477","울산광역시 남구 사평로 108-12 (부곡동)"," ","2016","카프로"," ","130154","7694","731","169745"
"measureResultList.38"," ","300","울산광역시 남구 장생포로 83 (여천동)","522","2016","송원산업","374","130178","1594"," ","13514"
"measureResultList.39"," "," ","울산광역시 울주군 온산읍 산암로 148","362467","2016","엘에스니꼬 동제련㈜"," ","130104"," "," ","33733"
"measureResultList.40"," ","408","울산광역시 남구 장생포로 285 (매암동)"," ","2016","에너원미포지점","622","130106","10289"," ","46027"
"measureResultList.41","0"," ","울산광역시 남구 여천로163번길 22 (여천동)"," ","2016","조비"," ","130112"," ","1025"," "
