"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," "," ","전라남도 광양시 제철로 2408 (금호동)","30468","2016","㈜피엠씨텍"," ","110054","9697"," ","23031"
"measureResultList.2"," ","946","전라남도 여수시 낙포단지길 45 (낙포동)"," ","2016","한국유에스지보랄㈜"," ","110006"," "," ","4594"
"measureResultList.3"," ","11378","전라남도 여수시 여수산단3로 2 (평여동)"," ","2016","여천NCC㈜여수1공장"," ","110010"," "," ","391264"
"measureResultList.4"," ","14605","전라남도 여수시 여수산단2로 55 (화치동)","45028","2016","㈜엘지화학(여수공장-화치)"," ","110014","2106"," ","456894"
"measureResultList.5"," ","4244","전라남도 여수시 여수산단2로 218 (화치동)","29935","2016","금호피앤비화학㈜1공장"," ","110015"," "," ","20308"
"measureResultList.6"," ","10333","전라남도 여수시 여수산단2로 46-20 (월하동)"," ","2016","여천NCC㈜여수2공장"," ","110020"," "," ","284865"
"measureResultList.7"," ","216109","전라남도 광양시 폭포사랑길 20-26 (금호동)","9697638","2016","㈜포스코 광양제철소","2997","110022","191"," ","10147318"
"measureResultList.8"," ","2453","전라남도 여수시 상암로 830-7 (낙포동)"," ","2016","㈜케이씨씨 여천공장"," ","110009"," "," ","92864"
"measureResultList.9"," "," ","전라남도 여수시 여수산단로 1121 (월내동)"," ","2016","㈜LG화학 VCM공장","37","110013","100"," ","1005"
"measureResultList.10"," ","19861","전라남도 여수시 여수산단4로 53 (중흥동)"," ","2016","롯데케미칼 주식회사 여수1공장"," ","110019"," "," ","315060"
"measureResultList.11"," "," ","전라남도 광양시 산업로 109 (태인동)"," ","2016","OCI㈜광양공장"," ","110026"," "," ","332165"
"measureResultList.12"," ","54571","전라남도 여수시 여수산단로 1203 (월내동)","2857147","2016","한국동서발전㈜ 호남화력본부"," ","110004"," "," ","3410032"
"measureResultList.13"," ","1723","전라남도 여수시 여수산단로 1232 (월내동)","879","2016","㈜와이엔텍","1221","110028","1954"," ","47136"
"measureResultList.14"," ","1860","전라남도 여수시 진달래길 310-73 (월내동)","394","2016","케이씨환경서비스㈜-월내","1287","110029","4316"," ","32643"
"measureResultList.15"," ","83","전라남도 여수시 산단중앙로 409 (중흥동)","450","2016","미래환경에너지㈜ 슬러지자원화시설","34","110052","1461"," ","4483"
"measureResultList.16"," ","952","전라남도 여수시 여수산단4로 129 (중흥동)"," ","2016","롯데엠시시 주식회사"," ","110051","11586"," ","21713"
"measureResultList.17","108"," ","전라남도 여수시 여수산단로 1384","108368","2016","남해화학㈜"," ","110001"," ","47"," "
"measureResultList.18"," ","14225","전라남도 여수시 여수산단2로 46-51 (월하동)","9022","2016","금호석유화학㈜ 여수제1에너지"," ","110027"," "," ","714873"
"measureResultList.19"," ","5714","전라남도 담양군 대전면 대치7길 80","2910","2016","한솔페이퍼텍주식회사","4085","112201","6429"," ","65623"
"measureResultList.20"," ","368","전라남도 무안군 삼향읍 삼향중앙로 140-51","2714","2016","(유)남해환경","286","112003","1364"," ","12010"
"measureResultList.21"," ","587","전라남도 나주시 나주로 54 (송월동)"," ","2016","㈜엘지화학 나주공장"," ","112101","1068"," ","5040"
"measureResultList.22"," ","226","전라남도 장흥군 장평면 고정길 12"," ","2016","㈜이메디원","327","112202","672"," ","6529"
"measureResultList.23"," ","86","전라남도 해남군 해남읍 호교길 73-265"," ","2016","해남군생활폐기물처리시설","104","112203","3765"," ","3570"
"measureResultList.24"," "," ","전라남도 광양시 제철로 2148-567 (금호동)"," ","2016","에스케이이엔에스 주식회사"," ","110035"," "," ","946379"
"measureResultList.25"," ","34","전라남도 영암군 삼호읍 대아로 37","3","2016","영암군대불하수종말처리장소각시설","32","112004","472"," ","1311"
"measureResultList.26"," "," ","전라남도 순천시 해룡면 인덕로 300"," ","2016","현대제철㈜","417","110102"," "," "," "
"measureResultList.27"," ","2198","전라남도 광양시 명당2길 20 (태인동)","65","2016","피제이메탈"," ","110040"," "," "," "
"measureResultList.28"," ","32969","전라남도 장성군 장성읍 영천로 35"," ","2016","주식회사 고려시멘트"," ","112102"," "," ","692452"
"measureResultList.29"," "," ","전라남도 여수시 진달래길 310-88 (월내동)"," ","2016","오리온엔지니어드카본즈㈜"," ","110003"," "," ","463194"
"measureResultList.30"," ","6235","전라남도 여수시 여수산단4로 58 (중흥동)"," ","2016","㈜LG화학 용성공장"," ","110025","1364"," ","157588"
"measureResultList.31"," ","102111","전라남도 여수시 여수산단로 918 (적량동)","7040666","2016","지에스칼텍스㈜"," ","110002","368113"," ","3064251"
"measureResultList.32"," ","8306","전라남도 여수시 여수산단2로 284 (화치동)","36561","2016","한국바스프㈜ 여수공장","1","110021","120"," ","44486"
"measureResultList.33"," ","2000","전라남도 영암군 삼호읍 나불로 230","125","2016","보워터코리아","4324","112001","7302"," ","45259"
"measureResultList.34"," "," ","전라남도 여수시 상암로 963 (월내동)"," ","2016","휴켐스㈜ 여수공장"," ","110032"," "," ","156227"
"measureResultList.35"," ","235","전라남도 무안군 청계면 영산로 1525-26","967","2016","㈜동양환경","1195","112005","1126"," ","9083"
"measureResultList.36"," ","52","전라남도 무안군 무안읍 몽탄로 125-33","203","2016","무안환경관리센터","70","112007","5155"," ","11654"
"measureResultList.37"," ","68","전라남도 고흥군 도양읍 도양해안로 446-74"," ","2016","고흥군폐기물처리장","205","112207","160"," ","2715"
"measureResultList.38"," ","12216","전라남도 광양시 제철로 2148-139 (금호동)"," ","2016","㈜SNNC"," ","110042"," "," "," "
"measureResultList.39"," ","28684","전라남도 여수시 여수산단2로 223-84 (화치동)","301110","2016","금호석유화학㈜ 여수제2에너지"," ","110044"," "," ","502454"
"measureResultList.40"," ","195","전라남도 담양군 담양읍 태봉로 228-73"," ","2016","담양군생활폐기물소각장","83","112208","1349"," ","4840"
"measureResultList.41"," ","19944","전라남도 광양시 백운1로 48 (태인동)"," ","2016","㈜포스코케미칼 광양사무소"," ","110045"," "," ","373768"
"measureResultList.42"," ","16","전라남도 진도군 군내면 한의길 115","447","2016","진도군 환경관리센터","247","112205","514"," ","1474"
"measureResultList.43"," ","60466","전라남도 여수시 산단중앙로 145 (화치동)","1189144","2016","한화에너지㈜ 여수공장"," ","110046"," "," ","1309584"
"measureResultList.44"," ","51","전라남도 영암군 군서면 녹색환경길 374","46","2016","영암군 소각시설","154","112009","624"," ","7317"
"measureResultList.45"," ","8923","전라남도 여수시 여수산단로 727","245796","2016","한국남동발전㈜ 여수발전본부"," ","110005"," "," ","380315"
"measureResultList.46"," "," ","전라남도 여수시 여수산단3로 117 (월하동)"," ","2016","한화솔루션㈜ 여수1공장","291","110011"," "," "," "
"measureResultList.47"," ","2503","전라남도 영암군 삼호읍 대아로 73","15884","2016","한국알루미나㈜"," ","112100"," "," ","33085"
"measureResultList.48"," ","1622","전라남도 영암군 삼호읍 산단서부로 85","116463","2016","케이씨주식회사"," ","112002"," "," ","67435"
"measureResultList.49"," "," ","전라남도 광양시 제철로 1800 (금호동)"," ","2016","포스코에너지㈜"," ","110047"," "," ","1028518"
"measureResultList.50"," ","757","전라남도 여수시 진달래길 310-157 (월내동)","26","2016","여수시 생활폐기물 소각시설","122","110048","1522"," ","11665"
"measureResultList.51"," ","421","전라남도 완도군 완도읍 청해진서로 189-735","993","2016","완도군 자원관리센터","51","112209","508"," ","4687"
"measureResultList.52"," ","355","전라남도 광양시 제철로 1655-157 (금호동)"," ","2016","포스하이메탈"," ","110049"," "," "," "
"measureResultList.53"," ","1101","전라남도 순천시 해룡면 율촌산단5로 46"," ","2016","현대아이에프씨 주식회사"," ","110103"," "," "," "
"measureResultList.54"," ","625","전라남도 여수시 산단중앙로 30-36 (화치동)","1849","2016","케이씨환경서비스㈜ 여수사업부-화치","140","110053","2133"," ","28334"
"measureResultList.55"," ","562","전라남도 영암군 삼호읍 대불산단2로 128","110","2016","㈜대한세라믹스"," ","112010"," "," ","31766"
"measureResultList.56"," ","28774","전라남도 여수시 여수산단로 727 (중흥동)","135966","2016","데이원에너지(주)"," ","110050"," "," ","284181"
"year","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016","2016"
"brtcCode","13","13","13","13","13","13","13","13","13","13","13"
