"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.49"," "," ","전라남도 광양시 제철로 1800 (금호동)"," ","2018","포스코에너지㈜"," ","110047"," "," ","1216030"
"measureResultList.50"," ","946","전라남도 여수시 진달래길 310-157 (월내동)","76","2018","여수시 생활폐기물 소각시설","448","110048","1612"," ","8813"
"measureResultList.51"," ","149","전라남도 완도군 완도읍 청해진서로 189-735","268","2018","완도군 자원관리센터","606","112209","611"," ","5116"
"measureResultList.52"," ","881","전라남도 순천시 해룡면 율촌산단5로 46"," ","2018","현대아이에프씨 주식회사"," ","110103"," "," "," "
"measureResultList.53"," ","789","전라남도 여수시 산단중앙로 30-36 (화치동)","5807","2018","케이씨환경서비스㈜ 여수사업부-화치","250","110053","847"," ","30233"
"measureResultList.54"," ","748","전라남도 영암군 삼호읍 대불산단2로 128","323","2018","㈜대한세라믹스"," ","112010"," "," ","40798"
"measureResultList.55"," ","15157","전라남도 여수시 여수산단로 727 (중흥동)","184461","2018","데이원에너지(주)"," ","110050"," "," ","288165"
"measureResultList.56"," ","1113","전라남도 순천시 해룡면 율촌산단2로 23"," ","2018","㈜지에스디케이"," ","110104"," "," "," "
"measureResultList.57"," ","7","전라남도 나주시 산포면 신도산단길 65"," ","2018","한국지역난방공사 광주전남지사","25","112104","522"," ","240"
"year","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"brtcCode","13","13","13","13","13","13","13","13","13","13","13"
