"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","13926","경상북도 구미시 1공단로6길 54","178860","2016","지에스이앤알"," ","130501"," "," ","836390"
"measureResultList.2"," ","6281","경상북도 김천시 공단4길 118-10 (응명동)","248105","2016","김천에너지서비스"," ","130560"," "," ","263520"
"measureResultList.3"," ","2867","경상북도 포항시 남구 오천읍 광명산단로 61"," ","2016","㈜심팩인더스트리 고순도 FeSi공장"," ","130561"," "," "," "
"measureResultList.4"," ","3501","경상북도 경주시 천북면 천북산단로 265-15","4125","2016","베페사징크코리아㈜"," ","130562"," "," ","17846"
"measureResultList.5"," "," ","경상북도 포항시 남구 동해안로 6262 (동촌동)"," ","2016","포스코에너지포항발전소"," ","130563"," "," ","488635"
"measureResultList.6"," ","67","경상북도 포항시 북구 흥해읍 영일만산단남로75번길 41","3092","2016","이비덴그라파이트㈜"," ","130564"," "," ","344"
"measureResultList.7"," "," ","경상북도 안동시 풍산읍 산업단지1길 38"," ","2016","남부발전안동발전본부"," ","130566"," "," ","142454"
"measureResultList.8"," ","56","경상북도 경산시 용성면 설총로 154-180","1880","2016","경산시 자원회수시설","821","130568","1702"," ","14962"
"measureResultList.9","0","996","경상북도 포항시 남구 대송로253번길 63 (괴동동)"," ","2016","㈜한국협화"," ","130531"," ","38"," "
"measureResultList.10"," ","233770","경상북도 포항시 남구 동해안로 6261 (괴동동)","3355879","2016","㈜포스코 포항제철소","769","130502","1683"," ","11125918"
"measureResultList.11"," ","9188","경상북도 포항시 남구 대송면 철강산단로 195"," ","2016","동국제강㈜포항공장"," ","130511"," "," "," "
"measureResultList.12"," "," ","경상북도 포항시 남구 대송로 111 (장흥동)"," ","2016","동일산업포항2공장","188","130543"," "," "," "
