"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.1"," ","895","경기도 용인시 처인구 남사면 천덕산로428번길 22","4314","2015","㈜스테리싸이클코리아","2134","150137","3072"," ","41991"
"measureResultList.2"," ","14322","경기도 안산시 단원구 해안로 404 (초지동)","433092","2015","㈜지에스이앤알"," ","150014"," "," ","754535"
"measureResultList.3"," "," ","경기도 파주시 문산읍 방촌로 1675-29"," ","2015","전기초자코리아㈜"," ","150612"," "," ","54296"
"measureResultList.4"," ","191","경기도 용인시 수지구 만현로 15 (풍덕천동)"," ","2015","수지환경센터","212","150139","4506"," ","11681"
"measureResultList.5"," ","1357","경기도 이천시 호법면 중부대로798번길 128"," ","2015","동부권광역자원회수시설","886","150184","2901"," ","32077"
"measureResultList.6"," "," ","경기도 안산시 단원구 엠티브이2로 14"," ","2015","㈜에스파워"," ","150609"," "," ","354513"
"measureResultList.7"," ","50869","경기도 여주시 가남읍 여주남로 541","1129290","2015","㈜케이씨씨글라스 여주공장"," ","150104"," "," ","1710800"
"measureResultList.8"," "," ","경기도 포천시 창수면 포천로2797번길 17"," ","2015","포천파워㈜"," ","150620"," "," ","722270"
"measureResultList.9"," ","679","경기도 동두천시 강변로690번길 51 (동두천동)","1533","2015","대재에너지㈜","37","150317","10709"," ","73935"
"measureResultList.10"," ","530","경기도 의정부시 장곡로 147"," ","2015","의정부시생활폐기물소각시설","637","150080","3757"," ","18311"
"measureResultList.11"," ","165","경기도 고양시 덕양구 대덕로 426 (현천동)","105","2015","서울특별시 난지물재생센터","3","150105","975"," ","2941"
"measureResultList.12"," ","500","경기도 동두천시 삼육사로652번길 60 (상패동)","90","2015","청송산업개발㈜","536","150158","22109"," ","13722"
"measureResultList.13"," ","411","경기도 김포시 김포한강4로 419-37 (마산동)","222","2015","김포시 자원화센터","85","150582","14524"," ","19191"
"measureResultList.14"," ","893","경기도 이천시 부발읍 중부대로1707번길 13","43150","2015","㈜금비"," ","150117"," "," ","35808"
"measureResultList.15"," "," ","경기도 이천시 마장면 중부대로 137"," ","2015","인그리디언코리아(유) 이천공장"," ","150270"," "," ","36683"
"measureResultList.16"," ","301","경기도 양주시 남면 현석로785번길 202"," ","2015","㈜영신물산 제2공장","212","150453","1532"," ","11572"
"measureResultList.17"," "," ","경기도 파주시 청석로 380"," ","2015","한국지역난방공사 파주지사"," ","150312"," "," ","488179"
"measureResultList.18"," "," ","경기도 고양시 덕양구 동축로 16"," ","2015","한국지역난방공사 삼송지사"," ","150577"," "," ","4459"
"measureResultList.19"," ","273","경기도 남양주시 덕송3로 76 (별내동)"," ","2015","남양주별내클린센터","3","150576","1349"," ","2174"
"measureResultList.20"," "," ","경기도 평택시 오성면 서동대로 2427-177"," ","2015","평택에너지서비스㈜오성복합화력발전소"," ","150602"," "," ","435401"
"measureResultList.21"," "," ","경기도 안산시 상록구 용담로 141 (팔곡이동)"," ","2015","씨제이제일제당㈜ 안산공장"," ","150125"," "," ","27376"
"measureResultList.22"," "," ","경기도 파주시 월롱면 엘지로 245"," ","2015","엘지디스플레이㈜"," ","150196"," "," ","8768"
"measureResultList.23"," ","208","경기도 과천시 구리안로 177 (갈현동)"," ","2015","과천시자원정화센터","322","150076","292"," ","10106"
"measureResultList.24"," ","341","경기도 군포시 초막골길 101-58 (산본동)"," ","2015","군포환경관리소","1210","150078","255"," ","11858"
"measureResultList.25"," ","791","경기도 안산시 단원구 지원로 53 (성곡동)","35172","2015","동화지앤피㈜"," ","150121"," "," ","44929"
"measureResultList.26"," ","2386","경기도 안산시 단원구 신원로 292 (목내동)"," ","2015","㈜종근당바이오"," ","150126"," "," "," "
"measureResultList.27"," ","133","경기도 양주시 남면 화합로610번길 30-180"," ","2015","㈜에스엠인터내셔널","20","150621","4350"," ","3149"
"measureResultList.28"," "," ","경기도 용인시 기흥구 삼성로 1 (농서동)"," ","2015","삼성전자㈜기흥사업장","46","150183"," "," ","31730"
"measureResultList.29"," ","3122","경기도 수원시 영통구 영통로 383 (영통동)"," ","2015","수원시자원회수시설","2042","150058","14995"," ","80511"
"measureResultList.30"," "," ","경기도 양주시 화합로1710번길 125"," ","2015","㈜대륜발전"," ","150613"," "," ","360252"
"measureResultList.31"," ","483","경기도 화성시 봉담읍 하가등안길 100","113","2015","화성 그린환경센터","69","150315","7374"," ","16766"
"measureResultList.32"," "," ","경기도 성남시 분당구 판교로228번길 88"," ","2015","한국지역난방공사 판교지사"," ","150316"," "," ","111911"
"measureResultList.33"," "," ","경기도 남양주시 별내3로 391"," ","2015","별내에너지㈜"," ","150604"," "," ","38939"
"measureResultList.34"," ","834","경기도 양주시 남면 현석로785번길 207","4527","2015","㈜영신물산","340","150190","3689"," ","24510"
"measureResultList.35"," "," ","경기도 광명시 자경로 17"," ","2015","㈜삼천리"," ","150311"," "," ","20658"
"measureResultList.36"," ","112","경기도 안성시 보개면 보개산로 147-163"," ","2015","안성시자원회수시설","40","150135","698"," ","6747"
"measureResultList.37"," ","1325","경기도 시흥시 서해안로 231 (정왕동)","31","2015","아세아제지㈜시화공장","2185","150011","4075"," ","50246"
"measureResultList.38"," "," ","경기도 성남시 분당구 분당로 336 (분당동)"," ","2015","한국남동발전㈜분당발전본부"," ","150064"," "," ","952199"
"measureResultList.39"," ","462","경기도 오산시 황새로149번길 11 (누읍동)","1309","2015","한국수출포장공업㈜","115","150115","9965"," ","49271"
"measureResultList.40"," "," ","경기도 수원시 장안구 장안로309번길 84"," ","2015","SKC㈜"," ","150202"," "," ","17903"
"measureResultList.41"," ","1958","경기도 평택시 고덕면 고덕로 144-32","857","2015","신풍제지㈜","7","150109","526"," ","69105"
"measureResultList.42"," ","9614","경기도 평택시 포승읍 남양만로 175-2","1948257","2015","한국서부발전㈜평택발전본부"," ","150110"," "," ","1544080"
"measureResultList.43"," ","6879","경기도 안산시 단원구 해안로 308 (원시동)","6957","2015","비노텍㈜","3930","150123","2118"," ","57176"
"measureResultList.44"," ","1438","경기도 용인시 수지구 만현로 11 (풍덕천동)","114416","2015","한국지역난방공사 용인지사"," ","150127"," "," ","113923"
"measureResultList.45"," ","577","경기도 평택시 포승읍 포승공단순환로 602","7166","2015","㈜뉴그린","1956","150136","6119"," ","42668"
"measureResultList.46"," ","406","경기도 오산시 황새로 169 (누읍동)","112","2015","㈜대림제지","59","150143","4242"," ","23086"
"measureResultList.47"," ","2333","경기도 화성시 정남면 가장로 334-10","332","2015","신대한정유산업㈜","75","150147","803"," ","37017"
"measureResultList.48"," ","973","경기도 양주시 남면 운하로 66-14","1076","2015","㈜애니테크","44","150157","3215"," ","15967"
"measureResultList.49"," "," ","경기도 평택시 오성면 청오로 367-61"," ","2015","한국바이린㈜"," ","150214"," "," ","1876"
"measureResultList.50"," "," ","경기도 화성시 우정읍 기아자동차로 95"," ","2015","기아자동차㈜화성공장"," ","150215"," "," ","12417"
"measureResultList.51"," "," ","경기도 이천시 부발읍 경충대로 2091"," ","2015","에스케이하이닉스㈜","159","150271"," "," "," "
"measureResultList.52"," "," ","경기도 평택시 동삭로 455-12"," ","2015","쌍용자동차㈜"," ","150276"," "," ","6436"
"measureResultList.53"," ","2217","경기도 평택시 포승읍 평택항만길 425","1781","2015","㈜광원목재","865","150278","5294"," ","31214"
"measureResultList.54"," ","1725","경기도 시흥시 소망공원로 5 (정왕동)","8368","2015","케이지이티에스㈜","2002","150012","2511"," ","85638"
"measureResultList.55"," ","92","경기도 파주시 가람로150번길 41-34 (와동동)","254","2015","운정환경관리센터","157","150589","8963"," ","12618"
"measureResultList.56"," ","196","경기도 성남시 분당구 판교로228번길 55 (삼평동)"," ","2015","성남시청(판교환경에너지시설)","104","150181","4859"," ","7470"
"measureResultList.57"," ","99","경기도 안산시 단원구 해봉로 13 (성곡동)","68","2015","안산시상하수도사업소","628","150122","744"," ","8860"
"measureResultList.58"," ","148","경기도 화성시 향남읍 발안공단로 139","267","2015","신대원에너지㈜","142","150179","541"," ","8976"
"measureResultList.59"," ","454","경기도 구리시 왕숙천로 49"," ","2015","구리자원회수시설","1532","150055","3697"," ","23928"
"measureResultList.60"," "," ","경기도 오산시 황새로149번길 55 (누읍동)"," ","2015","(구)디에스파워㈜"," ","150113"," "," ","5059"
"measureResultList.61"," ","309","경기도 파주시 월롱면 엘씨디로 283","1452","2015","파주LCD환경안전협의회","918","150186","463"," ","13063"
"measureResultList.62"," ","973","경기도 양주시 은현면 은남로 160"," ","2015","양주권자원회수시설","1525","150176","937"," ","15261"
"measureResultList.63"," "," ","경기도 수원시 영통구 창룡대로 475"," ","2015","한국지역난방공사 광교지사"," ","150600"," "," ","106413"
"measureResultList.64"," ","426","경기도 파주시 탄현면 방촌로 1213-52"," ","2015","파주시환경관리센터","1125","150106","267"," ","14860"
"measureResultList.65"," ","447","경기도 용인시 처인구 포곡읍 금어로 355"," ","2015","용인시환경센터","740","150138","2855"," ","30666"
"measureResultList.66"," "," ","경기도 평택시 포승읍 평택항로268번길 39"," ","2015","대한제강㈜"," ","150593"," "," ","24095"
"measureResultList.67"," "," ","경기도 동두천시 쇠목길 110"," ","2015","동두천드림파워㈜"," ","150608"," "," ","631555"
"measureResultList.68"," "," ","경기도 화성시 삼성전자로 1 (반월동)"," ","2015","삼성전자㈜화성사업장","9","150182"," "," ","37586"
"measureResultList.69"," ","377","경기도 광주시 곤지암읍 열미길 22","7225","2015","경기환경에너지 주식회사","436","150141","13062"," ","17012"
"measureResultList.70"," ","286","경기도 포천시 신북면 신평로16번길 207"," ","2015","포천시자원회수시설","329","150180","3686"," ","7842"
"measureResultList.71"," ","348","경기도 용인시 기흥구 삼성2로 140 (농서동)","185","2015","용인시환경자원화시설","1","150178","633"," ","2147"
"measureResultList.72"," ","433","경기도 시흥시 옥구천서로9번길 45 (정왕동)","10936","2015","시흥도시공사","709","150013","3031"," ","21520"
"measureResultList.73"," ","3136","경기도 안산시 단원구 해안로 104","459","2015","태림페이퍼㈜","901","150007","4396"," ","30913"
"measureResultList.74"," ","1075","경기도 안양시 동안구 시민대로 328 (평촌동)"," ","2015","안양시자원회수시설","4056","150065","3057"," ","16066"
"measureResultList.75"," ","955","경기도 안산시 단원구 첨단로 726 (초지동)"," ","2015","안산시자원회수시설","2776","150075","1436"," ","27360"
"measureResultList.76"," ","2539","경기도 안산시 단원구 첨단로207번길 5 (성곡동)","2629","2015","한국환경개발㈜시화공장","1457","150015","6237"," ","40915"
"measureResultList.77"," ","1756","경기도 시흥시 옥구천동로 46 (정왕동)","3806","2015","KGETS㈜에너지공장"," ","150017"," "," ","18795"
"measureResultList.78"," "," ","경기도 파주시 월롱면 휴암로 477"," ","2015","㈜LG화학"," ","150586"," "," ","8044"
"measureResultList.79"," "," ","경기도 평택시 포승읍 남양만로 175-2"," ","2015","한국서부발전㈜ 평택건설처"," ","150611"," "," ","412884"
"measureResultList.80"," ","227","경기도 오산시 황새로149번길 55 (누읍동)","434","2015","디에스이앤이㈜","1634","150200","3958"," ","30129"
"measureResultList.81"," ","320","경기도 평택시 청북면 현곡산단로 84"," ","2015","아반스트레이트코리아㈜"," ","150187"," "," ","19360"
"measureResultList.82"," ","127","경기도 이천시 호법면 이섭대천로 58","24","2015","샘표식품㈜","2","150199","2068"," ","2642"
"measureResultList.83"," ","1938","경기도 포천시 영중면 양문공단로3길 20","14411","2015","㈜천일에너지","1347","150610","2609"," ","59096"
"measureResultList.84"," "," ","경기도 하남시 조정대로 77"," ","2015","나래에너지서비스㈜하남사업소"," ","150629"," "," ","43772"
"measureResultList.85"," ","1377","경기도 안산시 단원구 신원로 50 (신길동)","1608","2015","대양제지공업㈜","3118","150004","7720"," ","49918"
"measureResultList.86"," ","1172","경기도 안산시 단원구 지원로 7 (성곡동)","930","2015","대일개발㈜","727","150005","26012"," ","77293"
"measureResultList.87"," ","884","경기도 안산시 단원구 첨단로 215 (성곡동)","997","2015","성림유화㈜","3017","150006","4409"," ","47836"
"measureResultList.88"," ","1261","경기도 안산시 단원구 신원로91번길 16 (성곡동)","2761","2015","부경산업㈜","475","150008","5873"," ","32605"
"measureResultList.89"," ","4061","경기도 안산시 단원구 별망로 129","1800","2015","신대양제지㈜","8918","150009","15823"," ","89080"
"measureResultList.90"," ","484","경기도 안산시 단원구 목내로 29 (목내동)","32","2015","신대양제지반월㈜","2194","150010","7978"," ","52883"
"measureResultList.91"," ","2299","경기도 시흥시 군자천로 99","178","2015","㈜고려제지","2745","150016","22964"," ","67699"
"measureResultList.92"," "," ","경기도 평택시 포승읍 포승공단로117번길 35"," ","2015","동우화인켐㈜평택공장"," ","150195"," "," ","5592"
"measureResultList.93"," ","251","경기도 평택시 고덕면 고덕로 85","659","2015","삼정펄프㈜","34","150192","1800"," ","46871"
"measureResultList.94"," ","1056","경기도 부천시 벌말로 122 (대장동)"," ","2015","부천시자원순환센터","1859","150069","3733"," ","31183"
