DO,BOD,COD,SS,TN,NH3N,NO3N,TP
5.9,2.4,7.8,17.4,6.12,0.301,2.588,0.179
7.3,1.8,7.2,17.3,8.208,0.093,1.593,0.172
9.6,2.4,10.4,19.2,3.36,0.03,1.217,0.167
8.3,1.9,7,12.7,5.664,0.055,0.769,0.108
8.7,1.5,6.3,11.2,1.819,0.041,0.838,0.089
9.2,1.1,5.6,7.9,2.098,0.092,0.981,0.067
12.3,1.3,6.4,5.2,2.533,0.11,1.447,0.067
13.3,2.2,6.1,5.7,2.73,0.089,1.978,0.073
12.9,2.2,5.5,5.7,3.242,0.156,2.357,0.079
13.2,3.4,7.5,7.7,3.705,0.228,2.581,0.095
11.1,3.1,6.8,7.2,3.629,0.135,2.666,0.073
10.2,1.1,5.6,2.8,3.383,0.114,2.566,0.056
12.2,3,9.4,10.5,2.941,0.065,1.948,0.075
7.9,3,7,10.6,2.315,0.136,1.346,0.161
8.6,2.7,5.9,12.1,2.243,0.093,1.469,0.138
7.1,1,5.4,12.4,2.018,0.073,1.427,0.121
8.4,1.3,5.1,13.4,2.237,0.09,1.409,0.086
10.2,1,5.2,12.1,2.101,0.071,1.565,0.072
12.1,1,4.7,7.6,2.458,0.084,2.005,0.065
14.1,2.2,6,4.6,2.905,0.11,2.439,0.056
12.7,2.8,6,4.5,3.455,0.368,2.798,0.069
11.2,2.4,6.7,14.4,4.688,1.079,2.98,0.11
11.9,4.1,6.4,8,3.977,0.244,2.951,0.059
9,1.7,6.4,9.3,3.268,0.358,2.258,0.1
9.9,2.5,6.6,8.9,2.801,0.084,1.843,0.091
6.9,2,7.9,30.7,2.637,0.167,1.826,0.12
7.6,2.2,6.7,14.5,2.262,0.079,1.417,0.147
6,3,6,16,1.833,0.084,1.469,0.13
8.9,2,5,21.1,2.078,0.065,1.642,0.118
10.4,1.6,4.8,21.9,2.311,0.069,1.875,0.103
12.1,1.8,4.5,12.2,2.723,0.123,2.3,0.078
