"","Price"
"2017-04-05",11250
"2017-04-06",11250
"2017-04-07",11550
"2017-04-10",11150
"2017-04-11",11150
"2017-04-12",11400
"2017-04-13",11350
"2017-04-14",11350
"2017-04-17",11400
"2017-04-18",11200
"2017-04-19",11200
"2017-04-20",11100
"2017-04-21",10950
"2017-04-24",10900
"2017-04-25",11150
"2017-04-26",11100
"2017-04-27",11150
"2017-04-28",10900
"2017-05-02",10700
"2017-05-04",10600
"2017-05-08",10550
"2017-05-10",10550
"2017-05-11",10400
"2017-05-12",10150
"2017-05-15",10250
"2017-05-16",10250
"2017-05-17",10600
"2017-05-18",10500
"2017-05-19",10400
"2017-05-22",10200
"2017-05-23",10250
"2017-05-24",10150
"2017-05-25",10200
"2017-05-26",10250
"2017-05-29",10100
"2017-05-30",10300
"2017-05-31",10350
"2017-06-01",10150
"2017-06-02",10150
"2017-06-05",10150
"2017-06-07",10150
"2017-06-08",10200
"2017-06-09",10450
"2017-06-12",10350
"2017-06-13",10350
"2017-06-14",10500
"2017-06-15",10450
"2017-06-16",10400
"2017-06-19",10500
"2017-06-20",10350
"2017-06-21",10350
"2017-06-22",10500
"2017-06-23",10350
"2017-06-26",11000
"2017-06-27",10900
"2017-06-28",10400
"2017-06-29",10300
"2017-06-30",10400
"2017-07-03",10100
"2017-07-04",9750
"2017-07-05",9810
"2017-07-06",9490
"2017-07-07",9210
"2017-07-10",9260
"2017-07-11",9360
"2017-07-12",9230
"2017-07-13",9250
"2017-07-14",9100
"2017-07-17",9190
"2017-07-18",8910
"2017-07-19",9000
"2017-07-20",8890
"2017-07-21",8660
"2017-07-24",9030
"2017-07-25",8760
"2017-07-26",8590
"2017-07-27",8740
"2017-07-28",8500
"2017-07-31",8500
"2017-08-01",8560
"2017-08-02",8710
"2017-08-03",8430
"2017-08-04",8600
"2017-08-07",8580
"2017-08-08",8930
"2017-08-09",8760
"2017-08-10",8670
"2017-08-11",8430
"2017-08-14",8440
"2017-08-16",8460
"2017-08-17",8780
"2017-08-18",8960
"2017-08-21",9050
"2017-08-22",8770
"2017-08-23",8770
"2017-08-24",8890
"2017-08-25",8850
"2017-08-28",8970
"2017-08-29",9070
"2017-08-30",8940
"2017-08-31",8990
"2017-09-01",9010
"2017-09-04",8840
"2017-09-05",8860
"2017-09-06",9160
"2017-09-07",9130
"2017-09-08",9050
"2017-09-11",9110
"2017-09-12",9130
"2017-09-13",9120
"2017-09-14",9060
"2017-09-15",9000
"2017-09-18",10100
"2017-09-19",9700
"2017-09-20",9360
"2017-09-21",9250
"2017-09-22",9210
"2017-09-25",9010
"2017-09-26",9010
"2017-09-27",9280
"2017-09-28",9260
"2017-09-29",9280
"2017-10-10",8980
"2017-10-11",9120
"2017-10-12",9050
"2017-10-13",8690
"2017-10-16",8510
"2017-10-17",8570
"2017-10-18",8500
"2017-10-19",8680
"2017-10-20",8700
"2017-10-23",8750
"2017-10-24",8800
"2017-10-25",9030
"2017-10-26",8860
"2017-10-27",8910
"2017-10-30",8700
"2017-10-31",8740
"2017-11-01",8770
"2017-11-02",8630
"2017-11-03",8560
"2017-11-06",8620
"2017-11-07",8770
"2017-11-08",8820
"2017-11-09",8800
"2017-11-10",8930
"2017-11-13",9020
"2017-11-14",9350
"2017-11-15",9480
"2017-11-16",9280
"2017-11-17",9120
"2017-11-20",9260
"2017-11-21",9090
"2017-11-22",9090
"2017-11-23",9370
"2017-11-24",9360
"2017-11-27",9230
"2017-11-28",9080
"2017-11-29",9120
"2017-11-30",8890
"2017-12-01",8880
"2017-12-04",8760
"2017-12-05",8890
"2017-12-06",8880
"2017-12-07",8720
"2017-12-08",8690
"2017-12-11",9360
"2017-12-12",9510
"2017-12-13",9540
"2017-12-14",9330
"2017-12-15",9670
"2017-12-18",9730
"2017-12-19",9790
"2017-12-20",9680
"2017-12-21",9510
"2017-12-22",9700
"2017-12-26",9820
"2017-12-27",9700
"2017-12-28",9440
"2018-01-02",9900
"2018-01-03",9910
"2018-01-04",9520
"2018-01-05",9700
"2018-01-08",9540
"2018-01-09",9200
"2018-01-10",9310
"2018-01-11",9430
"2018-01-12",9530
"2018-01-15",9340
"2018-01-16",9690
"2018-01-17",10050
"2018-01-18",9930
"2018-01-19",10000
"2018-01-22",9790
"2018-01-23",10000
"2018-01-24",10200
"2018-01-25",10300
"2018-01-26",10350
"2018-01-29",10250
"2018-01-30",9990
"2018-01-31",10200
"2018-02-01",10950
"2018-02-02",10750
"2018-02-05",10500
"2018-02-06",10100
"2018-02-07",9990
"2018-02-08",10300
"2018-02-09",10300
"2018-02-12",10250
"2018-02-13",10200
"2018-02-14",10400
"2018-02-19",10600
"2018-02-20",10700
"2018-02-21",10700
"2018-02-22",10500
"2018-02-23",10450
"2018-02-26",9940
"2018-02-27",9610
"2018-02-28",9330
"2018-03-02",9320
"2018-03-05",9180
"2018-03-06",9290
"2018-03-07",9460
"2018-03-08",9550
"2018-03-09",9300
"2018-03-12",9200
"2018-03-13",9270
"2018-03-14",9160
"2018-03-15",9100
"2018-03-16",9100
"2018-03-19",9080
"2018-03-20",8880
"2018-03-21",8770
"2018-03-22",8590
"2018-03-23",8310
"2018-03-26",8440
"2018-03-27",8450
"2018-03-28",8380
"2018-03-29",8520
"2018-03-30",8700
"2018-04-02",8450
"2018-04-03",8500
"2018-04-04",8280
"2018-04-05",8370
"2018-04-06",8310
"2018-04-09",8260
"2018-04-10",8160
"2018-04-11",8160
"2018-04-12",8400
"2018-04-13",8300
"2018-04-16",8790
"2018-04-17",8790
"2018-04-18",8690
"2018-04-19",8550
"2018-04-20",8580
"2018-04-23",8580
"2018-04-24",8470
"2018-04-25",8430
"2018-04-26",8480
"2018-04-27",8620
"2018-04-30",8410
"2018-05-02",8310
"2018-05-03",8270
"2018-05-04",8230
"2018-05-08",8000
"2018-05-09",8130
"2018-05-10",8020
"2018-05-11",8070
"2018-05-14",7960
"2018-05-15",7840
"2018-05-16",7770
"2018-05-17",7700
"2018-05-18",7730
"2018-05-21",7680
"2018-05-23",7680
"2018-05-24",7630
"2018-05-25",7360
"2018-05-28",7440
"2018-05-29",7440
"2018-05-30",7390
"2018-05-31",7660
"2018-06-01",7650
"2018-06-04",7800
"2018-06-05",7860
"2018-06-07",7880
"2018-06-08",7670
"2018-06-11",7680
"2018-06-12",7740
"2018-06-14",7700
"2018-06-15",7500
"2018-06-18",7220
"2018-06-19",7230
"2018-06-20",7350
"2018-06-21",7200
"2018-06-22",7170
"2018-06-25",7180
"2018-06-26",7160
"2018-06-27",7170
"2018-06-28",7010
"2018-06-29",7100
"2018-07-02",7000
"2018-07-03",7090
"2018-07-04",7160
"2018-07-05",7140
"2018-07-06",7610
"2018-07-09",8030
"2018-07-10",8160
"2018-07-11",7700
"2018-07-12",7810
"2018-07-13",7840
"2018-07-16",7810
"2018-07-17",7880
"2018-07-18",8030
"2018-07-19",8090
"2018-07-20",7890
"2018-07-23",7660
"2018-07-24",7640
"2018-07-25",7590
"2018-07-26",7860
"2018-07-27",7970
"2018-07-30",7760
"2018-07-31",7040
"2018-08-01",7110
"2018-08-02",7070
"2018-08-03",7040
"2018-08-06",7040
"2018-08-07",7180
"2018-08-08",7280
"2018-08-09",7720
"2018-08-10",7390
"2018-08-13",7190
"2018-08-14",7250
"2018-08-16",7160
"2018-08-17",7300
"2018-08-20",7460
"2018-08-21",7570
"2018-08-22",7440
"2018-08-23",7470
"2018-08-24",7470
