"","Price"
"2017-04-05",4625
"2017-04-06",4585
"2017-04-07",4610
"2017-04-10",4430
"2017-04-11",4380
"2017-04-12",4445
"2017-04-13",4570
"2017-04-14",4450
"2017-04-17",4650
"2017-04-18",4625
"2017-04-19",4625
"2017-04-20",4890
"2017-04-21",4975
"2017-04-24",4950
"2017-04-25",4925
"2017-04-26",4845
"2017-04-27",4990
"2017-04-28",4895
"2017-05-02",4770
"2017-05-04",4880
"2017-05-08",4925
"2017-05-10",4870
"2017-05-11",4825
"2017-05-12",5000
"2017-05-15",5280
"2017-05-16",5200
"2017-05-17",5330
"2017-05-18",5290
"2017-05-19",5180
"2017-05-22",5130
"2017-05-23",5070
"2017-05-24",5250
"2017-05-25",5070
"2017-05-26",5020
"2017-05-29",4910
"2017-05-30",4995
"2017-05-31",5130
"2017-06-01",5200
"2017-06-02",5230
"2017-06-05",5170
"2017-06-07",5060
"2017-06-08",5640
"2017-06-09",5780
"2017-06-12",5800
"2017-06-13",5900
"2017-06-14",5630
"2017-06-15",5630
"2017-06-16",5690
"2017-06-19",5690
"2017-06-20",5520
"2017-06-21",5520
"2017-06-22",5460
"2017-06-23",5550
"2017-06-26",5500
"2017-06-27",5360
"2017-06-28",5180
"2017-06-29",5200
"2017-06-30",5310
"2017-07-03",5210
"2017-07-04",5220
"2017-07-05",5330
"2017-07-06",5300
"2017-07-07",5270
"2017-07-10",5220
"2017-07-11",5170
"2017-07-12",5130
"2017-07-13",4995
"2017-07-14",4935
"2017-07-17",4980
"2017-07-18",4980
"2017-07-19",5230
"2017-07-20",5150
"2017-07-21",5300
"2017-07-24",5040
"2017-07-25",5090
"2017-07-26",5010
"2017-07-27",4960
"2017-07-28",5020
"2017-07-31",4790
"2017-08-01",4825
"2017-08-02",4960
"2017-08-03",4850
"2017-08-04",4915
"2017-08-07",4960
"2017-08-08",5000
"2017-08-09",4970
"2017-08-10",5000
"2017-08-11",4865
"2017-08-14",4725
"2017-08-16",4850
"2017-08-17",4835
"2017-08-18",4810
"2017-08-21",4855
"2017-08-22",4880
"2017-08-23",4890
"2017-08-24",5000
"2017-08-25",5000
"2017-08-28",5030
"2017-08-29",5060
"2017-08-30",5090
"2017-08-31",5020
"2017-09-01",5030
"2017-09-04",4880
"2017-09-05",4955
"2017-09-06",5220
"2017-09-07",5230
"2017-09-08",5150
"2017-09-11",4920
"2017-09-12",4950
"2017-09-13",4870
"2017-09-14",4950
"2017-09-15",4860
"2017-09-18",4920
"2017-09-19",4860
"2017-09-20",4950
"2017-09-21",4860
"2017-09-22",4700
"2017-09-25",4455
