"","Price"
"2017-04-05",13527
"2017-04-06",14185
"2017-04-07",13903
"2017-04-10",13433
"2017-04-11",13809
"2017-04-12",13574
"2017-04-13",13621
"2017-04-14",13198
"2017-04-17",13715
"2017-04-18",14467
"2017-04-19",14420
"2017-04-20",14185
"2017-04-21",13950
"2017-04-24",13527
"2017-04-25",14138
"2017-04-26",14044
"2017-04-27",13997
"2017-04-28",14279
"2017-05-02",14091
"2017-05-04",14748
"2017-05-08",14795
"2017-05-10",14748
"2017-05-11",14655
"2017-05-12",14561
"2017-05-15",14889
"2017-05-16",14936
"2017-05-17",14748
"2017-05-18",14795
"2017-05-19",15547
"2017-05-22",15500
"2017-05-23",15547
"2017-05-24",15453
"2017-05-25",15312
"2017-05-26",15171
"2017-05-29",15406
"2017-05-30",15641
"2017-05-31",15500
"2017-06-01",15077
"2017-06-02",15030
"2017-06-05",15735
"2017-06-07",15829
"2017-06-08",15829
"2017-06-09",15735
"2017-06-12",15312
"2017-06-13",14748
"2017-06-14",14608
"2017-06-15",14842
"2017-06-16",14702
"2017-06-19",14702
"2017-06-20",14936
"2017-06-21",14514
"2017-06-22",14702
"2017-06-23",14842
"2017-06-26",15312
"2017-06-27",15641
"2017-06-28",15688
"2017-06-29",15641
"2017-06-30",15265
"2017-07-03",14842
"2017-07-04",14373
"2017-07-05",14889
"2017-07-06",14842
"2017-07-07",14702
"2017-07-10",14889
"2017-07-11",14936
"2017-07-12",15265
"2017-07-13",15547
"2017-07-14",15876
"2017-07-17",15876
"2017-07-18",16158
"2017-07-19",16205
"2017-07-20",16205
"2017-07-21",16252
"2017-07-24",16815
"2017-07-25",15688
"2017-07-26",15406
"2017-07-27",15265
"2017-07-28",14702
"2017-07-31",14702
"2017-08-01",14842
"2017-08-02",14795
"2017-08-03",14279
"2017-08-04",14091
"2017-08-07",14091
"2017-08-08",14185
"2017-08-09",13903
"2017-08-10",13903
"2017-08-11",13997
"2017-08-14",14091
"2017-08-16",14561
"2017-08-17",14889
"2017-08-18",14983
"2017-08-21",14795
"2017-08-22",14889
"2017-08-23",15030
"2017-08-24",15124
"2017-08-25",15923
"2017-08-28",15923
"2017-08-29",16017
"2017-08-30",15782
"2017-08-31",15688
"2017-09-01",15547
"2017-09-04",15124
"2017-09-05",15265
"2017-09-06",15453
"2017-09-07",15312
"2017-09-08",15500
"2017-09-11",15594
"2017-09-12",17003
"2017-09-13",16674
"2017-09-14",17332
"2017-09-15",17332
"2017-09-18",17379
"2017-09-19",17097
"2017-09-20",16627
"2017-09-21",16486
"2017-09-22",16111
"2017-09-25",16298
"2017-09-26",16298
"2017-09-27",16392
"2017-09-28",16768
"2017-09-29",17050
"2017-10-10",17802
"2017-10-11",17848
"2017-10-12",17755
"2017-10-13",16956
"2017-10-16",16345
"2017-10-17",16439
"2017-10-18",16205
"2017-10-19",16158
"2017-10-20",16064
"2017-10-23",16017
"2017-10-24",16533
"2017-10-25",16392
"2017-10-26",16345
"2017-10-27",16298
