"","Price"
"2017-04-05",2345
"2017-04-06",2415
"2017-04-07",2440
"2017-04-10",2425
"2017-04-11",2435
"2017-04-12",2400
"2017-04-13",2405
"2017-04-14",2440
"2017-04-17",2400
"2017-04-18",2445
"2017-04-19",2395
"2017-04-20",2395
"2017-04-21",2460
"2017-04-24",2425
"2017-04-25",2440
"2017-04-26",2445
"2017-04-27",2435
"2017-04-28",2415
"2017-05-02",2440
"2017-05-04",2465
"2017-05-08",2500
"2017-05-10",2400
"2017-05-11",2510
"2017-05-12",2460
"2017-05-15",2430
"2017-05-16",2430
"2017-05-17",2420
"2017-05-18",2410
"2017-05-19",2400
"2017-05-22",2395
"2017-05-23",2380
"2017-05-24",2395
"2017-05-25",2390
"2017-05-26",2380
"2017-05-29",2355
"2017-05-30",2380
"2017-05-31",2325
"2017-06-01",2320
"2017-06-02",2325
"2017-06-05",2335
"2017-06-07",2350
"2017-06-08",2330
"2017-06-09",2310
"2017-06-12",2300
"2017-06-13",2300
"2017-06-14",2290
"2017-06-15",2310
"2017-06-16",2315
"2017-06-19",2305
"2017-06-20",2300
"2017-06-21",2270
"2017-06-22",2275
"2017-06-23",2270
"2017-06-26",2250
"2017-06-27",2270
"2017-06-28",2215
"2017-06-29",2185
"2017-06-30",2180
"2017-07-03",2200
"2017-07-04",2210
"2017-07-05",2180
"2017-07-06",2185
"2017-07-07",2170
"2017-07-10",2105
"2017-07-11",2100
"2017-07-12",2085
"2017-07-13",2085
"2017-07-14",2030
"2017-07-17",2000
"2017-07-18",1960
"2017-07-19",2000
"2017-07-20",2005
"2017-07-21",2045
"2017-07-24",2020
"2017-07-25",2035
"2017-07-26",2045
"2017-07-27",2055
"2017-07-28",2045
"2017-07-31",2030
"2017-08-01",2045
"2017-08-02",2040
"2017-08-03",1995
"2017-08-04",1995
"2017-08-07",2020
"2017-08-08",1985
"2017-08-09",1945
"2017-08-10",1905
"2017-08-11",1850
"2017-08-14",1955
"2017-08-16",1910
"2017-08-17",1925
"2017-08-18",1935
"2017-08-21",1905
"2017-08-22",1895
"2017-08-23",1890
"2017-08-24",1885
"2017-08-25",1905
"2017-08-28",1920
"2017-08-29",1920
"2017-08-30",1925
"2017-08-31",1930
"2017-09-01",1955
"2017-09-04",1960
"2017-09-05",1910
"2017-09-06",1915
"2017-09-07",1935
"2017-09-08",1950
"2017-09-11",1935
"2017-09-12",1920
"2017-09-13",1915
"2017-09-14",1895
"2017-09-15",1900
