"","Price"
"2017-04-05",5510
"2017-04-06",5440
"2017-04-07",5980
"2017-04-10",5920
"2017-04-11",5830
"2017-04-12",5890
"2017-04-13",5980
"2017-04-14",5940
"2017-04-17",6050
"2017-04-18",6010
"2017-04-19",5950
"2017-04-20",5900
"2017-04-21",6030
"2017-04-24",5950
"2017-04-25",6150
"2017-04-26",6130
"2017-04-27",6050
"2017-04-28",5930
"2017-05-02",5850
"2017-05-04",5920
"2017-05-08",6060
"2017-05-10",6070
"2017-05-11",6100
"2017-05-12",6060
"2017-05-15",6100
"2017-05-16",5960
"2017-05-17",5890
"2017-05-18",5980
"2017-05-19",6060
"2017-05-22",6000
"2017-05-23",5920
"2017-05-24",5980
"2017-05-25",6010
"2017-05-26",5880
"2017-05-29",5800
"2017-05-30",5900
"2017-05-31",5980
"2017-06-01",5960
"2017-06-02",5960
"2017-06-05",6190
"2017-06-07",6360
"2017-06-08",6370
"2017-06-09",6430
"2017-06-12",6290
"2017-06-13",6350
"2017-06-14",6510
"2017-06-15",6390
"2017-06-16",6350
"2017-06-19",6400
"2017-06-20",6400
"2017-06-21",6370
"2017-06-22",6540
"2017-06-23",6580
"2017-06-26",6540
"2017-06-27",6360
"2017-06-28",6070
"2017-06-29",6250
"2017-06-30",6200
"2017-07-03",6130
"2017-07-04",6050
"2017-07-05",6070
"2017-07-06",6010
"2017-07-07",6120
"2017-07-10",6040
"2017-07-11",5970
"2017-07-12",5870
"2017-07-13",5720
"2017-07-14",5850
"2017-07-17",5760
"2017-07-18",5760
"2017-07-19",5940
"2017-07-20",5970
"2017-07-21",5920
"2017-07-24",5880
"2017-07-25",5850
"2017-07-26",5960
"2017-07-27",5900
"2017-07-28",5730
"2017-07-31",5610
"2017-08-01",5700
"2017-08-02",5700
"2017-08-03",5700
"2017-08-04",5610
"2017-08-07",5700
"2017-08-08",5780
"2017-08-09",5730
"2017-08-10",5700
"2017-08-11",5510
"2017-08-14",5510
"2017-08-16",5590
"2017-08-17",5630
"2017-08-18",5630
"2017-08-21",5560
"2017-08-22",5560
"2017-08-23",5520
"2017-08-24",5560
"2017-08-25",5550
"2017-08-28",5720
"2017-08-29",5700
"2017-08-30",5740
"2017-08-31",5660
"2017-09-01",5780
"2017-09-04",5680
"2017-09-05",5680
"2017-09-06",5850
"2017-09-07",5860
"2017-09-08",5860
"2017-09-11",5850
"2017-09-12",5800
"2017-09-13",5740
"2017-09-14",5770
"2017-09-15",6060
"2017-09-18",6070
"2017-09-19",6150
"2017-09-20",6230
"2017-09-21",6300
"2017-09-22",6090
