"","Price"
"2017-04-05",40368
"2017-04-06",39474
"2017-04-07",39530
"2017-04-10",37796
"2017-04-11",37852
"2017-04-12",38747
"2017-04-13",38300
"2017-04-14",37237
"2017-04-17",37740
"2017-04-18",36846
"2017-04-19",37461
"2017-04-20",37461
"2017-04-21",37740
"2017-04-24",38132
"2017-04-25",38244
"2017-04-26",38915
"2017-04-27",38355
"2017-04-28",37796
"2017-05-02",38355
"2017-05-04",39194
"2017-05-08",39865
"2017-05-10",41039
"2017-05-11",41151
"2017-05-12",41151
"2017-05-15",40927
"2017-05-16",39641
"2017-05-17",39641
"2017-05-18",42157
"2017-05-19",41766
"2017-05-22",41487
"2017-05-23",42381
"2017-05-24",43611
"2017-05-25",47357
"2017-05-26",47245
"2017-05-29",47805
"2017-05-30",46183
"2017-05-31",47469
"2017-06-01",47078
"2017-06-02",46351
"2017-06-05",46910
"2017-06-07",46351
"2017-06-08",45344
"2017-06-09",47972
"2017-06-12",51942
"2017-06-13",52557
"2017-06-14",56583
"2017-06-15",56583
"2017-06-16",56806
"2017-06-19",55017
"2017-06-20",52781
"2017-06-21",52333
"2017-06-22",51439
"2017-06-23",51551
"2017-06-26",50656
"2017-06-27",49258
"2017-06-28",48196
"2017-06-29",50936
"2017-06-30",50321
"2017-07-03",52892
"2017-07-04",50432
"2017-07-05",49594
"2017-07-06",49202
"2017-07-07",49817
"2017-07-10",49985
"2017-07-11",47525
"2017-07-12",47525
"2017-07-13",48308
"2017-07-14",46966
"2017-07-17",47749
"2017-07-18",47805
"2017-07-19",48028
"2017-07-20",48196
"2017-07-21",50097
"2017-07-24",50041
"2017-07-25",50544
"2017-07-26",50321
"2017-07-27",52166
"2017-07-28",50041
"2017-07-31",49594
"2017-08-01",50880
"2017-08-02",51047
"2017-08-03",49482
"2017-08-04",49538
"2017-08-07",50768
"2017-08-08",50656
"2017-08-09",49761
"2017-08-10",48140
"2017-08-11",47413
"2017-08-14",47972
"2017-08-16",46519
"2017-08-17",49202
"2017-08-18",50209
"2017-08-21",50656
"2017-08-22",50600
"2017-08-23",49929
"2017-08-24",49761
"2017-08-25",53731
"2017-08-28",54234
"2017-08-29",53452
"2017-08-30",53731
"2017-08-31",52557
"2017-09-01",51327
"2017-09-04",49370
"2017-09-05",48475
"2017-09-06",47860
"2017-09-07",48084
"2017-09-08",45568
"2017-09-11",45121
"2017-09-12",44282
"2017-09-13",42157
"2017-09-14",44618
"2017-09-15",44282
"2017-09-18",43667
"2017-09-19",44841
"2017-09-20",43723
"2017-09-21",43164
"2017-09-22",42493
"2017-09-25",40312
"2017-09-26",43108
"2017-09-27",41542
"2017-09-28",41375
"2017-09-29",42493
"2017-10-10",42605
"2017-10-11",42828
"2017-10-12",44729
"2017-10-13",44058
"2017-10-16",44729
"2017-10-17",45121
"2017-10-18",43723
"2017-10-19",44338
"2017-10-20",43499
"2017-10-23",41095
"2017-10-24",40927
"2017-10-25",40927
"2017-10-26",41095
"2017-10-27",42213
"2017-10-30",42661
"2017-10-31",42717
"2017-11-01",41542
"2017-11-02",40536
"2017-11-03",40760
