"","Price"
"2017-04-05",14169
"2017-04-06",14008
"2017-04-07",13848
"2017-04-10",13368
"2017-04-11",13308
"2017-04-12",12948
"2017-04-13",13848
"2017-04-14",13728
"2017-04-17",14669
"2017-04-18",14669
"2017-04-19",14929
"2017-04-20",15329
"2017-04-21",15209
"2017-04-24",15589
"2017-04-25",15529
"2017-04-26",14849
"2017-04-27",14649
"2017-04-28",13428
"2017-05-02",13368
"2017-05-04",13508
"2017-05-08",14129
"2017-05-10",13828
"2017-05-11",14068
"2017-05-12",14229
"2017-05-15",14008
"2017-05-16",13608
"2017-05-17",13248
"2017-05-18",12968
"2017-05-19",12908
"2017-05-22",12688
"2017-05-23",12007
"2017-05-24",11287
"2017-05-25",11487
"2017-05-26",12187
"2017-05-29",12327
"2017-05-30",12087
"2017-05-31",11747
"2017-06-01",11567
"2017-06-02",11767
"2017-06-05",11627
"2017-06-07",11327
"2017-06-08",11467
"2017-06-09",11447
"2017-06-12",11247
"2017-06-13",11247
"2017-06-14",11067
"2017-06-15",10847
"2017-06-16",10847
"2017-06-19",10686
"2017-06-20",10546
"2017-06-21",11167
"2017-06-22",10967
"2017-06-23",10947
"2017-06-26",11567
"2017-06-27",12187
"2017-06-28",11867
"2017-06-29",11687
"2017-06-30",11287
"2017-07-03",10867
"2017-07-04",10847
"2017-07-05",10967
"2017-07-06",11147
"2017-07-07",11247
"2017-07-10",11647
"2017-07-11",11527
"2017-07-12",10847
"2017-07-13",10646
"2017-07-14",10646
"2017-07-17",10766
"2017-07-18",10746
"2017-07-19",10606
"2017-07-20",10546
"2017-07-21",10566
"2017-07-24",10646
"2017-07-25",11007
"2017-07-26",10646
"2017-07-27",10546
"2017-07-28",10626
"2017-07-31",10366
"2017-08-01",10807
"2017-08-02",10947
"2017-08-03",10666
"2017-08-04",10346
"2017-08-07",10566
"2017-08-08",10446
"2017-08-09",10326
"2017-08-10",10206
"2017-08-11",9786
"2017-08-14",8985
"2017-08-16",9566
"2017-08-17",10666
"2017-08-18",10406
"2017-08-21",10186
"2017-08-22",10426
"2017-08-23",10406
"2017-08-24",10226
"2017-08-25",10306
"2017-08-28",10606
"2017-08-29",10746
"2017-08-30",10626
"2017-08-31",10546
"2017-09-01",10486
"2017-09-04",10326
"2017-09-05",10206
"2017-09-06",10226
"2017-09-07",10386
"2017-09-08",10246
"2017-09-11",10126
"2017-09-12",9946
"2017-09-13",9806
"2017-09-14",9646
"2017-09-15",9526
"2017-09-18",9286
"2017-09-19",9326
"2017-09-20",9286
"2017-09-21",8985
"2017-09-22",8365
"2017-09-25",8005
"2017-09-26",8145
"2017-09-27",8165
"2017-09-28",8245
"2017-09-29",8525
"2017-10-10",8005
"2017-10-11",8145
"2017-10-12",8445
"2017-10-13",8385
"2017-10-16",8585
"2017-10-17",8625
"2017-10-18",8605
"2017-10-19",8805
"2017-10-20",8845
"2017-10-23",8805
"2017-10-24",8825
"2017-10-25",8785
"2017-10-26",8725
"2017-10-27",8805
"2017-10-30",8905
"2017-10-31",8765
"2017-11-01",8785
"2017-11-02",8885
"2017-11-03",8845
"2017-11-06",8925
"2017-11-07",9065
"2017-11-08",9025
"2017-11-09",8885
"2017-11-10",8845
"2017-11-13",8885
"2017-11-14",8925
"2017-11-15",9506
"2017-11-16",9886
"2017-11-17",9766
"2017-11-20",9606
"2017-11-21",9726
"2017-11-22",9766
"2017-11-23",9766
"2017-11-24",9366
"2017-11-27",8645
"2017-11-28",8405
"2017-11-29",8125
"2017-11-30",8045
"2017-12-01",8085
"2017-12-04",8025
"2017-12-05",8085
"2017-12-06",7905
"2017-12-07",7905
"2017-12-08",7905
"2017-12-11",6324
"2017-12-12",6244
"2017-12-13",6084
"2017-12-14",6244
"2017-12-15",6064
"2017-12-18",6124
"2017-12-19",5663
"2017-12-20",5964
"2017-12-21",6704
"2017-12-22",6104
"2017-12-26",5804
"2017-12-27",5503
"2017-12-28",5543
"2018-01-02",5763
"2018-01-03",5763
"2018-01-04",5944
"2018-01-05",5924
"2018-01-08",5984
"2018-01-09",6584
"2018-01-10",6404
"2018-01-11",6484
"2018-01-12",6224
"2018-01-15",6344
"2018-01-16",6304
"2018-01-17",6584
"2018-01-18",6444
"2018-01-19",6484
"2018-01-22",6364
"2018-01-23",6444
"2018-01-24",6404
"2018-01-25",6584
"2018-01-26",6624
"2018-01-29",6964
"2018-01-30",6704
"2018-01-31",6684
"2018-02-01",6844
"2018-02-02",6664
"2018-02-05",6384
"2018-02-06",6384
"2018-02-07",6204
"2018-02-08",6304
"2018-02-09",6044
"2018-02-12",5864
"2018-02-13",5783
"2018-02-14",5804
"2018-02-19",5864
"2018-02-20",6004
"2018-02-21",6404
"2018-02-22",6564
"2018-02-23",6564
"2018-02-26",6424
"2018-02-27",6344
"2018-02-28",6104
"2018-03-02",6184
"2018-03-05",5924
"2018-03-06",5924
"2018-03-07",5743
"2018-03-08",5723
"2018-03-09",5884
"2018-03-12",5924
"2018-03-13",6164
"2018-03-14",6204
"2018-03-15",6164
"2018-03-16",6364
"2018-03-19",6004
"2018-03-20",5964
"2018-03-21",4183
"2018-03-22",4343
"2018-03-23",4963
"2018-03-26",4803
"2018-03-27",5043
"2018-03-28",5763
"2018-03-29",5423
"2018-03-30",5383
"2018-04-02",5083
"2018-04-03",5263
"2018-04-04",5243
"2018-04-05",5343
"2018-04-06",5303
"2018-04-09",5223
"2018-04-10",5223
"2018-04-11",5203
"2018-04-12",5403
"2018-04-13",5423
"2018-04-16",5523
"2018-04-17",5804
"2018-04-18",5663
"2018-04-19",5523
"2018-04-20",5483
"2018-04-23",5443
"2018-04-24",5603
"2018-04-25",5543
"2018-04-26",5603
"2018-04-27",5683
"2018-04-30",5343
"2018-05-02",5443
"2018-05-03",5363
"2018-05-04",5603
"2018-05-08",6004
"2018-05-09",6124
"2018-05-10",6924
"2018-05-11",6444
"2018-05-14",6644
"2018-05-15",6404
"2018-05-16",5904
"2018-05-17",6064
"2018-05-18",6124
"2018-05-21",6044
"2018-05-23",5944
"2018-05-24",5884
"2018-05-25",5723
"2018-05-28",6304
"2018-05-29",5864
"2018-05-30",5683
"2018-05-31",5543
"2018-06-01",5583
"2018-06-04",5783
"2018-06-05",5984
"2018-06-07",6164
"2018-06-08",5743
"2018-06-11",5743
"2018-06-12",5763
"2018-06-14",5603
"2018-06-15",5523
"2018-06-18",5263
"2018-06-19",5083
"2018-06-20",5123
"2018-06-21",5203
"2018-06-22",5243
"2018-06-25",5643
