"","Price"
"2017-04-05",11250
"2017-04-06",11550
"2017-04-07",11850
"2017-04-10",11600
"2017-04-11",11700
"2017-04-12",11900
"2017-04-13",11900
"2017-04-14",11700
"2017-04-17",11850
"2017-04-18",12150
"2017-04-19",12100
"2017-04-20",12150
"2017-04-21",12200
"2017-04-24",11900
"2017-04-25",12050
"2017-04-26",12050
"2017-04-27",12000
"2017-04-28",11950
"2017-05-02",12000
"2017-05-04",12000
"2017-05-08",12000
"2017-05-10",11950
"2017-05-11",11800
"2017-05-12",12050
"2017-05-15",11900
"2017-05-16",11950
"2017-05-17",11800
"2017-05-18",11650
"2017-05-19",11800
"2017-05-22",11900
"2017-05-23",12200
"2017-05-24",12000
"2017-05-25",11950
"2017-05-26",11950
"2017-05-29",11950
"2017-05-30",12000
"2017-05-31",12100
"2017-06-01",12100
"2017-06-02",13550
"2017-06-05",13600
"2017-06-07",13900
"2017-06-08",13600
"2017-06-09",13450
"2017-06-12",13450
"2017-06-13",13950
"2017-06-14",14200
"2017-06-15",13800
"2017-06-16",14000
"2017-06-19",13900
"2017-06-20",13550
"2017-06-21",13450
"2017-06-22",13400
"2017-06-23",14000
"2017-06-26",13650
"2017-06-27",13600
"2017-06-28",13800
"2017-06-29",13600
"2017-06-30",13600
"2017-07-03",13050
"2017-07-04",13050
"2017-07-05",12900
"2017-07-06",12850
"2017-07-07",13100
"2017-07-10",13400
"2017-07-11",13400
"2017-07-12",13150
"2017-07-13",12900
"2017-07-14",12450
"2017-07-17",12600
"2017-07-18",12950
"2017-07-19",13300
"2017-07-20",13350
"2017-07-21",13150
"2017-07-24",13350
"2017-07-25",13300
"2017-07-26",13150
"2017-07-27",13200
"2017-07-28",12950
"2017-07-31",12800
"2017-08-01",13250
"2017-08-02",13100
"2017-08-03",12900
"2017-08-04",12750
"2017-08-07",12850
"2017-08-08",12800
"2017-08-09",12750
"2017-08-10",12650
"2017-08-11",12200
"2017-08-14",12450
"2017-08-16",12350
"2017-08-17",12800
"2017-08-18",12850
"2017-08-21",12800
"2017-08-22",12700
"2017-08-23",12650
"2017-08-24",13000
"2017-08-25",13300
"2017-08-28",13500
"2017-08-29",13450
"2017-08-30",13450
"2017-08-31",13450
"2017-09-01",13300
"2017-09-04",13250
"2017-09-05",13450
"2017-09-06",13600
"2017-09-07",13350
"2017-09-08",13350
"2017-09-11",13200
"2017-09-12",13050
"2017-09-13",12850
"2017-09-14",12850
"2017-09-15",12800
"2017-09-18",13100
"2017-09-19",13100
"2017-09-20",12850
"2017-09-21",12850
"2017-09-22",12700
"2017-09-25",12500
"2017-09-26",12650
"2017-09-27",12600
"2017-09-28",12600
"2017-09-29",12650
"2017-10-10",12600
"2017-10-11",12800
"2017-10-12",12650
"2017-10-13",12450
"2017-10-16",12300
"2017-10-17",12300
"2017-10-18",12150
"2017-10-19",12300
"2017-10-20",12400
"2017-10-23",12250
"2017-10-24",12450
"2017-10-25",12450
"2017-10-26",12300
"2017-10-27",12550
"2017-10-30",12650
"2017-10-31",12850
"2017-11-01",12900
"2017-11-02",12900
"2017-11-03",12950
"2017-11-06",12950
"2017-11-07",12950
"2017-11-08",13050
"2017-11-09",13150
"2017-11-10",13200
"2017-11-13",13200
"2017-11-14",13350
"2017-11-15",13300
"2017-11-16",13300
"2017-11-17",13300
"2017-11-20",13250
"2017-11-21",13200
"2017-11-22",13150
"2017-11-23",13150
"2017-11-24",13200
"2017-11-27",13150
"2017-11-28",13050
"2017-11-29",12900
"2017-11-30",13000
"2017-12-01",12900
"2017-12-04",12750
"2017-12-05",13050
"2017-12-06",13200
"2017-12-07",13550
"2017-12-08",13500
"2017-12-11",13850
"2017-12-12",14350
"2017-12-13",14250
"2017-12-14",14000
"2017-12-15",14600
"2017-12-18",15200
"2017-12-19",15000
"2017-12-20",14450
"2017-12-21",14250
"2017-12-22",14450
"2017-12-26",14550
"2017-12-27",14100
"2017-12-28",14250
"2018-01-02",14350
"2018-01-03",13800
"2018-01-04",13550
"2018-01-05",13650
"2018-01-08",13600
"2018-01-09",13700
"2018-01-10",13750
"2018-01-11",13750
"2018-01-12",13300
"2018-01-15",13250
"2018-01-16",13250
"2018-01-17",13300
"2018-01-18",13850
"2018-01-19",14000
"2018-01-22",13950
"2018-01-23",14050
"2018-01-24",14000
"2018-01-25",14400
"2018-01-26",14500
