"","Price"
"2017-04-05",17750
"2017-04-06",17950
"2017-04-07",18100
"2017-04-10",17650
"2017-04-11",17650
"2017-04-12",17550
"2017-04-13",17850
"2017-04-14",18050
"2017-04-17",18000
"2017-04-18",17850
"2017-04-19",17900
"2017-04-20",17950
"2017-04-21",18050
"2017-04-24",17700
"2017-04-25",17850
"2017-04-26",18000
"2017-04-27",18100
"2017-04-28",18100
"2017-05-02",18400
"2017-05-04",19300
"2017-05-08",19400
"2017-05-10",19150
"2017-05-11",19000
"2017-05-12",19100
"2017-05-15",18750
"2017-05-16",18800
"2017-05-17",18650
"2017-05-18",18650
"2017-05-19",18750
"2017-05-22",18650
"2017-05-23",18950
"2017-05-24",19000
"2017-05-25",18800
"2017-05-26",18950
"2017-05-29",19100
"2017-05-30",19100
"2017-05-31",18900
"2017-06-01",19000
"2017-06-02",19400
"2017-06-05",20050
"2017-06-07",19800
"2017-06-08",19350
"2017-06-09",19450
"2017-06-12",19000
"2017-06-13",19050
"2017-06-14",19250
"2017-06-15",19200
"2017-06-16",19000
"2017-06-19",19050
"2017-06-20",19000
"2017-06-21",18900
"2017-06-22",18650
"2017-06-23",18750
"2017-06-26",19000
"2017-06-27",19400
"2017-06-28",19300
"2017-06-29",19350
"2017-06-30",19250
"2017-07-03",19200
"2017-07-04",18650
"2017-07-05",18600
"2017-07-06",18500
"2017-07-07",18150
"2017-07-10",17850
"2017-07-11",17800
"2017-07-12",18200
"2017-07-13",18300
"2017-07-14",18300
"2017-07-17",18150
"2017-07-18",17950
"2017-07-19",18200
"2017-07-20",18400
"2017-07-21",18200
"2017-07-24",18000
"2017-07-25",18150
"2017-07-26",18350
"2017-07-27",18500
"2017-07-28",18400
"2017-07-31",18250
"2017-08-01",18200
"2017-08-02",18250
"2017-08-03",18000
"2017-08-04",17950
"2017-08-07",18050
"2017-08-08",17800
"2017-08-09",17800
"2017-08-10",17600
"2017-08-11",17150
"2017-08-14",17150
"2017-08-16",17950
"2017-08-17",18400
"2017-08-18",18550
"2017-08-21",18500
"2017-08-22",18350
"2017-08-23",17900
"2017-08-24",17950
"2017-08-25",18100
"2017-08-28",17900
"2017-08-29",17800
"2017-08-30",18400
"2017-08-31",18300
"2017-09-01",18300
"2017-09-04",17850
"2017-09-05",17950
"2017-09-06",17750
"2017-09-07",17700
"2017-09-08",17350
"2017-09-11",17700
"2017-09-12",17650
"2017-09-13",17900
"2017-09-14",17800
"2017-09-15",17650
"2017-09-18",17650
"2017-09-19",17700
"2017-09-20",17450
"2017-09-21",17350
"2017-09-22",17150
"2017-09-25",17150
"2017-09-26",17050
"2017-09-27",17200
"2017-09-28",17350
"2017-09-29",17300
"2017-10-10",17450
"2017-10-11",17450
"2017-10-12",17300
"2017-10-13",17150
"2017-10-16",17050
"2017-10-17",17250
"2017-10-18",17300
"2017-10-19",17200
"2017-10-20",17050
"2017-10-23",16750
"2017-10-24",16900
"2017-10-25",16900
"2017-10-26",16850
"2017-10-27",17450
"2017-10-30",17700
"2017-10-31",17700
"2017-11-01",17700
"2017-11-02",17700
"2017-11-03",17500
"2017-11-06",17750
"2017-11-07",17750
"2017-11-08",17650
"2017-11-09",17100
"2017-11-10",17350
"2017-11-13",17200
"2017-11-14",17700
"2017-11-15",17850
"2017-11-16",17900
"2017-11-17",17800
"2017-11-20",17700
"2017-11-21",17450
"2017-11-22",17450
"2017-11-23",17400
"2017-11-24",17600
"2017-11-27",17600
"2017-11-28",17650
"2017-11-29",17350
"2017-11-30",17150
"2017-12-01",17150
"2017-12-04",17350
"2017-12-05",17550
"2017-12-06",17550
"2017-12-07",17550
"2017-12-08",17500
"2017-12-11",17450
"2017-12-12",17600
"2017-12-13",17650
"2017-12-14",17800
"2017-12-15",17700
"2017-12-18",17850
"2017-12-19",17800
"2017-12-20",17800
"2017-12-21",17600
"2017-12-22",17700
"2017-12-26",17800
"2017-12-27",17500
"2017-12-28",17400
"2018-01-02",17550
"2018-01-03",17400
"2018-01-04",17150
"2018-01-05",17100
"2018-01-08",16900
"2018-01-09",17100
"2018-01-10",17050
"2018-01-11",17000
"2018-01-12",16750
"2018-01-15",16600
"2018-01-16",16550
"2018-01-17",16250
"2018-01-18",16300
"2018-01-19",17600
"2018-01-22",17950
"2018-01-23",17700
"2018-01-24",17950
"2018-01-25",18050
"2018-01-26",17900
"2018-01-29",17450
"2018-01-30",17350
"2018-01-31",17450
"2018-02-01",17850
"2018-02-02",17450
"2018-02-05",17200
"2018-02-06",16950
"2018-02-07",17000
"2018-02-08",17150
"2018-02-09",17000
"2018-02-12",16900
"2018-02-13",16900
"2018-02-14",16850
"2018-02-19",17100
"2018-02-20",17050
"2018-02-21",16950
"2018-02-22",17050
"2018-02-23",17050
"2018-02-26",17100
"2018-02-27",17150
"2018-02-28",17000
"2018-03-02",17000
"2018-03-05",16700
"2018-03-06",17100
"2018-03-07",17150
"2018-03-08",17000
"2018-03-09",16900
"2018-03-12",16850
"2018-03-13",16750
"2018-03-14",16750
"2018-03-15",16700
"2018-03-16",16650
"2018-03-19",16650
"2018-03-20",16500
"2018-03-21",16650
"2018-03-22",16450
"2018-03-23",16400
"2018-03-26",16150
"2018-03-27",16250
"2018-03-28",16050
"2018-03-29",16450
"2018-03-30",16500
"2018-04-02",16500
"2018-04-03",16450
"2018-04-04",16400
"2018-04-05",16600
"2018-04-06",16950
"2018-04-09",16800
"2018-04-10",16650
"2018-04-11",16900
"2018-04-12",16950
"2018-04-13",16950
"2018-04-16",17350
"2018-04-17",17200
"2018-04-18",17400
"2018-04-19",17400
"2018-04-20",17400
"2018-04-23",17350
"2018-04-24",17500
"2018-04-25",17450
"2018-04-26",17350
"2018-04-27",17300
"2018-04-30",17450
"2018-05-02",17450
"2018-05-03",17450
"2018-05-04",17600
"2018-05-08",17600
"2018-05-09",17450
"2018-05-10",17550
"2018-05-11",18100
"2018-05-14",18150
"2018-05-15",18000
"2018-05-16",17500
"2018-05-17",17550
"2018-05-18",17450
"2018-05-21",17250
"2018-05-23",17350
"2018-05-24",17600
"2018-05-25",17300
"2018-05-28",17150
"2018-05-29",17050
"2018-05-30",16900
"2018-05-31",17050
"2018-06-01",16950
"2018-06-04",16950
"2018-06-05",16850
"2018-06-07",17150
"2018-06-08",17000
"2018-06-11",17100
"2018-06-12",17050
"2018-06-14",16750
"2018-06-15",16700
"2018-06-18",16200
