"","Price"
"2017-04-05",20450
"2017-04-06",20400
"2017-04-07",20100
"2017-04-10",20000
"2017-04-11",20300
"2017-04-12",19750
"2017-04-13",19750
"2017-04-14",19000
"2017-04-17",19150
"2017-04-18",19400
"2017-04-19",19600
"2017-04-20",19150
"2017-04-21",18850
"2017-04-24",19600
"2017-04-25",19500
"2017-04-26",20300
"2017-04-27",19850
"2017-04-28",19550
"2017-05-02",19450
"2017-05-04",18750
"2017-05-08",18600
"2017-05-10",19000
"2017-05-11",18650
"2017-05-12",18450
"2017-05-15",18250
"2017-05-16",17200
"2017-05-17",17250
"2017-05-18",17200
"2017-05-19",17300
"2017-05-22",16850
"2017-05-23",17100
"2017-05-24",16800
"2017-05-25",16250
"2017-05-26",16200
"2017-05-29",16350
"2017-05-30",16600
"2017-05-31",16850
"2017-06-01",16850
"2017-06-02",16750
"2017-06-05",17050
"2017-06-07",16700
"2017-06-08",16500
"2017-06-09",16450
"2017-06-12",16200
"2017-06-13",16200
"2017-06-14",15800
"2017-06-15",15950
"2017-06-16",16150
"2017-06-19",16750
"2017-06-20",16250
"2017-06-21",15500
"2017-06-22",14400
"2017-06-23",15650
"2017-06-26",15100
"2017-06-27",14950
"2017-06-28",14300
"2017-06-29",14550
"2017-06-30",14900
"2017-07-03",14850
"2017-07-04",14300
"2017-07-05",14350
"2017-07-06",14650
"2017-07-07",14500
"2017-07-10",13950
"2017-07-11",13700
"2017-07-12",13900
"2017-07-13",13600
"2017-07-14",13350
"2017-07-17",13600
"2017-07-18",13500
"2017-07-19",13400
"2017-07-20",13950
"2017-07-21",18100
"2017-07-24",18150
"2017-07-25",17800
"2017-07-26",15200
"2017-07-27",14850
"2017-07-28",14500
"2017-07-31",14450
"2017-08-01",15100
"2017-08-02",15300
"2017-08-03",15200
"2017-08-04",15200
"2017-08-07",15150
"2017-08-08",15600
"2017-08-09",15000
"2017-08-10",14600
"2017-08-11",13950
"2017-08-14",14200
"2017-08-16",13750
"2017-08-17",14450
"2017-08-18",14150
"2017-08-21",14550
"2017-08-22",14400
"2017-08-23",14450
"2017-08-24",14500
"2017-08-25",14300
"2017-08-28",14000
"2017-08-29",14350
"2017-08-30",15200
"2017-08-31",15100
"2017-09-01",15250
"2017-09-04",14800
"2017-09-05",14600
"2017-09-06",14350
"2017-09-07",15250
"2017-09-08",14800
"2017-09-11",14850
"2017-09-12",15150
"2017-09-13",14850
"2017-09-14",15300
"2017-09-15",15550
"2017-09-18",16150
"2017-09-19",16150
"2017-09-20",15650
"2017-09-21",14850
"2017-09-22",14400
"2017-09-25",13850
"2017-09-26",14000
"2017-09-27",14200
"2017-09-28",13900
"2017-09-29",14700
"2017-10-10",14100
"2017-10-11",14100
"2017-10-12",14250
"2017-10-13",14400
"2017-10-16",14150
"2017-10-17",14350
"2017-10-18",14250
"2017-10-19",14550
"2017-10-20",14600
"2017-10-23",14450
"2017-10-24",15200
"2017-10-25",15450
"2017-10-26",15800
"2017-10-27",16200
"2017-10-30",16300
"2017-10-31",16100
"2017-11-01",15600
"2017-11-02",15650
"2017-11-03",15950
"2017-11-06",16150
"2017-11-07",16350
"2017-11-08",16100
"2017-11-09",15800
"2017-11-10",15900
"2017-11-13",17000
"2017-11-14",17000
"2017-11-15",16800
"2017-11-16",17000
"2017-11-17",16750
"2017-11-20",16150
"2017-11-21",15650
"2017-11-22",15850
"2017-11-23",15850
"2017-11-24",15800
"2017-11-27",15500
"2017-11-28",15500
"2017-11-29",15750
"2017-11-30",15600
"2017-12-01",15800
"2017-12-04",16400
"2017-12-05",16500
"2017-12-06",16200
"2017-12-07",15250
"2017-12-08",14850
"2017-12-11",15400
"2017-12-12",15900
"2017-12-13",16900
"2017-12-14",17450
"2017-12-15",17950
"2017-12-18",18050
"2017-12-19",18000
"2017-12-20",17350
"2017-12-21",16700
"2017-12-22",17650
"2017-12-26",17150
"2017-12-27",17800
"2017-12-28",17200
"2018-01-02",17700
"2018-01-03",19550
"2018-01-04",19450
"2018-01-05",19450
"2018-01-08",19650
"2018-01-09",18900
"2018-01-10",18900
"2018-01-11",19850
"2018-01-12",19650
"2018-01-15",19450
"2018-01-16",19500
"2018-01-17",19200
"2018-01-18",19000
"2018-01-19",18700
"2018-01-22",19100
"2018-01-23",19100
"2018-01-24",18850
"2018-01-25",19050
"2018-01-26",21400
"2018-01-29",20450
"2018-01-30",20500
"2018-01-31",20750
"2018-02-01",20850
"2018-02-02",20200
"2018-02-05",18700
"2018-02-06",17800
"2018-02-07",17500
"2018-02-08",18800
"2018-02-09",19100
"2018-02-12",19050
"2018-02-13",20850
"2018-02-14",20850
"2018-02-19",21250
"2018-02-20",20150
"2018-02-21",20950
"2018-02-22",20900
"2018-02-23",21350
"2018-02-26",21350
"2018-02-27",22000
"2018-02-28",22400
"2018-03-02",22300
"2018-03-05",22100
"2018-03-06",22100
"2018-03-07",22800
"2018-03-08",23650
"2018-03-09",23500
"2018-03-12",23500
"2018-03-13",22900
"2018-03-14",22750
"2018-03-15",21700
"2018-03-16",20650
"2018-03-19",19400
"2018-03-20",20700
"2018-03-21",20650
"2018-03-22",20200
"2018-03-23",19800
"2018-03-26",20200
"2018-03-27",21400
"2018-03-28",20900
"2018-03-29",21400
"2018-03-30",20000
"2018-04-02",19650
"2018-04-03",19750
"2018-04-04",19300
"2018-04-05",19700
"2018-04-06",19650
"2018-04-09",18500
"2018-04-10",17150
"2018-04-11",17250
"2018-04-12",17250
"2018-04-13",17400
"2018-04-16",17600
"2018-04-17",18900
"2018-04-18",18650
"2018-04-19",17950
"2018-04-20",17800
"2018-04-23",17450
"2018-04-24",17500
"2018-04-25",17250
"2018-04-26",17300
"2018-04-27",17800
"2018-04-30",17350
"2018-05-02",16500
"2018-05-03",16500
"2018-05-04",16600
"2018-05-08",15600
"2018-05-09",15850
"2018-05-10",16300
"2018-05-11",16600
"2018-05-14",16500
"2018-05-15",16050
"2018-05-16",15750
"2018-05-17",15550
"2018-05-18",15950
"2018-05-21",15850
"2018-05-23",15350
"2018-05-24",15750
"2018-05-25",15750
"2018-05-28",15500
"2018-05-29",15400
"2018-05-30",15000
"2018-05-31",15400
"2018-06-01",15500
"2018-06-04",15150
"2018-06-05",15100
"2018-06-07",15150
"2018-06-08",15350
"2018-06-11",15150
"2018-06-12",14900
"2018-06-14",14600
"2018-06-15",14950
"2018-06-18",14350
"2018-06-19",14200
"2018-06-20",14250
"2018-06-21",14150
"2018-06-22",13850
"2018-06-25",14400
"2018-06-26",14500
"2018-06-27",14600
"2018-06-28",13900
"2018-06-29",13650
"2018-07-02",12550
"2018-07-03",12500
"2018-07-04",13200
"2018-07-05",13400
"2018-07-06",13650
"2018-07-09",14200
"2018-07-10",14150
"2018-07-11",13700
"2018-07-12",14200
"2018-07-13",14200
"2018-07-16",13650
"2018-07-17",13250
"2018-07-18",13200
"2018-07-19",13000
"2018-07-20",12950
"2018-07-23",12300
"2018-07-24",12150
"2018-07-25",12200
"2018-07-26",12300
"2018-07-27",12650
"2018-07-30",12600
"2018-07-31",12600
"2018-08-01",12600
"2018-08-02",13050
"2018-08-03",13100
"2018-08-06",13100
"2018-08-07",13150
"2018-08-08",12950
"2018-08-09",13050
"2018-08-10",12650
"2018-08-13",11450
"2018-08-14",11350
"2018-08-16",11450
"2018-08-17",11700
"2018-08-20",11850
"2018-08-21",12050
"2018-08-22",12100
"2018-08-23",11950
"2018-08-24",11900
"2018-08-27",11950
"2018-08-28",12000
"2018-08-29",12150
"2018-08-30",12150
"2018-08-31",11950
"2018-09-03",11550
"2018-09-04",11650
"2018-09-05",11850
"2018-09-06",11900
"2018-09-07",11900
"2018-09-10",11750
"2018-09-11",11700
"2018-09-12",11700
"2018-09-13",11800
"2018-09-14",11800
"2018-09-17",12400
"2018-09-18",13400
"2018-09-19",13600
"2018-09-20",13300
"2018-09-21",13650
"2018-09-27",13450
"2018-09-28",13050
"2018-10-01",12600
"2018-10-02",12550
"2018-10-04",12600
"2018-10-05",12600
"2018-10-08",12500
"2018-10-10",11200
"2018-10-11",9960
"2018-10-12",10050
"2018-10-15",10350
"2018-10-16",10750
"2018-10-17",11350
"2018-10-18",11350
"2018-10-19",11450
"2018-10-22",11500
"2018-10-23",10550
"2018-10-24",10050
"2018-10-25",9970
"2018-10-26",9530
"2018-10-29",8000
"2018-10-30",8160
"2018-10-31",8790
"2018-11-01",8570
"2018-11-02",9080
"2018-11-05",9220
"2018-11-06",9230
"2018-11-07",8930
"2018-11-08",9000
"2018-11-09",8760
"2018-11-12",8800
"2018-11-13",8760
"2018-11-14",8720
"2018-11-15",8920
"2018-11-16",9200
"2018-11-19",10250
"2018-11-20",9940
"2018-11-21",9860
"2018-11-22",10500
"2018-11-23",10300
"2018-11-26",10150
"2018-11-27",10750
"2018-11-28",10900
"2018-11-29",10800
"2018-11-30",10550
"2018-12-03",10600
"2018-12-04",10350
"2018-12-05",10250
"2018-12-06",9720
"2018-12-07",9730
"2018-12-10",9140
"2018-12-11",9210
"2018-12-12",9520
"2018-12-13",9550
"2018-12-14",9400
"2018-12-17",9270
"2018-12-18",9090
"2018-12-19",9050
"2018-12-20",8940
"2018-12-21",9240
"2018-12-24",9310
"2018-12-26",9070
"2018-12-27",9300
"2018-12-28",9500
"2019-01-02",10150
"2019-01-03",10150
"2019-01-04",10650
"2019-01-07",10650
"2019-01-08",10400
"2019-01-09",10600
"2019-01-10",12250
"2019-01-11",11700
"2019-01-14",11850
"2019-01-15",12050
"2019-01-16",11750
"2019-01-17",11800
"2019-01-18",11500
"2019-01-21",11400
"2019-01-22",11500
"2019-01-23",11700
"2019-01-24",11400
"2019-01-25",11800
"2019-01-28",11650
"2019-01-29",11100
"2019-01-30",11400
"2019-01-31",11050
"2019-02-01",10900
"2019-02-07",10800
"2019-02-08",10800
"2019-02-11",10650
"2019-02-12",10750
"2019-02-13",11200
"2019-02-14",11200
"2019-02-15",11400
"2019-02-18",11600
"2019-02-19",11600
"2019-02-20",11400
"2019-02-21",11950
"2019-02-22",11950
"2019-02-25",12250
"2019-02-26",12100
"2019-02-27",13000
"2019-02-28",13850
"2019-03-04",13850
"2019-03-05",13600
"2019-03-06",14350
"2019-03-07",13650
"2019-03-08",14000
"2019-03-11",14050
"2019-03-12",13800
"2019-03-13",13500
"2019-03-14",14000
"2019-03-15",13950
"2019-03-18",14350
"2019-03-19",14350
"2019-03-20",13800
"2019-03-21",13050
"2019-03-22",13300
"2019-03-25",12800
"2019-03-26",13050
"2019-03-27",13000
"2019-03-28",13000
"2019-03-29",13550
"2019-04-01",13550
"2019-04-02",12750
"2019-04-03",14200
"2019-04-04",14350
"2019-04-05",14900
"2019-04-08",14800
"2019-04-09",14150
"2019-04-10",14250
"2019-04-11",14550
"2019-04-12",14650
"2019-04-15",14900
"2019-04-16",14450
"2019-04-17",14400
"2019-04-18",14000
"2019-04-19",14350
"2019-04-22",14250
"2019-04-23",13350
"2019-04-24",13300
"2019-04-25",13200
"2019-04-26",13100
"2019-04-29",13400
"2019-04-30",13150
"2019-05-02",13100
"2019-05-03",13150
"2019-05-07",13000
"2019-05-08",13150
"2019-05-09",13150
"2019-05-10",13000
"2019-05-13",14350
"2019-05-14",14000
"2019-05-15",16150
"2019-05-16",15400
"2019-05-17",15450
"2019-05-20",14600
"2019-05-21",14500
"2019-05-22",14650
"2019-05-23",13950
"2019-05-24",13100
"2019-05-27",12550
"2019-05-28",13250
"2019-05-29",13750
"2019-05-30",14500
"2019-05-31",14400
"2019-06-03",14700
"2019-06-04",14600
"2019-06-05",14750
"2019-06-07",15100
"2019-06-10",15450
"2019-06-11",15600
"2019-06-12",15550
"2019-06-13",15500
"2019-06-14",15150
"2019-06-17",15250
"2019-06-18",15050
"2019-06-19",14950
"2019-06-20",15900
"2019-06-21",15800
"2019-06-24",15250
"2019-06-25",14900
"2019-06-26",15150
"2019-06-27",14400
"2019-06-28",13650
"2019-07-01",14050
"2019-07-02",13600
"2019-07-03",13600
"2019-07-04",13250
"2019-07-05",13800
"2019-07-08",13300
"2019-07-09",13300
"2019-07-10",13500
"2019-07-11",14900
"2019-07-12",14200
"2019-07-15",15400
"2019-07-16",15000
"2019-07-17",14000
"2019-07-18",13900
"2019-07-19",13800
"2019-07-22",13550
"2019-07-23",14750
"2019-07-24",14100
"2019-07-25",13600
"2019-07-26",13300
"2019-07-29",12450
"2019-07-30",12500
"2019-07-31",12550
"2019-08-01",12600
"2019-08-02",12800
"2019-08-05",11500
"2019-08-06",11150
"2019-08-07",12000
"2019-08-08",12300
"2019-08-09",12350
"2019-08-12",12700
"2019-08-13",12800
"2019-08-14",12950
"2019-08-16",12350
"2019-08-19",12350
"2019-08-20",12800
"2019-08-21",11750
"2019-08-22",11650
"2019-08-23",11900
"2019-08-26",11850
"2019-08-27",11650
"2019-08-28",11700
"2019-08-29",11700
"2019-08-30",11900
"2019-09-02",11800
"2019-09-03",11850
"2019-09-04",12150
"2019-09-05",12050
"2019-09-06",12650
"2019-09-09",12450
"2019-09-10",12350
"2019-09-11",12400
"2019-09-16",12200
"2019-09-17",12250
"2019-09-18",12100
"2019-09-19",12050
"2019-09-20",11850
"2019-09-23",11850
"2019-09-24",12100
"2019-09-25",11700
"2019-09-26",11700
"2019-09-27",11700
"2019-09-30",11300
"2019-10-01",11750
"2019-10-02",11500
"2019-10-04",11250
"2019-10-07",11150
"2019-10-08",11650
"2019-10-10",11450
"2019-10-11",11050
"2019-10-14",11200
"2019-10-15",11350
"2019-10-16",11200
"2019-10-17",11050
"2019-10-18",11050
"2019-10-21",10900
"2019-10-22",10800
"2019-10-23",12000
"2019-10-24",11900
"2019-10-25",11650
"2019-10-28",11850
"2019-10-29",11950
"2019-10-30",11800
"2019-10-31",12000
"2019-11-01",11850
"2019-11-04",11950
"2019-11-05",12100
"2019-11-06",12300
"2019-11-07",12650
"2019-11-08",12700
"2019-11-11",12300
