"","Price"
"2017-04-05",26094
"2017-04-06",25758
"2017-04-07",25710
"2017-04-10",25326
"2017-04-11",25950
"2017-04-12",25806
"2017-04-13",26094
"2017-04-14",27053
"2017-04-17",27053
"2017-04-18",26717
"2017-04-19",26478
"2017-04-20",26861
"2017-04-21",26142
"2017-04-24",25950
"2017-04-25",26526
"2017-04-26",27245
"2017-04-27",26765
"2017-04-28",26382
"2017-05-02",26669
"2017-05-04",26574
"2017-05-08",26861
"2017-05-10",27245
"2017-05-11",27725
"2017-05-12",27053
"2017-05-15",29739
"2017-05-16",30171
"2017-05-17",29739
"2017-05-18",29547
"2017-05-19",29979
"2017-05-22",30986
"2017-05-23",31850
"2017-05-24",31802
"2017-05-25",33577
"2017-05-26",32761
"2017-05-29",32857
"2017-05-30",32713
"2017-05-31",31610
"2017-06-01",32042
"2017-06-02",32042
"2017-06-05",31946
"2017-06-07",32857
"2017-06-08",34776
"2017-06-09",36886
"2017-06-12",34728
"2017-06-13",35399
"2017-06-14",34920
"2017-06-15",34776
"2017-06-16",34872
"2017-06-19",34872
"2017-06-20",35064
"2017-06-21",34584
"2017-06-22",33912
"2017-06-23",33960
"2017-06-26",35831
"2017-06-27",35735
"2017-06-28",34584
"2017-06-29",35447
"2017-06-30",35687
"2017-07-03",33385
"2017-07-04",33193
"2017-07-05",35016
"2017-07-06",34440
"2017-07-07",34776
"2017-07-10",34728
"2017-07-11",33481
"2017-07-12",32617
"2017-07-13",33625
"2017-07-14",33433
"2017-07-17",35160
"2017-07-18",35064
"2017-07-19",35112
"2017-07-20",35975
"2017-07-21",34536
"2017-07-24",35016
"2017-07-25",33385
"2017-07-26",33337
"2017-07-27",33145
"2017-07-28",31658
"2017-07-31",32857
"2017-08-01",33289
"2017-08-02",33241
"2017-08-03",32090
"2017-08-04",31610
"2017-08-07",31610
"2017-08-08",32425
"2017-08-09",32282
"2017-08-10",32042
"2017-08-11",30555
"2017-08-14",30267
"2017-08-16",31034
"2017-08-17",31466
"2017-08-18",30171
"2017-08-21",29260
"2017-08-22",29452
"2017-08-23",28876
"2017-08-24",29212
"2017-08-25",30555
"2017-08-28",29787
"2017-08-29",30315
"2017-08-30",30363
"2017-08-31",30938
"2017-09-01",30651
"2017-09-04",29979
"2017-09-05",30219
"2017-09-06",29739
"2017-09-07",30891
"2017-09-08",30555
"2017-09-11",30219
"2017-09-12",31082
