"","no2","pm25","o3","so2","pm10","dataDt","odr","co"
"list.89","0.0090","13","0.0300","0.0040","44","20200329",1,"0.30"
"list.90","0.0160","20","0.0270","0.0040","46","20200330",1,"0.40"
"list.91","0.0140","18","0.0300","0.0040","47","20200331",1,"0.30"
"list.92","0.0080","22","0.0390","0.0040","61","20200401",1,"0.40"
"list.93","0.0120","21","0.0290","0.0040","47","20200402",1,"0.40"
"list.94","0.0140","23","0.0290","0.0040","44","20200403",1,"0.40"
"list.95","0.0080","19","0.0350","0.0030","51","20200404",1,"0.30"
"list.96","0.0070","14","0.0370","0.0040","46","20200405",1,"0.30"
"list.97","0.0120","14","0.0280","0.0040","45","20200406",1,"0.40"
"list.98","0.0120","19","0.0270","0.0040","46","20200407",1,"0.30"
"list.99","0.0060","11","0.0380","0.0030","44","20200408",1,"0.30"
"list.100","0.0100","15","0.0310","0.0030","47","20200409",1,"0.30"
"list.101","0.0150","22","0.0260","0.0040","48","20200410",1,"0.40"
"list.102","0.0130","16","0.0240","0.0040","40","20200411",1,"0.40"
"list.103","0.0080","15","0.0290","0.0030","35","20200412",1,"0.30"
"list.104","0.0090","8","0.0310","0.0030","39","20200413",1,"0.20"
"list.105","0.0140","21","0.0340","0.0040","48","20200414",1,"0.40"
"list.106","0.0130","27","0.0430","0.0040","55","20200415",1,"0.40"
"list.107","0.0130","26","0.0380","0.0040","57","20200416",1,"0.40"
"list.108","0.0130","18","0.0250","0.0040","49","20200417",1,"0.30"
"list.109","0.0110","6","0.0470","0.0030","35","20200418",1,"0.30"
"list.110","0.0110","9","0.0440","0.0030","36","20200419",1,"0.30"
"list.111","0.0110","4","0.0490","0.0030","26","20200420",1,"0.30"
"list.112","0.0080","3","0.0540","0.0030","46","20200421",1,"0.20"
"list.113","0.0060","5","0.0480","0.0020","110","20200422",1,"0.20"
"list.114","0.0070","5","0.0510","0.0030","57","20200423",1,"0.30"
"list.115","0.0120","7","0.0430","0.0030","56","20200424",1,"0.30"
"list.116","0.0090","16","0.0550","0.0040","76","20200425",1,"0.30"
"list.117","0.0080","6","0.0440","0.0030","45","20200426",1,"0.30"
"list.118","0.0130","9","0.0380","0.0030","46","20200427",1,"0.30"
"list.119","0.0160","14","0.0400","0.0030","-","20200428",1,"0.30"
"list.120","0.0170","20","0.0470","0.0040","-","20200429",1,"0.30"
"list.121","0.0130","13","0.0420","0.0030","45","20200430",1,"0.30"
"list.122","0.0090","27","0.0430","0.0030","68","20200501",1,"0.30"
"list.123","0.0100","25","0.0300","0.0030","75","20200502",1,"0.30"
"list.124","0.0080","13","0.0360","0.0030","45","20200503",1,"0.30"
"list.125","0.0130","12","0.0330","0.0030","50","20200504",1,"0.30"
"list.126","0.0190","16","0.0240","0.0040","60","20200505",1,"0.30"
"list.127","0.0130","14","0.0400","0.0030","59","20200506",1,"0.30"
"list.128","0.0130","8","0.0520","0.0030","53","20200507",1,"0.30"
"list.129","0.0150","10","0.0500","0.0030","55","20200508",1,"0.30"
"list.130","0.0090","5","0.0360","0.0030","24","20200509",1,"0.20"
"list.131","0.0090","18","0.0470","0.0030","43","20200510",1,"0.40"
"list.132","0.0130","31","0.0470","0.0030","165","20200511",1,"0.40"
"list.133","0.0110","10","0.0370","0.0030","51","20200512",1,"0.30"
"list.134","0.0140","6","0.0350","0.0030","46","20200513",1,"0.30"
"list.135","0.0210","8","0.0330","0.0040","51","20200514",1,"0.30"
"list.136","0.0140","7","0.0300","0.0030","41","20200515",1,"0.30"
"list.137","0.0130","13","0.0340","0.0030","39","20200516",1,"0.30"
"list.138","0.0100","25","0.0370","0.0030","61","20200517",1,"0.40"
"list.139","0.0120","21","0.0360","0.0030","61","20200518",1,"0.40"
"list.140","0.0090","4","0.0340","0.0030","30","20200519",1,"0.30"
"list.141","0.0090","1","0.0310","0.0030","20","20200520",1,"0.20"
"list.142","0.0150","10","0.0300","0.0030","37","20200521",1,"0.30"
"list.143","0.0170","29","0.0360","0.0030","73","20200522",1,"0.40"
"list.144","0.0110","23","0.0410","0.0030","59","20200523",1,"0.30"
"list.145","0.0080","12","0.0380","0.0030","37","20200524",1,"0.30"
"list.146","0.0120","21","0.0470","0.0030","50","20200525",1,"0.40"
"list.147","0.0110","19","0.0440","0.0030","52","20200526",1,"0.30"
"list.148","0.0120","10","0.0400","0.0030","36","20200527",1,"0.30"
"list.149","0.0140","16","0.0480","0.0030","48","20200528",1,"0.30"
"list.150","0.0150","16","0.0340","0.0030","49","20200529",1,"0.30"
"list.151","0.0140","22","0.0560","0.0030","58","20200530",1,"0.40"
"list.152","0.0100","25","0.0550","0.0030","57","20200531",1,"0.30"
"list.153","0.0080","4","0.0480","0.0030","26","20200601",1,"0.20"
"list.154","0.0180","13","0.0280","0.0030","42","20200602",1,"0.30"
"list.155","0.0110","25","0.0520","0.0030","63","20200603",1,"0.30"
"list.156","0.0120","23","0.0400","0.0030","64","20200604",1,"0.30"
"list.157","0.0100","17","0.0430","0.0030","55","20200605",1,"0.30"
"list.158","0.0130","29","0.0560","0.0030","69","20200606",1,"0.40"
"list.159","0.0100","24","0.0500","0.0040","64","20200607",1,"0.40"
"list.160","0.0110","22","0.0450","0.0030","60","20200608",1,"0.30"
"list.161","0.0140","19","0.0440","0.0030","65","20200609",1,"0.30"
"list.162","-","-","-","-","-","20200610",1,"-"
"list.163","-","-","-","-","-","20200611",1,"-"
"list.164","0.0120","16","0.0230","0.0030","58","20200612",1,"0.40"
"list.165","0.0070","18","0.0500","0.0040","72","20200613",1,"0.40"
"list.166","0.0050","19","0.0440","0.0030","56","20200614",1,"0.40"
"list.167","0.0070","11","0.0400","0.0030","45","20200615",1,"0.40"
"list.168","0.0060","34","0.0660","0.0030","73","20200616",1,"0.60"
"list.169","0.0090","36","0.0500","0.0050","78","20200617",1,"0.60"
"list.170","0.0090","20","0.0330","0.0040","62","20200618",1,"0.40"
"list.171","0.0090","10","0.0310","0.0030","36","20200619",1,"0.40"
"list.172","0.0140","20","0.0390","0.0040","50","20200620",1,"0.50"
"list.173","0.0100","18","0.0370","0.0040","45","20200621",1,"0.40"
"list.174","0.0120","19","0.0370","0.0030","57","20200622",1,"0.40"
"list.175","0.0150","18","0.0360","0.0040","54","20200623",1,"0.40"
"list.176","0.0120","14","0.0290","0.0040","34","20200624",1,"0.40"
"list.177","0.0120","6","0.0270","0.0040","26","20200625",1,"0.40"
"list.178","0.0090","13","0.0380","0.0030","37","20200626",1,"0.40"
"list.179","0.0120","17","0.0330","0.0040","40","20200627",1,"0.40"
"list.180","0.0090","15","0.0330","0.0030","41","20200628",1,"0.40"
"list.181","0.0130","26","0.0320","0.0040","55","20200629",1,"0.50"
"list.182","0.0090","4","0.0320","0.0030","20","20200630",1,"0.30"
"list.183","0.0150","-","0.0210","0.0030","-","20200701",1,"0.40"
"list.184","0.0140","47","0.0470","0.0030","87","20200702",1,"0.60"
"list.185","0.0120","27","0.0380","0.0030","57","20200703",1,"0.50"
"list.186","0.0110","15","0.0370","0.0030","32","20200704",1,"0.40"
"list.187","0.0110","24","0.0370","0.0030","37","20200705",1,"0.50"
"list.188","0.0120","16","0.0340","0.0030","34","20200706",1,"0.40"
"list.189","0.0090","8","0.0330","0.0030","23","20200707",1,"0.40"
"list.190","0.0130","20","0.0320","0.0030","45","20200708",1,"0.40"
"list.191","0.0140","32","0.0440","0.0030","72","20200709",1,"0.50"
"list.192","0.0130","12","0.0260","0.0030","36","20200710",1,"0.40"
"list.193","0.0090","4","0.0320","0.0030","18","20200711",1,"0.40"
"list.194","0.0100","8","0.0220","0.0030","21","20200712",1,"0.40"
"list.195","0.0080","3","0.0270","0.0030","10","20200713",1,"0.30"
"list.196","0.0110","2","0.0200","0.0030","17","20200714",1,"0.30"
"list.197","0.0110","4","0.0220","0.0030","18","20200715",1,"0.30"
"list.198","0.0140","12","0.0240","0.0040","30","20200716",1,"0.40"
"list.199","0.0140","20","0.0300","0.0030","47","20200717",1,"0.40"
"list.200","0.0150","29","0.0370","0.0030","58","20200718",1,"0.50"
"list.201","0.0100","14","0.0280","0.0030","30","20200719",1,"0.40"
"list.202","0.0100","10","0.0420","0.0030","36","20200720",1,"0.50"
"list.203","0.0110","17","0.0470","0.0030","41","20200721",1,"0.50"
"list.204","0.0190","18","0.0240","0.0040","54","20200722",1,"0.60"
"list.205","0.0120","11","0.0280","0.0030","39","20200723",1,"0.40"
"list.206","0.0080","2","0.0310","0.0030","7","20200724",1,"0.30"
"list.207","0.0090","2","0.0220","0.0030","13","20200725",1,"0.30"
"list.208","0.0080","3","0.0270","0.0030","8","20200726",1,"0.30"
"list.209","0.0130","12","0.0200","0.0030","37","20200727",1,"0.40"
"list.210","0.0130","6","0.0220","0.0030","23","20200728",1,"0.40"
"list.211","0.0130","4","0.0210","0.0030","28","20200729",1,"0.40"
"list.212","0.0140","9","0.0340","0.0030","-","20200730",1,"0.40"
"list.213","0.0140","10","0.0290","0.0030","27","20200731",1,"0.40"
"list.214","0.0130","4","0.0190","0.0030","20","20200801",1,"0.30"
"list.215","0.0100","4","0.0330","0.0030","15","20200802",1,"0.30"
"list.216","0.0120","5","0.0290","0.0030","15","20200803",1,"0.30"
"list.217","0.0100","22","0.0230","0.0030","48","20200804",1,"0.30"
"list.218","0.0160","18","0.0140","0.0030","39","20200805",1,"0.30"
"list.219","0.0100","4","-","0.0030","17","20200806",1,"0.30"
"list.220","0.0140","13","-","0.0030","32","20200807",1,"0.40"
"list.221","0.0120","6","0.0280","0.0030","16","20200808",1,"0.40"
"list.222","0.0100","2","0.0320","0.0030","14","20200809",1,"0.30"
"list.223","0.0130","2","0.0210","0.0030","13","20200810",1,"0.30"
"list.224","0.0130","3","-","0.0030","10","20200811",1,"0.40"
"list.225","0.0160","10","0.0320","0.0030","28","20200812",1,"0.40"
"list.226","0.0120","7","0.0390","0.0030","36","20200813",1,"0.40"
"list.227","0.0100","12","0.0550","0.0030","52","20200814",1,"0.40"
"list.228","0.0110","21","0.0580","0.0030","63","20200815",1,"0.50"
"list.229","0.0090","9","0.0320","0.0030","29","20200816",1,"0.30"
"list.230","0.0100","11","0.0350","0.0030","31","20200817",1,"0.30"
"list.231","0.0140","18","0.0250","0.0040","39","20200818",1,"0.30"
"list.232","-","-","-","-","-","20200819",1,"-"
"list.233","-","-","-","-","-","20200820",1,"-"
"list.234","0.0160","11","0.0170","0.0040","44","20200821",1,"0.40"
"list.235","0.0120","5","0.0240","0.0030","30","20200822",1,"0.40"
"list.236","0.0100","5","0.0350","0.0030","21","20200823",1,"0.40"
"list.237","0.0150","13","0.0290","0.0040","33","20200824",1,"0.40"
"list.238","0.0140","22","0.0300","0.0040","45","20200825",1,"0.40"
"list.239","0.0100","12","0.0350","0.0040","31","20200826",1,"0.30"
"list.240","0.0100","8","0.0360","0.0030","38","20200827",1,"0.40"
"list.241","0.0120","9","0.0360","0.0040","38","20200828",1,"0.40"
"list.242","0.0140","5","0.0260","0.0030","29","20200829",1,"0.40"
"list.243","0.0100","7","0.0420","0.0030","28","20200830",1,"0.40"
"list.244","0.0110","2","0.0300","0.0030","18","20200831",1,"0.40"
"list.245","0.0130","6","0.0350","0.0030","21","20200901",1,"0.40"
"list.246","0.0130","9","0.0210","0.0040","38","20200902",1,"0.40"
"list.247","0.0070","5","0.0580","0.0030","17","20200903",1,"0.30"
"list.248","0.0130","7","0.0460","0.0030","18","20200904",1,"0.40"
"list.249","0.0180","19","0.0360","0.0040","37","20200905",1,"0.50"
"list.250","0.0100","15","0.0270","0.0040","25","20200906",1,"0.40"
"list.251","0.0070","1","0.0410","0.0030","5","20200907",1,"0.30"
"list.252","0.0080","8","0.0470","0.0030","21","20200908",1,"0.40"
"list.253","0.0140","14","0.0310","0.0030","29","20200909",1,"0.40"
"list.254","0.0130","17","0.0420","0.0040","30","20200910",1,"0.50"
"list.255","0.0130","16","0.0280","0.0030","32","20200911",1,"0.40"
"list.256","0.0100","5","0.0240","0.0030","14","20200912",1,"0.40"
"list.257","0.0070","-","0.0290","0.0030","6","20200913",1,"0.30"
"list.258","0.0120","11","0.0280","0.0030","21","20200914",1,"0.50"
"list.259","0.0120","24","0.0390","0.0030","42","20200915",1,"0.60"
"list.260","0.0170","22","0.0240","0.0040","38","20200916",1,"0.50"
"list.261","0.0140","9","0.0280","0.0040","26","20200917",1,"0.40"
"list.262","0.0120","6","0.0390","0.0030","19","20200918",1,"0.40"
"list.263","0.0120","5","0.0330","0.0030","13","20200919",1,"0.40"
"list.264","0.0100","7","0.0290","0.0030","17","20200920",1,"0.40"
"list.265","0.0160","15","0.0220","0.0030","30","20200921",1,"0.40"
"list.266","0.0130","9","0.0230","0.0030","21","20200922",1,"0.40"
"list.267","0.0110","3","0.0250","0.0030","12","20200923",1,"0.40"
"list.268","0.0100","3","0.0250","0.0030","14","20200924",1,"0.30"
"list.269","0.0100","4","0.0240","0.0030","17","20200925",1,"0.30"
"list.270","0.0110","5","0.0240","0.0030","23","20200926",1,"0.30"
"list.271","0.0090","5","0.0250","0.0030","15","20200927",1,"0.30"
"list.272","0.0180","14","0.0200","0.0030","30","20200928",1,"0.40"
"list.273","0.0170","19","0.0210","0.0030","32","20200929",1,"0.40"
"list.274","0.0120","18","0.0210","0.0030","24","20200930",1,"0.40"
"list.275","0.0090","8","0.0260","0.0030","14","20201001",1,"0.40"
"list.276","0.0100","13","0.0330","0.0030","17","20201002",1,"0.40"
"list.277","0.0090","18","0.0340","0.0040","26","20201003",1,"0.50"
"list.278","0.0090","11","0.0310","0.0030","18","20201004",1,"0.40"
"list.279","0.0100","5","0.0220","0.0030","17","20201005",1,"0.40"
"list.280","0.0110","9","0.0220","0.0040","-","20201006",1,"0.40"
"list.281","0.0150","11","0.0210","0.0040","40","20201007",1,"0.30"
"list.282","0.0120","6","0.0250","0.0030","23","20201008",1,"0.30"
"list.283","0.0110","6","0.0300","0.0030","26","20201009",1,"0.30"
"list.284","0.0110","9","0.0260","0.0030","30","20201010",1,"0.30"
"list.285","0.0120","12","0.0220","0.0030","30","20201011",1,"0.30"
"list.286","0.0150","18","0.0240","0.0030","42","20201012",1,"0.40"
"list.287","-","-","-","-","-","20201013",1,"-"
"list.288","-","-","-","-","-","20201014",1,"-"
"list.289","0.0120","10","0.0250","0.0050","45","20201015",1,"0.20"
"list.290","0.0190","20","0.0100","0.0050","64","20201016",1,"0.30"
"list.291","0.0100","16","0.0280","0.0050","40","20201017",1,"0.30"
"list.292","0.0100","12","0.0320","0.0050","37","20201018",1,"0.30"
"list.293","0.0130","36","0.0400","0.0050","79","20201019",1,"0.40"
"list.294","0.0190","39","0.0300","0.0060","90","20201020",1,"0.40"
"list.295","0.0240","33","0.0100","0.0060","81","20201021",1,"0.40"
"list.296","0.0120","25","0.0280","0.0060","72","20201022",1,"0.30"
"list.297","0.0060","3","0.0320","0.0040","29","20201023",1,"0.20"
"list.298","0.0080","6","0.0280","0.0050","31","20201024",1,"0.20"
"list.299","0.0090","11","0.0300","0.0050","30","20201025",1,"0.30"
"list.300","0.0180","27","0.0210","0.0050","63","20201026",1,"0.40"
"list.301","0.0210","46","0.0300","0.0040","91","20201027",1,"0.50"
"list.302","0.0130","24","0.0330","0.0030","58","20201028",1,"0.40"
"list.303","0.0150","13","0.0290","0.0030","58","20201029",1,"0.40"
"list.304","0.0220","22","0.0180","0.0040","74","20201030",1,"0.40"
