"Sample","Ca","ln_Ca"
1,3.16,1.15057202759882
2,4.44,1.49065437644413
3,9.93,2.29556047805708
4,6.79,1.9154509415706
5,13.93,2.63404478779171
6,11.89,2.47569771070269
7,11.65,2.45530618001171
8,17.65,2.87073578337931
9,10.81,2.38047163165112
10,8.84,2.17928687664955
11,26.81,3.28877495224787
12,21.82,3.08282698040492
13,42.11,3.74028524217384
