"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"340","036800","나이스정보통신",29750,-250,-0.83,3212,9.26,23005,1.29,460,1.55
"341","267320","나인테크",4720,-90,-1.87,NA,NA,NA,NA,0,0
"342","001260","남광토건",15000,200,1.35,394,38.07,5379,2.79,0,0
"343","008350","남선알미늄",3750,-60,-1.57,131,28.63,1621,2.31,0,0
"344","008355","남선알미우",32750,-550,-1.65,NA,NA,NA,NA,0,0
"345","004270","남성",4135,-145,-3.39,NA,NA,2379,1.74,25,0.6
"346","003920","남양유업",306000,500,0.16,34527,8.86,1028846,0.3,1000,0.33
"347","003925","남양유업우",165000,0,0,NA,NA,NA,NA,1050,0.64
"348","025860","남해화학",8990,-80,-0.88,335,26.84,8735,1.03,60,0.67
"349","111710","남화산업",9380,-20,-0.21,150,62.53,6556,1.43,50,0.53
"350","091590","남화토건",10500,50,0.48,424,24.76,11305,0.93,70,0.67
"351","168330","내츄럴엔도텍",2525,0,0,NA,NA,1010,2.5,0,0
"352","094860","네오리진",2105,-45,-2.09,NA,NA,214,9.84,0,0
"353","253590","네오셈",3620,-20,-0.55,NA,NA,999,3.62,10,0.28
"354","212560","네오오토",8890,-90,-1,317,28.04,10077,0.88,50,0.56
"355","095660","네오위즈",23850,-500,-2.05,1133,21.05,14741,1.62,0,0
"356","042420","네오위즈홀딩스",39700,-2700,-6.37,2529,15.7,36556,1.09,123,0.31
"357","311390","네오크레마",8320,90,1.09,164,50.73,5197,1.6,0,0
"358","085910","네오티스",4300,-35,-0.81,135,31.85,3880,1.11,250,5.81
"359","092730","네오팜",36000,-250,-0.69,2570,14.01,12878,2.8,750,2.08
"360","290660","네오펙트",2965,30,1.02,NA,NA,907,3.27,0,0
"361","306620","네온테크",4245,30,0.71,4,1061.25,1822,2.33,0,0
"362","153460","네이블",7080,30,0.43,NA,NA,3674,1.93,0,0
"363","007390","네이처셀",10100,150,1.51,16,631.25,1338,7.55,0,0
"364","033640","네패스",41500,350,0.85,1349,30.76,9053,4.58,270,0.65
"365","330860","네패스아크",43350,-1100,-2.47,763,56.82,3876,11.18,0,0
"366","005720","넥센",4830,-65,-1.33,1055,4.58,18028,0.27,80,1.66
"367","005725","넥센우",3080,40,1.32,NA,NA,NA,NA,85,2.76
"368","002350","넥센타이어",7680,20,0.26,1153,6.66,14921,0.51,105,1.37
"369","002355","넥센타이어1우B",3035,20,0.66,NA,NA,NA,NA,110,3.62
"370","089140","넥스턴",20300,100,0.5,539,37.66,8455,2.4,100,0.49
"371","065170","넥스트BT",1390,20,1.46,NA,NA,734,1.89,0,0
"372","003580","넥스트사이언스",7340,-770,-9.49,NA,NA,2692,2.73,0,0
"373","137940","넥스트아이",1310,-30,-2.24,NA,NA,1028,1.27,0,0
"374","348210","넥스틴",74300,-2600,-3.38,NA,NA,180,412.78,0,0
"375","041140","넥슨지티",13300,-150,-1.12,85,156.47,3040,4.38,0,0
"376","217270","넵튠",29650,2150,7.82,NA,NA,2945,10.07,0,0
"377","225570","넷게임즈",14200,400,2.9,NA,NA,1323,10.73,0,0
"378","251270","넷마블",128000,-500,-0.39,1883,67.98,51919,2.47,0,0
"379","104620","노랑풍선",23600,-150,-0.63,NA,NA,11795,2,200,0.85
"380","090350","노루페인트",13000,-900,-6.47,923,14.08,15754,0.83,275,2.12
"381","090355","노루페인트우",15400,-1350,-8.06,NA,NA,NA,NA,280,1.82
"382","000320","노루홀딩스",13750,-400,-2.83,439,31.32,27108,0.51,400,2.91
"383","000325","노루홀딩스우",17850,-750,-4.03,NA,NA,NA,NA,405,2.27
"384","194700","노바렉스",41100,-550,-1.32,1850,22.22,10195,4.03,200,0.49
"385","285490","노바텍",38000,300,0.8,548,69.34,2838,13.39,242,0.64
"386","278650","노터스",27750,950,3.54,650,42.69,5581,4.97,0,0
"387","006280","녹십자",327000,-500,-0.15,NA,NA,89738,3.64,1000,0.31
"388","144510","녹십자랩셀",93500,1400,1.52,NA,NA,4174,22.4,25,0.03
"389","031390","녹십자셀",41400,550,1.35,923,44.85,6986,5.93,100,0.24
"390","142280","녹십자엠에스",10500,520,5.21,NA,NA,2348,4.47,0,0
"391","234690","녹십자웰빙",12600,100,0.8,400,31.5,4685,2.69,80,0.63
"392","005250","녹십자홀딩스",33100,150,0.46,59,561.02,16407,2.02,325,0.98
"393","005257","녹십자홀딩스2우",86200,-2300,-2.6,NA,NA,NA,NA,325,0.38
"394","065560","녹원씨엔아이",5770,0,0,NA,NA,4418,1.31,0,0
"395","004370","농심",285500,1500,0.53,12277,23.25,316955,0.9,4000,1.4
"396","072710","농심홀딩스",77500,-100,-0.13,7887,9.83,198514,0.39,2000,2.58
"397","054050","농우바이오",12550,-150,-1.18,436,28.78,14399,0.87,200,1.59
"398","040160","누리텔레콤",7750,270,3.61,761,10.18,5666,1.37,50,0.65
"399","069140","누리플랜",7630,-220,-2.8,NA,NA,4313,1.77,0,0
"400","126870","뉴로스",2230,0,0,NA,NA,2748,0.81,0,0
"401","060260","뉴보텍",1510,30,2.03,66,22.88,826,1.83,0,0
"402","012340","뉴인텍",3755,-30,-0.79,NA,NA,899,4.18,0,0
"403","214870","뉴지랩",11200,400,3.7,NA,NA,2710,4.13,0,0
"404","270870","뉴트리",33300,200,0.6,1056,31.53,6336,5.26,150,0.45
"405","144960","뉴파워프라즈마",6600,0,0,135,48.89,3269,2.02,0,0
"406","085670","뉴프렉스",1775,-25,-1.39,NA,NA,2301,0.77,0,0
"407","119860","다나와",33150,50,0.15,1822,18.19,8387,3.95,400,1.21
"408","064260","다날",8040,-240,-2.9,434,18.53,3168,2.54,0,0
"409","093640","다믈멀티미디어",3340,25,0.75,53,63.02,1961,1.7,0,0
"410","039560","다산네트웍스",10050,60,0.6,51,197.06,5002,2.01,0,0
"411","058730","다스코",5050,-10,-0.2,125,40.4,8008,0.63,0,0
"412","023590","다우기술",28000,0,0,4283,6.54,29783,0.94,400,1.43
"413","032190","다우데이타",13550,0,0,1782,7.6,15886,0.85,180,1.33
"414","068240","다원시스",18950,150,0.8,155,122.26,7550,2.51,100,0.53
"415","019680","대교",4415,-60,-1.34,190,23.24,5848,0.75,170,3.85
"416","019685","대교우B",2825,-5,-0.18,NA,NA,NA,NA,180,6.37
"417","006370","대구백화점",10600,100,0.95,NA,NA,25376,0.42,100,0.94
"418","008060","대덕",7100,20,0.28,976,7.27,12786,0.56,300,4.23
"419","00806K","대덕1우",8800,150,1.73,NA,NA,NA,NA,305,3.47
"420","353200","대덕전자",14200,-150,-1.05,NA,NA,NA,NA,0,0
"421","35320K","대덕전자1우",10600,760,7.72,NA,NA,NA,NA,0,0
"422","000490","대동공업",11000,200,1.85,150,73.33,9019,1.22,60,0.55
"423","020400","대동금속",10100,-100,-0.98,NA,NA,13552,0.75,60,0.59
"424","008830","대동기어",4370,-85,-1.91,NA,NA,6383,0.68,25,0.57
"425","048470","대동스틸",6070,70,1.17,32,189.69,6111,0.99,30,0.49
"426","008110","대동전자",6570,-200,-2.95,512,12.83,13257,0.5,500,7.61
"427","004780","대륙제관",5950,-150,-2.46,337,17.66,6719,0.89,100,1.68
"428","005750","대림B&Co",7320,300,4.27,132,55.45,9607,0.76,130,1.78
"429","017650","대림제지",13800,300,2.22,280,49.29,17050,0.81,0,0
"430","006570","대림통상",4160,55,1.34,NA,NA,6005,0.69,140,3.37
"431","007720","대명소노시즌",1450,-20,-1.36,633,2.29,1643,0.88,0,0
"432","317850","대모",5160,30,0.58,235,21.96,5213,0.99,70,1.36
"433","290670","대보마그네틱",32650,500,1.56,593,55.06,5448,5.99,0,0
"434","078140","대봉엘에스",10550,250,2.43,517,20.41,7289,1.45,50,0.47
"435","001680","대상",25850,150,0.58,2976,8.69,27896,0.93,600,2.32
"436","001685","대상우",18550,-750,-3.89,NA,NA,NA,NA,610,3.29
"437","084690","대상홀딩스",10650,-250,-2.29,1946,5.47,15703,0.68,200,1.88
"438","084695","대상홀딩스우",9890,-1060,-9.68,NA,NA,NA,NA,210,2.12
"439","036480","대성미생물",20750,1350,6.96,750,27.67,9235,2.25,85,0.41
"440","128820","대성산업",4610,-150,-3.15,NA,NA,9118,0.51,0,0
"441","117580","대성에너지",5540,0,0,474,11.69,11145,0.5,250,4.51
"442","025440","대성엘텍",1315,-10,-0.75,NA,NA,387,3.4,0,0
"443","027830","대성창투",5430,0,0,NA,NA,1250,4.34,0,0
"444","104040","대성파인텍",2830,-85,-2.92,39,72.56,1693,1.67,0,0
"445","016710","대성홀딩스",30050,100,0.33,837,35.9,26020,1.15,250,0.83
"446","332290","대신밸런스제7호스팩",2095,-20,-0.95,NA,NA,NA,NA,0,0
"447","336570","대신밸런스제8호스팩",2095,-5,-0.24,NA,NA,NA,NA,0,0
"448","369370","대신밸런스제9호스팩",2100,-25,-1.18,NA,NA,NA,NA,0,0
"449","020180","대신정보통신",2050,-150,-6.82,39,52.56,678,3.02,10,0.49
"450","003540","대신증권",16800,450,2.75,1310,12.82,22870,0.73,1000,5.95
"451","003547","대신증권2우B",13700,0,0,NA,NA,NA,NA,1050,7.66
"452","003545","대신증권우",14000,50,0.36,NA,NA,NA,NA,1050,7.5
"453","045390","대아티아이",5330,130,2.5,30,177.67,1327,4.02,20,0.38
"454","009190","대양금속",4060,-35,-0.85,230,17.65,1907,2.13,0,0
"455","108380","대양전기공업",17150,0,0,1334,12.86,21740,0.79,200,1.17
"456","006580","대양제지",3260,0,0,1070,3.05,5010,0.65,40,1.23
"457","014160","대영포장",3035,65,2.19,100,30.35,1389,2.19,0,0
"458","047040","대우건설",7000,510,7.86,508,13.78,5916,1.18,0,0
"459","009320","대우부품",2510,25,1.01,NA,NA,775,3.24,0,0
"460","042660","대우조선해양",28300,150,0.53,NA,NA,35025,0.81,0,0
"461","003090","대웅",31750,1150,3.76,1446,21.96,10795,2.94,100,0.31
"462","069620","대웅제약",129000,3000,2.38,2132,60.51,44820,2.88,600,0.47
"463","007680","대원",10050,250,2.55,845,11.89,25261,0.4,250,2.49
"464","000430","대원강업",4440,-50,-1.11,258,17.21,7743,0.57,115,2.59
"465","048910","대원미디어",34900,7550,27.61,90,387.78,6244,5.59,0,0
"466","005710","대원산업",8400,-170,-1.98,1950,4.31,15540,0.54,125,1.49
"467","006340","대원전선",1450,-5,-0.34,NA,NA,1136,1.28,0,0
"468","006345","대원전선우",2545,25,0.99,NA,NA,NA,NA,0,0
"469","003220","대원제약",16000,-50,-0.31,1306,12.25,9660,1.66,260,1.63
"470","024890","대원화성",2840,50,1.79,104,27.31,1925,1.48,10,0.35
"471","290380","대유",14500,50,0.35,543,26.7,6992,2.07,250,1.72
"472","002880","대유에이텍",1125,-10,-0.88,94,11.97,1013,1.11,0,0
"473","290120","대유에이피",7080,-50,-0.7,733,9.66,4288,1.65,200,2.82
"474","000300","대유플러스",828,0,0,152,5.45,953,0.87,0,0
"475","120240","대정화금",25850,900,3.61,855,30.23,17078,1.51,300,1.16
"476","003310","대주산업",2365,25,1.07,51,46.37,1472,1.61,30,1.27
"477","078600","대주전자재료",43050,450,1.06,NA,NA,5269,8.17,0,0
"478","012800","대창",1820,-15,-0.82,66,27.58,2023,0.9,10,0.55
"479","015230","대창단조",7770,80,1.04,1039,7.48,12724,0.61,220,2.83
"480","096350","대창솔루션",475,0,0,NA,NA,412,1.15,0,0
"481","140520","대창스틸",3180,0,0,NA,NA,4685,0.68,100,3.14
"482","131220","대한과학",13000,750,6.12,165,78.79,3788,3.43,60,0.46
"483","010170","대한광통신",3220,35,1.1,NA,NA,2433,1.32,0,0
"484","060900","대한그린파워",2570,40,1.58,NA,NA,188,13.67,0,0
"485","054670","대한뉴팜",11050,150,1.38,1085,10.18,4254,2.6,0,0
"486","001070","대한방직",41200,-50,-0.12,NA,NA,23893,1.72,0,0
"487","023910","대한약품",38800,650,1.7,4694,8.27,27796,1.4,400,1.03
"488","006650","대한유화",304000,5500,1.84,17218,17.66,273632,1.11,2500,0.82
"489","001440","대한전선",1225,50,4.26,NA,NA,345,3.55,0,0
"490","084010","대한제강",18500,600,3.35,1340,13.81,18665,0.99,200,1.08
"491","001790","대한제당",36450,-1250,-3.32,1717,21.23,48261,0.76,675,1.85
"492","001795","대한제당우",34250,-1750,-4.86,NA,NA,NA,NA,700,2.04
"493","001130","대한제분",153000,500,0.33,10196,15.01,449614,0.34,2000,1.31
"494","003490","대한항공",27200,0,0,NA,NA,17950,1.52,0,0
"495","003495","대한항공우",39850,-150,-0.38,NA,NA,NA,NA,0,0
"496","005880","대한해운",2940,55,1.91,374,7.86,3394,0.87,0,0
"497","003830","대한화섬",135000,-1000,-0.74,20048,6.73,401661,0.34,410,0.3
"498","016090","대현",2325,-40,-1.69,376,6.18,4498,0.52,100,4.3
"499","069460","대호에이엘",2505,75,3.09,NA,NA,972,2.58,0,0
"500","021040","대호특수강",827,12,1.47,10,82.7,933,0.89,0,0
"501","021045","대호특수강우",1400,40,2.94,NA,NA,NA,NA,0,0
"502","067080","대화제약",12000,150,1.27,600,20,4354,2.76,150,1.25
"503","298540","더네이쳐홀딩스",55200,300,0.55,3167,17.43,12200,4.52,0,0
"504","192080","더블유게임즈",63900,-700,-1.08,6541,9.77,35440,1.8,350,0.55
"505","299170","더블유에스아이",3110,-110,-3.42,NA,NA,NA,NA,0,0
"506","035290","더블유에프엠",1305,0,0,NA,NA,50,26.1,0,0
"507","012510","더존비즈온",87300,1700,1.99,1684,51.84,11427,7.64,470,0.54
"508","213420","덕산네오룩스",45250,150,0.33,798,56.7,6662,6.79,0,0
"509","317330","덕산테코피아",20400,-200,-0.97,696,29.31,7900,2.58,0,0
"510","077360","덕산하이메탈",13200,250,1.93,563,23.45,8904,1.48,0,0
"511","004830","덕성",27150,150,0.56,10,2715,3690,7.36,20,0.07
"512","004835","덕성우",31450,7250,29.96,NA,NA,NA,NA,25,0.08
"513","090410","덕신하우징",1515,50,3.41,39,38.85,1814,0.84,0,0
"514","024900","덕양산업",3275,295,9.9,NA,NA,1439,2.28,0,0
"515","263600","덕우전자",8460,70,0.83,556,15.22,5581,1.52,140,1.65
"516","194480","데브시스터즈",111900,3500,3.23,NA,NA,9195,12.17,0,0
"517","263800","데이타솔루션",5990,100,1.7,NA,NA,1623,3.69,0,0
"518","206560","덱스터",8100,250,3.18,NA,NA,2242,3.61,0,0
"519","261200","덴티스",2005,-25,-1.23,NA,NA,NA,NA,0,0
"520","145720","덴티움",64600,-1600,-2.42,1714,37.69,18695,3.46,0,0
"521","067990","도이치모터스",7180,-20,-0.28,2036,3.53,8689,0.83,0,0
"522","002150","도화엔지니어링",8680,70,0.81,519,16.72,7490,1.16,250,2.88
"523","006620","동구바이오제약",9310,80,0.87,536,17.37,3018,3.08,100,1.07
"524","100130","동국S&C",6270,80,1.29,171,36.67,4582,1.37,100,1.59
"525","005160","동국산업",3735,70,1.91,263,14.2,7054,0.53,130,3.48
"526","075970","동국알앤에스",6630,-260,-3.77,140,47.36,4066,1.63,80,1.21
"527","001230","동국제강",16900,1150,7.3,NA,NA,19382,0.87,0,0
"528","086450","동국제약",28100,250,0.9,1283,21.9,8031,3.5,160,0.57
"529","023450","동남합성",52800,-1200,-2.22,4926,10.72,20576,2.57,200,0.38
"530","004140","동방",6170,0,0,NA,NA,2695,2.29,0,0
"531","099410","동방선기",1895,25,1.34,NA,NA,2108,0.9,0,0
"532","007590","동방아그로",7010,-10,-0.14,555,12.63,10032,0.7,250,3.57
"533","005960","동부건설",13650,450,3.41,2814,4.85,19059,0.72,700,5.13
"534","005965","동부건설우",25050,-150,-0.6,NA,NA,NA,NA,750,2.99
"535","026960","동서",31750,-200,-0.63,1388,22.87,13419,2.37,700,2.2
"536","002210","동성제약",11750,50,0.43,NA,NA,2689,4.37,0,0
"537","102260","동성코퍼레이션",5850,60,1.04,128,45.7,6198,0.94,200,3.42
"538","033500","동성화인텍",13250,-750,-5.36,634,20.9,3517,3.77,220,1.66
"539","005190","동성화학",17900,0,0,2517,7.11,21972,0.81,600,3.35
"540","025950","동신건설",57600,13250,29.88,100,576,10388,5.54,0,0
"541","000640","동아쏘시오홀딩스",106500,3000,2.9,3220,33.07,121392,0.88,1000,0.94
"542","170900","동아에스티",83600,700,0.84,8404,9.95,76488,1.09,1000,1.2
"543","088130","동아엘텍",9330,100,1.08,1111,8.4,15454,0.6,150,1.61
"544","028100","동아지질",18250,200,1.11,1686,10.82,16860,1.08,200,1.1
"545","282690","동아타이어",11350,-100,-0.87,1799,6.31,25988,0.44,500,4.41
"546","041930","동아화성",11800,-50,-0.42,684,17.25,6826,1.73,50,0.42
"547","001520","동양",1415,-40,-2.75,NA,NA,3428,0.41,40,2.83
"548","001527","동양2우B",12150,-50,-0.41,NA,NA,NA,NA,150,1.23
"549","001529","동양3우B",23950,-600,-2.44,NA,NA,NA,NA,150,0.63
"550","084670","동양고속",23800,-50,-0.21,12104,1.97,45514,0.52,4700,19.75
"551","002900","동양물산",1710,-20,-1.16,61,28.03,882,1.94,0,0
"552","082640","동양생명",4560,100,2.24,739,6.17,16121,0.28,230,5.04
"553","060380","동양에스텍",2550,-120,-4.49,101,25.25,2615,0.98,100,3.92
"554","001525","동양우",6690,20,0.3,NA,NA,NA,NA,90,1.35
"555","079960","동양이엔피",17900,-300,-1.65,3154,5.68,27524,0.65,300,1.68
"556","008970","동양철관",1350,20,1.5,15,90,671,2.01,0,0
"557","228340","동양파일",6750,50,0.75,NA,NA,6112,1.1,0,0
"558","092780","동양피스톤",5590,20,0.36,753,7.42,8059,0.69,120,2.15
"559","088910","동우팜투테이블",3555,40,1.14,102,34.85,7357,0.48,0,0
"560","094170","동운아나텍",10700,-100,-0.93,503,21.27,1503,7.12,50,0.47
"561","049770","동원F&B",193000,-2000,-1.03,17015,11.34,176519,1.09,3000,1.55
"562","013120","동원개발",5700,220,4.01,933,6.11,8492,0.67,170,2.98
"563","018500","동원금속",1110,-30,-2.63,350,3.17,1363,0.81,0,0
"564","006040","동원산업",258000,-2000,-0.77,12635,20.42,282744,0.91,2000,0.78
"565","030720","동원수산",9040,40,0.44,1304,6.93,10939,0.83,0,0
"566","014820","동원시스템즈",46700,-100,-0.21,1485,31.45,17529,2.66,500,1.07
"567","014825","동원시스템즈우",35650,-850,-2.33,NA,NA,NA,NA,550,1.54
"568","163560","동일고무벨트",9340,-90,-0.95,597,15.64,13940,0.67,100,1.07
"569","109860","동일금속",12950,-150,-1.15,2420,5.35,17743,0.73,280,2.16
"570","032960","동일기연",14200,-50,-0.35,852,16.67,14924,0.95,40,0.28
"571","004890","동일산업",79900,1000,1.27,1726,46.29,145886,0.55,750,0.94
"572","002690","동일제강",3655,210,6.1,74,49.39,8703,0.42,10,0.27
"573","023790","동일철강",5630,-30,-0.53,611,9.21,7397,0.76,0,0
"574","005290","동진쎄미켐",32400,-600,-1.82,1138,28.47,6931,4.67,90,0.28
"575","025900","동화기업",56400,5300,10.37,1581,35.67,26226,2.15,150,0.27
"576","000020","동화약품",14950,550,3.82,341,43.84,10772,1.39,120,0.8
"577","000150","두산",49700,-600,-1.19,21900,2.27,72969,0.68,5200,10.46
"578","000157","두산2우B",58000,300,0.52,NA,NA,NA,NA,5200,8.97
"579","241560","두산밥캣",41200,300,0.73,2716,15.17,39692,1.04,1200,2.91
"580","000155","두산우",39600,0,0,NA,NA,NA,NA,5250,13.26
"581","042670","두산인프라코어",10500,100,0.96,1153,9.11,10677,0.98,0,0
"582","034020","두산중공업",13400,450,3.47,NA,NA,11643,1.15,0,0
"583","336260","두산퓨얼셀",50000,1200,2.46,162,308.64,2277,21.96,0,0
"584","33626K","두산퓨얼셀1우",14900,150,1.02,NA,NA,NA,NA,0,0
"585","33626L","두산퓨얼셀2우B",18150,200,1.11,NA,NA,NA,NA,0,0
"586","016740","두올",5200,-100,-1.89,374,13.9,5223,1,80,1.54
"587","073190","듀오백",3860,70,1.85,NA,NA,2289,1.69,0,0
"588","030350","드래곤플라이",2250,-15,-0.66,NA,NA,773,2.91,0,0
"589","203650","드림시큐리티",5630,-30,-0.53,69,81.59,1271,4.43,0,0
"590","223250","드림씨아이에스",18550,-400,-2.11,1032,17.97,2671,6.94,0,0
"591","060570","드림어스컴퍼니",6260,-10,-0.16,NA,NA,2074,3.02,0,0
"592","192650","드림텍",9800,530,5.72,417,23.5,3575,2.74,160,1.63
"593","217620","디딤",2040,-60,-2.86,39,52.31,887,2.3,0,0
"594","187870","디바이스이엔지",40550,-1200,-2.87,698,58.09,9062,4.47,0,0
"595","066670","디스플레이텍",5360,10,0.19,316,16.96,8006,0.67,100,1.87
"596","024090","디씨엠",20000,800,4.17,2385,8.39,14933,1.34,500,2.5
"597","003160","디아이",7550,50,0.67,23,328.26,4256,1.77,50,0.66
"598","092200","디아이씨",3120,0,0,NA,NA,3969,0.79,0,0
"599","110990","디아이티",11900,1200,11.21,713,16.69,9120,1.3,200,1.68
"600","263690","디알젬",13400,500,3.88,485,27.63,2872,4.67,50,0.37
"601","214680","디알텍",1600,0,0,20,80,763,2.1,0,0
"602","263720","디앤씨미디어",40250,-600,-1.47,404,99.63,3383,11.9,0,0
"603","109740","디에스케이",6290,20,0.32,308,20.42,5531,1.14,0,0
"604","033430","디에스티",370,0,0,NA,NA,64,5.78,0,0
"605","131030","디에이치피코리아",8170,10,0.12,894,9.14,6505,1.26,100,1.22
"606","196490","디에이테크놀로지",6180,-50,-0.8,NA,NA,5715,1.08,0,0
"607","066900","디에이피",4345,-15,-0.34,54,80.46,4423,0.98,0,0
"608","127120","디엔에이링크",4605,155,3.48,NA,NA,815,5.65,0,0
"609","092070","디엔에프",22750,-100,-0.44,220,103.41,8388,2.71,0,0
"610","134580","디엠티",3075,-70,-2.23,NA,NA,2181,1.41,0,0
"611","039840","디오",38450,450,1.18,1483,25.93,9174,4.19,0,0
"612","013570","디와이",5840,0,0,646,9.04,13449,0.43,150,2.57
"613","210540","디와이파워",19200,0,0,1729,11.1,15129,1.27,200,1.04
"614","104460","디와이피엔에프",29950,750,2.57,2212,13.54,6402,4.68,350,1.17
"615","079810","디이엔티",8240,120,1.48,NA,NA,1469,5.61,0,0
"616","227100","디자인",10000,330,3.41,NA,NA,4597,2.18,0,0
"617","113810","디젠스",876,-3,-0.34,NA,NA,597,1.47,0,0
"618","043360","디지아이",3230,35,1.1,NA,NA,5064,0.64,0,0
"619","197140","디지캡",8590,20,0.23,185,46.43,3932,2.18,70,0.81
"620","106520","디지탈옵틱",490,3,0.62,NA,NA,637,0.77,0,0
"621","068930","디지털대성",8130,30,0.37,762,10.67,3693,2.2,300,3.69
"622","033130","디지틀조선",3820,-325,-7.84,92,41.52,2070,1.85,30,0.79
"623","105740","디케이락",12400,-50,-0.4,1029,12.05,10995,1.13,200,1.61
"624","263020","디케이앤디",10150,540,5.62,365,27.81,6629,1.53,0,0
"625","290550","디케이티",19350,-50,-0.26,966,20.03,7085,2.73,0,0
"626","007340","디티알오토모티브",30600,300,0.99,7539,4.06,60240,0.51,1500,4.9
"627","187220","디티앤씨",7270,40,0.55,NA,NA,7738,0.94,0,0
"628","026890","디피씨",19350,1350,7.5,287,67.42,3705,5.22,80,0.41
"629","131180","딜리",1785,10,0.56,74,24.12,1964,0.91,40,2.24
"630","317120","라닉스",12900,-350,-2.64,NA,NA,1873,6.89,0,0
"631","042510","라온시큐어",4580,-250,-5.18,66,69.39,682,6.72,0,0
"632","300120","라온피플",26550,450,1.72,989,26.85,6090,4.36,150,0.56
"633","050120","라이브플렉스",5220,-20,-0.38,NA,NA,6670,0.78,0,0
"634","171120","라이온켐텍",8400,220,2.69,584,14.38,5776,1.45,150,1.79
"635","069540","라이트론",5420,0,0,276,19.64,2648,2.05,0,0
"636","347700","라이프시맨틱스",14100,300,2.17,NA,NA,NA,NA,0,0
"637","214260","라파스",29800,2500,9.16,18,1655.56,5733,5.2,0,0
"638","115390","락앤락",14950,50,0.34,302,49.5,12620,1.18,0,0
"639","171010","램테크놀러지",6370,-20,-0.31,276,23.08,2683,2.37,0,0
"640","084650","랩지노믹스",21600,-750,-3.36,93,232.26,2922,7.39,0,0
"641","217500","러셀",5850,-140,-2.34,147,39.8,1265,4.62,25,0.43
"642","033600","럭슬",179,0,0,NA,NA,988,0.18,0,0
"643","141080","레고켐바이오",55900,-200,-0.36,641,87.21,4741,11.79,0,0
"644","060300","레드로버",1830,0,0,NA,NA,312,5.87,0,0
"645","038390","레드캡투어",21050,-450,-2.09,2699,7.8,19085,1.1,800,3.8
"646","294140","레몬",9090,190,2.13,NA,NA,623,14.59,0,0
"647","228670","레이",54700,1300,2.43,1915,28.56,8647,6.33,0,0
"648","228850","레이언스",12600,-150,-1.18,933,13.5,11711,1.08,300,2.38
"649","281740","레이크머티리얼즈",3830,-90,-2.3,10,383,1836,2.09,0,0
"650","277810","레인보우로보틱스",27150,1550,6.05,NA,NA,623,43.58,0,0
"651","215100","로보로보",5610,180,3.31,63,89.05,1383,4.06,13,0.23
"652","090360","로보스타",31050,2150,7.44,NA,NA,9889,3.14,0,0
"653","108490","로보티즈",18400,800,4.55,221,83.26,5454,3.37,0,0
"654","067730","로지시스",9820,-730,-6.92,NA,NA,1676,5.86,60,0.61
"655","071280","로체시스템즈",6330,40,0.64,80,79.13,4274,1.48,0,0
"656","032350","롯데관광개발",19500,-450,-2.26,NA,NA,4348,4.48,0,0
"657","000400","롯데손해보험",1835,-15,-0.81,NA,NA,3112,0.59,0,0
"658","023530","롯데쇼핑",127000,-3000,-2.31,NA,NA,376333,0.34,3800,2.99
"659","004000","롯데정밀화학",61700,500,0.82,6611,9.33,57873,1.07,1700,2.76
"660","286940","롯데정보통신",38300,-200,-0.52,3720,10.3,25357,1.51,700,1.83
"661","280360","롯데제과",138000,3000,2.22,5936,23.25,188501,0.73,1300,0.94
"662","004990","롯데지주",33500,0,0,NA,NA,63267,0.53,1100,3.28
"663","00499K","롯데지주우",59300,500,0.85,NA,NA,NA,NA,1150,1.94
"664","005300","롯데칠성",133000,-2000,-1.48,NA,NA,138233,0.96,2700,2.03
"665","005305","롯데칠성우",66100,-100,-0.15,NA,NA,NA,NA,2705,4.09
"666","011170","롯데케미칼",296500,6000,2.07,20860,14.21,385244,0.77,6700,2.26
"667","002270","롯데푸드",371500,-2000,-0.54,41242,9.01,625100,0.59,12000,3.23
"668","071840","롯데하이마트",40500,-50,-0.12,NA,NA,81410,0.5,1000,2.47
"669","038060","루멘스",1550,-80,-4.91,NA,NA,2482,0.62,0,0
"670","085370","루트로닉",10400,400,4,NA,NA,4417,2.35,0,0
"671","08537M","루트로닉3우C",14500,-50,-0.34,NA,NA,NA,NA,151,1.04
"672","060240","룽투코리아",7180,110,1.56,67,107.16,2898,2.48,0,0
"673","058470","리노공업",162000,300,0.19,3485,46.48,19694,8.23,1200,0.74
"674","039980","리노스",1230,10,0.82,NA,NA,1723,0.71,0,0
"675","019570","리더스 기술투자",917,-29,-3.07,NA,NA,293,3.13,0,0
"676","016100","리더스코스메틱",3725,-45,-1.19,NA,NA,1590,2.34,0,0
"677","012700","리드코프",8960,-90,-0.99,1552,5.77,13926,0.64,150,1.67
"678","302550","리메드",23900,-50,-0.21,832,28.73,4229,5.65,0,0
"679","029480","릭스솔루션",643,-6,-0.92,NA,NA,365,1.76,0,0
"680","277070","린드먼아시아",7160,40,0.56,313,22.88,3356,2.13,89,1.24
"681","042500","링네트",7010,80,1.15,571,12.28,3814,1.84,0,0
"682","219420","링크제니시스",8280,150,1.85,59,140.34,3029,2.73,0,0
"683","027740","마니커",724,2,0.28,NA,NA,522,1.39,0,0
"684","195500","마니커에프앤지",6920,-10,-0.14,301,22.99,3153,2.19,0,0
"685","222810","마이더스AI",511,-1,-0.2,NA,NA,91,5.62,0,0
