"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"203","005725","넥센우","KOSPI","화학",2855,-40,-1.38,10279713000
"204","002350","넥센타이어","KOSPI","화학",6220,-310,-4.75,607494194940
"205","002355","넥센타이어1우B","KOSPI","화학",2600,-60,-2.26,1.69e+10
"206","003580","넥스트사이언스","KOSPI","광업",4900,-120,-2.39,160228147800
"207","251270","넷마블","KOSPI","서비스업",131500,-3500,-2.59,11292951214000
"208","090350","노루페인트","KOSPI","화학",8900,-320,-3.47,1.78e+11
"209","090355","노루페인트우","KOSPI","화학",11800,-250,-2.07,5464886800
"210","000320","노루홀딩스","KOSPI","기타금융",10550,-450,-4.09,140221643050
"211","000325","노루홀딩스우","KOSPI","기타금융",16250,-650,-3.85,3010312500
"212","006280","녹십자","KOSPI","의약품",423500,-25000,-5.57,4949248843000
"213","005250","녹십자홀딩스","KOSPI","서비스업",44000,-850,-1.9,2069241240000
"214","005257","녹십자홀딩스2우","KOSPI","서비스업",109000,1000,0.93,92212910000
"215","004370","농심","KOSPI","음식료품",282500,-6000,-2.08,1718346365000
"216","072710","농심홀딩스","KOSPI","기타금융",73900,-1600,-2.12,342732681000
"217","058730","다스코","KOSPI","기계",5250,-190,-3.49,8.085e+10
"218","023590","다우기술","KOSPI","서비스업",26600,-1500,-5.34,1193452012200
"219","019680","대교","KOSPI","서비스업",3605,-95,-2.57,305353774250
"220","019685","대교우B","KOSPI","서비스업",2490,-90,-3.49,48373205100
"221","006370","대구백화점","KOSPI","유통업",7760,-260,-3.24,83975701360
"222","008060","대덕","KOSPI","기타금융",6690,-200,-2.9,226725103500
"223","00806K","대덕1우","KOSPI","기타금융",8180,-370,-4.33,9917080260
"224","353200","대덕전자","KOSPI","전기전자",13500,-800,-5.59,667128487500
"225","35320K","대덕전자1우","KOSPI","전기전자",8800,-300,-3.3,18440567200
"226","000490","대동공업","KOSPI","기계",7380,-380,-4.9,175114189800
"227","008110","대동전자","KOSPI","전기전자",5420,370,7.33,56858222740
"228","005750","대림B&Co","KOSPI","비금속광물",5580,-170,-2.96,93031099200
"229","001880","대림건설","KOSPI","건설업",34750,-1950,-5.31,766351619000
"230","006570","대림통상","KOSPI","기계",4075,-75,-1.81,62041875000
"231","001680","대상","KOSPI","음식료품",26250,-1000,-3.67,909510656250
"232","001685","대상우","KOSPI","음식료품",18900,-900,-4.55,25897214700
"233","084690","대상홀딩스","KOSPI","기타금융",9840,-510,-4.93,356331373920
"234","084695","대상홀딩스우","KOSPI","기타금융",8380,-260,-3.01,7654979160
"235","128820","대성산업","KOSPI","유통업",3110,-90,-2.81,140682336580
"236","117580","대성에너지","KOSPI","전기가스업",5100,-60,-1.16,1.4025e+11
"237","016710","대성홀딩스","KOSPI","서비스업",27650,100,0.36,444873541350
"238","003540","대신증권","KOSPI","증권",12150,-250,-2.02,616896810000
"239","003547","대신증권2우B","KOSPI","증권",9050,-70,-0.77,9.05e+10
"240","003545","대신증권우","KOSPI","증권",9510,-120,-1.25,2.4726e+11
"241","009190","대양금속","KOSPI","철강금속",4085,-235,-5.44,120776860815
"242","014160","대영포장","KOSPI","종이목재",1810,85,4.93,196194133690
"243","047040","대우건설","KOSPI","건설업",5900,-420,-6.65,2452173564200
"244","009320","대우부품","KOSPI","운수장비",2930,20,0.69,139603878750
"245","042660","대우조선해양","KOSPI","운수장비",24450,-1300,-5.05,2623256857050
"246","003090","대웅","KOSPI","기타금융",46750,-850,-1.79,2718137565000
"247","069620","대웅제약","KOSPI","의약품",151500,-5000,-3.19,1755366112500
"248","000430","대원강업","KOSPI","운수장비",4180,-190,-4.35,2.5916e+11
"249","006340","대원전선","KOSPI","전기전자",1340,-55,-3.94,95162735780
"250","006345","대원전선우","KOSPI","전기전자",2480,-95,-3.69,6500576000
"251","003220","대원제약","KOSPI","의약품",17450,-500,-2.79,353250872350
