"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","1144","대구광역시 달서구 달서대로 351 (대천동)","6261","2019","한국지역난방공사 대구지사"," ","130301"," "," ","94999"
" ","24556","대구광역시 서구 염색공단중앙로 33","142066","2019","대구염색산업단지관리공단(열병합발전소)"," ","130302"," "," ","360115"
" ","1509","대구광역시 달서구 성서공단로 257 (장동)","2094","2019","대구공공시설관리공단 성서사업소","3220","130303","8175"," ","31093"
" ","562","대구광역시 달성군 유가면 비슬로96길 97","6372","2019","세하㈜","154","130304","5410"," ","57663"
" ","10004","대구광역시 달성군 현풍읍 국가산단북로100길 40","19953","2019","㈜아진피앤피","4583","130306","101506"," ","118218"
" ","1979","대구광역시 달성군 유가면 비슬로96길 35","1282","2019","경산제지㈜","476","130307","3806"," ","29217"
" ","1249","대구광역시 달서구 성서공단로51길 27 (장동)","1725","2019","신대일페이퍼㈜","397","130308","8894"," ","46651"
" ","571","대구광역시 달서구 성서동로53길 16 (장동)","3011","2019","아상텍스㈜","6","130312","9093"," ","9249"
" "," ","대구광역시 동구 매여로 14 (율암동)"," ","2019","대구그린파워㈜"," ","130313"," "," ","276439"
" ","1622","대구광역시 달성군 다사읍 다사로 799","1213","2019","대구광역시 폐기물에너지화시설","4510","130314","8243"," ","40695"
"2019","2019","2019","2019","2019","2019","2019","2019","2019","2019","2019"
"3","3","3","3","3","3","3","3","3","3","3"
