"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","78","경기도 평택시 산단로 205 (칠괴동)"," ","2017","평택시청(칠괴폐기물처리시설)","83","150142","1755"," ","1867"
" ","1137","경기도 오산시 황새로 169 (누읍동)","781","2017","㈜대림제지","55","150143","4250"," ","26836"
" ","1295","경기도 연천군 전곡읍 양연로402번길 244"," ","2017","도시환경㈜","355","150144","3063"," ","33735"
" ","0","경기도 양주시 고덕로139번길 317","0","2017","삼보환경개발㈜","0","150145","0"," ","0"
" ","1629","경기도 화성시 정남면 가장로 334-10","814","2017","신대한정유산업㈜","1206","150147","11029"," ","42273"
" ","136","경기도 양평군 옥천면 경강로 1496","257","2017","양평군 환경사업소","220","150148","533"," ","1391"
" ","0","경기도 화성시 남양읍 매바위로 580-18","0","2017","㈜삼부환경","0","150155","0"," ","0"
" ","498","경기도 양주시 남면 운하로 66-14","984","2017","㈜애니테크","217","150157","4267"," ","11390"
" ","385","경기도 동두천시 삼육사로652번길 60 (상패동)","48","2017","(주)청송산업개발","109","150158","6981"," ","13603"
" ","54","경기도 포천시 신북면 중앙로461번길 17","1053","2017","포천시슬러지소각시설","62","150159","26"," ","1663"
" ","100","경기도 포천시 창수면 방골길 235"," ","2017","㈜엔비텍코리아","74","150175","733"," ","7601"
" ","783","경기도 양주시 은현면 은남로 160"," ","2017","양주권자원회수시설","2721","150176","941"," ","23474"
" ","1867","경기도 여주시 능서면 능서로 577","0","2017","이화산업㈜ 여주공장"," ","150177"," "," ","20565"
" ","354","경기도 용인시 기흥구 삼성2로 140 (농서동)","140","2017","용인시환경자원화시설","38","150178","456"," ","2068"
" ","175","경기도 화성시 향남읍 발안공단로 139","253","2017","화성그린에너지밸류(주)","38","150179","621"," ","8472"
" ","550","경기도 포천시 신북면 신평로16번길 207"," ","2017","포천시자원회수시설","442","150180","3637"," ","9223"
" ","241","경기도 성남시 분당구 판교로228번길 55 (삼평동)"," ","2017","성남시청(판교환경에너지시설)","15","150181","11405"," ","14757"
" "," ","경기도 화성시 삼성전자로 1 (반월동)"," ","2017","삼성전자㈜화성사업장","1022","150182"," "," ","33186"
" "," ","경기도 용인시 기흥구 삼성로 1 (농서동)"," ","2017","삼성전자㈜기흥사업장","132","150183"," "," ","12843"
" ","800","경기도 이천시 호법면 중부대로798번길 128"," ","2017","동부권광역자원회수시설","310","150184","2696"," ","33535"
" ","523","경기도 파주시 월롱면 엘씨디로 283","1138","2017","파주LCD환경안전협의회","998","150186","441"," ","12925"
" ","132","경기도 평택시 청북면 현곡산단로 84"," ","2017","아반스트레이트코리아㈜"," ","150187"," "," ","17216"
" ","392","경기도 부천시 벌말로 220 (대장동)","128","2017","부천시 하수슬러지 처리시설","343","150188","2036"," ","2829"
" "," ","경기도 화성시 큰재봉길 16 (석우동)"," ","2017","한국지역난방공사 화성지사"," ","150189"," "," ","237083"
" ","1149","경기도 양주시 남면 현석로785번길 207","5789","2017","㈜영신물산","1343","150190","8399"," ","42633"
" ","282","경기도 평택시 고덕면 고덕로 85","881","2017","삼정펄프㈜","183","150192","5037"," ","41233"
" ","126","경기도 여주시 가남읍 헌바디길 23-13","560","2017","㈜에이스침대 여주공장","74","150193","2430"," ","1703"
" "," ","경기도 평택시 포승읍 포승공단로117번길 35"," ","2017","동우화인켐㈜평택공장"," ","150195"," "," ","7274"
" "," ","경기도 파주시 월롱면 엘지로 245"," ","2017","엘지디스플레이㈜"," ","150196"," "," ","10812"
" ","0","경기도 화성시 우정읍 궁평항로 113-56"," ","2017","㈜백철금속"," ","150197"," "," "," "
" ","157","경기도 이천시 호법면 이섭대천로 58","10","2017","샘표식품㈜","39","150199","6014"," ","5161"
" ","1000","경기도 오산시 황새로149번길 55 (누읍동)","114","2017","이도에코오산 주식회사","1744","150200","5518"," ","29980"
" "," ","경기도 수원시 장안구 장안로309번길 84"," ","2017","에스케이마이크로웍스(주)"," ","150202"," "," ","19453"
" "," ","경기도 평택시 오성면 청오로 367-61"," ","2017","한국바이린㈜"," ","150214"," "," ","2140"
" "," ","경기도 화성시 우정읍 기아자동차로 95"," ","2017","기아㈜화성공장"," ","150215"," "," ","16345"
" "," ","경기도 광명시 기아로 113"," ","2017","기아㈜ 광명공장"," ","150227"," "," ","11852"
" "," ","경기도 이천시 부발읍 중부대로 1346"," ","2017","인그리디언코리아(유) 이천공장"," ","150270"," "," ","40641"
" "," ","경기도 이천시 부발읍 경충대로 2091"," ","2017","에스케이하이닉스㈜","76","150271"," "," "," "
" "," ","경기도 평택시 동삭로 455-12"," ","2017","케이지모빌리티(주)"," ","150276"," "," ","11748"
" ","1064","경기도 평택시 포승읍 평택항만길 425","77","2017","㈜광원목재","283","150278","3614"," ","41955"
" "," ","경기도 광명시 자경로 17"," ","2017","㈜삼천리"," ","150311"," "," ","17393"
" "," ","경기도 파주시 청석로 380"," ","2017","한국지역난방공사 파주지사"," ","150312"," "," ","304390"
" ","601","경기도 화성시 봉담읍 하가등안길 100","298","2017","화성 그린환경센터","646","150315","6531"," ","15619"
" "," ","경기도 성남시 분당구 판교로228번길 88"," ","2017","한국지역난방공사 판교지사"," ","150316"," "," ","131718"
" ","1005","경기도 동두천시 강변로690번길 51 (동두천동)"," ","2017","대재에너지㈜","58","150317","22074"," ","59565"
" ","1194","경기도 연천군 청산면 초대로 219-11","0","2017","㈜보광에너지(구 포스코아이씨티)","1289","150340","7164"," ","20522"
" "," ","경기도 김포시 대곶면 대명항로205번길 49-38"," ","2017","㈜이건그린텍"," ","150484"," "," ","4018"
" ","392","경기도 남양주시 덕송3로 76 (별내동)"," ","2017","남양주별내클린센터","18","150576","1235"," ","3032"
" "," ","경기도 고양시 덕양구 동축로 16"," ","2017","한국지역난방공사 삼송지사"," ","150577"," "," ","10540"
" ","527","경기도 김포시 김포한강4로 419-37 (마산동)"," ","2017","김포시 자원화센터","215","150582","16956"," ","13794"
" "," ","경기도 파주시 월롱면 휴암로 477"," ","2017","㈜LG화학"," ","150586"," "," ","4774"
" ","120","경기도 파주시 가람로150번길 41-34 (와동동)","407","2017","운정환경관리센터","273","150589","11863"," ","17928"
" "," ","경기도 평택시 포승읍 평택항로268번길 39"," ","2017","대한제강㈜"," ","150593"," "," ","21646"
" ","195","경기도 연천군 청산면 초대로106번길 125","124","2017","연천군청","318","150597","159"," ","9579"
" "," ","경기도 수원시 영통구 창룡대로 475"," ","2017","한국지역난방공사 광교지사"," ","150600"," "," ","103938"
" ","0","경기도 연천군 청산면 초대로 221","0","2017","지에스플라텍㈜","0","150601","0"," ","0"
" "," ","경기도 평택시 오성면 서동대로 2427-177"," ","2017","평택에너지서비스㈜오성복합화력발전소"," ","150602"," "," ","382498"
" "," ","경기도 남양주시 별내3로 391"," ","2017","㈜대륜발전 별내지점"," ","150604"," "," ","65407"
" "," ","경기도 동두천시 쇠목길 110"," ","2017","동두천드림파워㈜"," ","150608"," "," ","486789"
" "," ","경기도 안산시 단원구 엠티브이2로 14"," ","2017","㈜에스파워"," ","150609"," "," ","427114"
